race_id,race_progress,pit_stops_so_far,current_compound,race_track,fulfilled_second_compound,rained_yet,is_raining,minutes_rain,y_compound
1,0.20689655172413793,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.6551724137931034,1,MEDIUM,Melbourne,0,,,,HARD
1,0.20689655172413793,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.6379310344827587,1,MEDIUM,Melbourne,0,,,,HARD
1,0.20689655172413793,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.603448275862069,1,MEDIUM,Melbourne,0,,,,HARD
1,0.20689655172413793,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.5689655172413793,1,MEDIUM,Melbourne,0,,,,HARD
1,0.20689655172413793,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.5689655172413793,1,MEDIUM,Melbourne,0,,,,HARD
1,0.20689655172413793,0,MEDIUM,Melbourne,0,,,,HARD
1,0.6206896551724138,1,HARD,Melbourne,1,,,,MEDIUM
1,0.1896551724137931,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.5517241379310345,1,MEDIUM,Melbourne,0,,,,HARD
1,0.20689655172413793,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.6206896551724138,1,MEDIUM,Melbourne,0,,,,HARD
1,0.603448275862069,0,MEDIUM,Melbourne,0,,,,HARD
1,0.1724137931034483,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.6206896551724138,1,MEDIUM,Melbourne,0,,,,HARD
1,0.017241379310344827,0,MEDIUM,Melbourne,0,,,,HARD
1,0.1896551724137931,1,HARD,Melbourne,1,,,,MEDIUM
1,0.5517241379310345,2,MEDIUM,Melbourne,1,,,,MEDIUM
1,0.41379310344827586,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.7068965517241379,1,MEDIUM,Melbourne,0,,,,HARD
1,0.3448275862068966,0,MEDIUM,Melbourne,0,,,,MEDIUM
1,0.603448275862069,1,MEDIUM,Melbourne,0,,,,HARD
1,0.017241379310344827,0,HARD,Melbourne,0,,,,MEDIUM
1,0.5172413793103449,1,MEDIUM,Melbourne,1,,,,MEDIUM
1,0.017241379310344827,0,MEDIUM,Melbourne,0,,,,
1,0.4827586206896552,1,MEDIUM,Melbourne,0,,,,MEDIUM
2,0.26785714285714285,0,HARD,KualaLumpur,0,,,,HARD
2,0.5892857142857143,1,HARD,KualaLumpur,0,,,,HARD
2,0.9107142857142857,2,HARD,KualaLumpur,0,,,,
2,0.25,0,HARD,KualaLumpur,0,,,,HARD
2,0.5714285714285714,1,HARD,KualaLumpur,0,,,,HARD
2,0.8928571428571429,2,HARD,KualaLumpur,0,,,,
2,0.16071428571428573,0,HARD,KualaLumpur,0,,,,HARD
2,0.42857142857142855,1,HARD,KualaLumpur,0,,,,HARD
2,0.6964285714285714,2,HARD,KualaLumpur,0,,,,
2,0.19642857142857142,0,HARD,KualaLumpur,0,,,,HARD
2,0.48214285714285715,1,HARD,KualaLumpur,0,,,,
2,0.75,2,,KualaLumpur,0,,,,HARD
2,0.2857142857142857,0,HARD,KualaLumpur,0,,,,HARD
2,0.6071428571428571,1,HARD,KualaLumpur,0,,,,
2,0.17857142857142858,0,HARD,KualaLumpur,0,,,,HARD
2,0.39285714285714285,1,HARD,KualaLumpur,0,,,,
2,0.6071428571428571,2,,KualaLumpur,0,,,,HARD
