race_id,race_progress,pit_stops_so_far,current_compound,race_track,fulfilled_second_compound,rained_yet,is_raining,minutes_rain,y_compound
1,0.12727272727272726,0,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.2727272727272727,0,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.3090909090909091,0,SOFT,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.6,0,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.2909090909090909,0,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.7272727272727273,1,HARD,Abu Dhabi Grand Prix,1,0,0,,MEDIUM
1,0.6727272727272727,0,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.12727272727272726,0,SOFT,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.4727272727272727,0,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.12727272727272726,0,SOFT,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.7454545454545455,0,HARD,Abu Dhabi Grand Prix,0,0,0,,MEDIUM
1,0.4909090909090909,0,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,HARD
1,0.01818181818181818,1,MEDIUM,Abu Dhabi Grand Prix,0,0,0,,MEDIUM
1,0.7272727272727273,0,HARD,Abu Dhabi Grand Prix,0,0,0,,MEDIUM
1,0.6363636363636364,0,HARD,Abu Dhabi Grand Prix,0,0,0,,MEDIUM
1,0.6363636363636364,0,HARD,Abu Dhabi Grand Prix,0,0,0,,MEDIUM
2,0.3275862068965517,0,SOFT,Australian Grand Prix,0,0,0,,HARD
2,0.4482758620689655,0,SOFT,Australian Grand Prix,0,0,0,,HARD
2,0.3620689655172414,0,MEDIUM,Australian Grand Prix,0,0,0,,HARD
2,0.4482758620689655,0,MEDIUM,Australian Grand Prix,0,0,0,,HARD
2,0.43103448275862066,0,SOFT,Australian Grand Prix,0,0,0,,MEDIUM
2,0.3793103448275862,0,SOFT,Australian Grand Prix,0,0,0,,HARD
2,0.3448275862068966,0,MEDIUM,Australian Grand Prix,0,0,0,,HARD
2,0.46551724137931033,1,HARD,Australian Grand Prix,1,0,0,,SOFT
2,0.41379310344827586,0,SOFT,Australian Grand Prix,0,0,0,,HARD
2,0.4482758620689655,0,SOFT,Australian Grand Prix,0,0,0,,HARD
2,0.017241379310344827,1,,Australian Grand Prix,0,0,0,,HARD
2,0.3793103448275862,1,HARD,Australian Grand Prix,0,0,0,,SOFT
2,0.43103448275862066,0,MEDIUM,Australian Grand Prix,0,0,0,,HARD
2,0.5,1,HARD,Australian Grand Prix,1,0,0,,SOFT
2,0.43103448275862066,0,SOFT,Australian Grand Prix,0,0,0,,MEDIUM
