race_track,n_stops,entry_frac_med,exit_frac_med,abs_pit_window_med_s,n_clean_laps,s1_med_s,s3_med_s,no_stop_window_s,net_pit_loss_s
70th Anniversary Grand Prix,41,0.7655477386934674,0.46009226749408016,28.408,911,29.175,25.484,19.397973331275466,9.010026668724535
Abu Dhabi Grand Prix,214,0.972244553736508,0.5414338225793525,21.948999999999998,7468,18.085,33.9255,10.733448073559687,11.21555192644031
Australian Grand Prix,103,0.6811914284008834,0.060092537398166286,18.945,4175,29.348,35.752,13.161639839373,5.783360160627
Austrian Grand Prix,254,0.8699690914588453,0.5277850090577603,21.723,8786,17.57,21.394,12.055063866474313,9.667936133525686
Azerbaijan Grand Prix,177,0.9600218683796897,0.34495107993354257,20.948,5495,38.482,25.606,14.29808749627225,6.64991250372775
Bahrain Grand Prix,335,0.936839804764333,0.4443567178262628,24.937,7041,31.035,24.018,15.307592306908315,9.629407693091686
Belgian Grand Prix,188,0.892539294549975,0.4188149838885611,23.18,4595,31.611,29.657,16.426122597232695,6.753877402767305
Brazilian Grand Prix,70,0.8653462135659669,0.5568525150197614,23.209000000000003,2332,19.007,16.93,12.863784357308786,10.345215642691217
British Grand Prix,157,0.770354824919358,0.45091908469918146,28.813,5223,29.583,25.567,19.21087747394266,9.60212252605734
Canadian Grand Prix,155,0.5331951944409561,0.061040521978021976,23.859,5981,21.639,30.983,15.783869145718276,8.075130854281726
Chinese Grand Prix,131,0.9656966972439909,0.4694153355340408,22.981,3106,26.365499999999997,42.998,13.851343440925632,9.12965655907437
Dutch Grand Prix,174,0.9451234435977722,0.39294344935603076,19.560499999999998,5585,26.098,22.999,11.517144061988526,8.043355938011471
Eifel Grand Prix,33,0.9380502743396708,0.4091224590976698,22.638,814,30.307,23.893,13.879439163075324,8.758560836924678
Emilia Romagna Grand Prix,107,0.8643065076533007,0.5227761243386243,30.269,4299,25.813,27.225,17.188675426691795,13.080324573308204
French Grand Prix,88,0.5433808819769292,0.027916622778999076,30.6875,3507,25.078,43.812,20.705489864878516,9.982010135121484
German Grand Prix,27,0.9151436477299901,0.5189679475393761,19.595,750,17.322,24.455,11.064724882040164,8.530275117959835
Hungarian Grand Prix,235,0.9350458853618173,0.4163141112477336,21.879,9232,29.878500000000003,23.642,13.974486351191326,7.904513648808676
Italian Grand Prix,192,0.8870915614835911,0.43036270398413556,24.6955,6586,28.055,28.463,15.28753854576747,9.40796145423253
Japanese Grand Prix,147,0.9402883304110656,0.40645351190257184,23.484,4160,34.496,18.595,15.131358842597352,8.35264115740265
Las Vegas Grand Prix,89,0.931717445061354,0.418780576191339,21.562,2303,28.096,36.786,14.277901134644893,7.284098865355109
Mexican Grand Prix,55,0.8990832907109415,0.41812637998107455,22.495,2320,28.914,21.3645,14.24574118637888,8.249258813621122
Mexico City Grand Prix,113,0.8948112651714522,0.41691318983984493,22.811,5718,29.121,21.5335,14.406010622756657,8.404989377243343
Miami Grand Prix,91,0.8310034558983779,0.3647513257534426,22.281,3702,31.587,25.994,15.914296293951558,6.36670370604844
Monaco Grand Prix,129,0.3802864671658535,0.03148197835613988,24.349,8136,20.5945,20.959,13.6369315379264,10.712068462073601
Portuguese Grand Prix,66,0.905508824988267,0.5058500592603249,26.5395,2243,24.16,26.792,14.7529449926438,11.7865550073562
Qatar Grand Prix,153,0.8630054717736554,0.4334050604733991,28.625,3365,31.823,25.645,17.305473915809586,11.319526084190414
Russian Grand Prix,86,0.7716947145161802,0.3865744434541888,29.9785,3279,36.027,29.872,20.747052962296724,9.231447037703276
Sakhir Grand Prix,37,0.9201394001865214,0.5612007541441199,24.713,1181,20.361,17.168,12.797655332726226,11.915344667273775
Saudi Arabian Grand Prix,90,0.9714627099244362,0.3600159969204465,21.377000000000002,3560,35.0015,29.759,13.450341131569713,7.926658868430289
Singapore Grand Prix,127,0.8264209366719266,0.4311638668142038,29.671,5371,29.071,28.236,17.4355432042872,12.2354567957128
Spanish Grand Prix,321,0.9164356682343414,0.45622055324905536,22.337,8631,23.752,28.24,13.19600730983376,9.14099269016624
Styrian Grand Prix,44,0.8684842524663825,0.5316354657996505,21.798499999999997,2294,17.496,21.2135,12.09140341993508,9.707096580064917
São Paulo Grand Prix,172,0.865411344457629,0.5575419232121221,23.585,4055,19.313,17.315,13.098209733711869,10.486790266288132
Tuscan Grand Prix,26,0.5758531062677397,0.07049142606729585,23.305,547,30.655,29.759,14.783102076671291,8.521897923328709
United States Grand Prix,211,0.9720515704767674,0.4882645656230562,24.22,6121,27.285,33.606,14.261533595582844,9.958466404417155
