==================================================
RESULTS (Race Times in seconds)
==================================================
Driver | All Historical       | Historical except HA | Historical except BO | All Supervised      
HAM   | 4940.521             | 4929.721             | 4933.364             | 4945.834            
RIC   | 4941.064             | 4941.064             | 4941.064             | 4974.243            
MAG   | 4959.803             | 4959.803             | 4959.803             | 4957.362            
HUL   | 4921.057             | 4921.057             | 4991.737             | 4998.472            
KVY   | 4921.557             | 4921.557             | 4992.237             | 4995.252            
RAI   | 4940.564             | 4940.564             | 4940.564             | 4972.114            
VET   | 4941.564             | 4941.564             | 4941.564             | 4971.614            
BOT   | 4940.021             | 4929.221             | 4941.434             | 4945.334            
PER   | 4971.146             | 4971.146             | 4971.146             | 4999.472            
GRO   | 4923.091             | 4923.091             | 4994.425             | 4956.862            
SAI   | 4922.591             | 4922.591             | 4993.925             | 4995.752            
VER   | 4914.647             | 4914.776             | 4932.864             | 4939.745            
GIO   | 4969.646             | 4969.646             | 4969.646             | 4973.114            
STR   | 4970.646             | 4970.646             | 4970.646             | 4998.972            
GAS   | 4970.146             | 4970.146             | 4970.146             | 4972.614            
LEC   | 4903.682             | 4913.259             | 4927.959             | 4939.245            
NOR   | 4969.146             | 4969.146             | 4969.146             | 4971.114            
ALB   | 4940.064             | 4940.064             | 4940.064             | 4974.743            
RUS   | 4920.557             | 4920.557             | 4991.237             | 4997.972            
KUB   | 4949.053             | 4949.053             | 4949.053             | 4943.679            
