==================================================
MONTE CARLO RESULTS (Mean Race Times in seconds, 500 runs)
==================================================
Driver | All Historical       | Historical except HA | Historical except BO | All Supervised      
HAM   | 4928.831             | 4928.563             | 4930.755             | 4940.461            
RIC   | 4934.599             | 4947.203             | 4952.887             | 4962.482            
MAG   | 4942.322             | 4942.797             | 4946.267             | 4945.845            
HUL   | 4936.361             | 4955.687             | 4957.349             | 4962.387            
KVY   | 4925.328             | 4948.783             | 4958.542             | 4947.012            
RAI   | 4937.794             | 4945.521             | 4952.550             | 4959.282            
VET   | 4941.738             | 4942.286             | 4943.156             | 4952.128            
BOT   | 4933.465             | 4930.412             | 4938.714             | 4938.463            
PER   | 4938.548             | 4952.581             | 4954.702             | 4965.484            
GRO   | 4927.165             | 4949.582             | 4956.878             | 4947.975            
SAI   | 4920.110             | 4948.985             | 4961.852             | 4964.237            
VER   | 4915.447             | 4919.793             | 4927.074             | 4923.970            
GIO   | 4939.486             | 4947.454             | 4951.400             | 4958.392            
STR   | 4939.461             | 4953.498             | 4956.216             | 4963.933            
GAS   | 4940.433             | 4954.357             | 4956.563             | 4956.321            
LEC   | 4900.372             | 4911.891             | 4919.608             | 4925.470            
NOR   | 4941.917             | 4959.933             | 4960.462             | 4965.006            
ALB   | 4936.904             | 4950.277             | 4952.907             | 4963.715            
RUS   | 4927.566             | 4934.881             | 4951.191             | 4949.226            
KUB   | 4946.333             | 4945.822             | 4946.565             | 4946.122            
