number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_max_depth,params_max_depth_mode,params_max_features_frac,params_max_features_mode,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,1.5492680943969666,2026-01-30 20:37:08.995644,2026-01-30 20:37:11.945592,0 days 00:00:02.949948,False,balanced,30.0,bounded,,sqrt,3,44,565,COMPLETE
1,1.0323679056872923,2026-01-30 20:37:11.946536,2026-01-30 20:37:23.993897,0 days 00:00:12.047361,True,balanced,,none,0.373818018663584,fraction,22,16,1192,COMPLETE
2,0.9529628397667832,2026-01-30 20:37:23.994728,2026-01-30 20:37:33.319276,0 days 00:00:09.324548,False,,10.0,bounded,0.14180537144799796,fraction,9,5,1333,COMPLETE
3,0.9417401038187778,2026-01-30 20:37:33.320117,2026-01-30 20:37:46.040439,0 days 00:00:12.720322,False,,19.0,bounded,0.13094966900369656,fraction,13,34,1846,COMPLETE
4,1.5629067401717538,2026-01-30 20:37:46.041283,2026-01-30 20:37:53.939142,0 days 00:00:07.897859,True,balanced,,none,,sqrt,47,6,1317,COMPLETE
5,0.99563625541698,2026-01-30 20:37:53.940010,2026-01-30 20:38:09.775074,0 days 00:00:15.835064,True,balanced,16.0,bounded,0.2268318024772864,fraction,4,50,1664,COMPLETE
6,1.0548325435250103,2026-01-30 20:38:09.776010,2026-01-30 20:38:22.982731,0 days 00:00:13.206721,False,balanced,32.0,bounded,0.20428215357261675,fraction,32,18,1768,COMPLETE
7,1.0845223658714331,2026-01-30 20:38:22.983673,2026-01-30 20:38:36.883722,0 days 00:00:13.900049,True,balanced,20.0,bounded,0.7847065437552077,fraction,39,26,1254,COMPLETE
8,1.0444545258764975,2026-01-30 20:38:36.884591,2026-01-30 20:38:45.513615,0 days 00:00:08.629024,False,balanced,14.0,bounded,0.32436300623398745,fraction,38,13,998,COMPLETE
9,1.2348827766829853,2026-01-30 20:38:45.514474,2026-01-30 20:38:48.416855,0 days 00:00:02.902381,False,,,none,,sqrt,45,28,617,COMPLETE
10,1.2251932441382605,2026-01-30 20:38:48.417697,2026-01-30 20:38:56.867469,0 days 00:00:08.449772,False,,,none,,sqrt,18,36,1949,COMPLETE
11,1.0651716404368898,2026-01-30 20:38:56.868309,2026-01-30 20:39:04.214724,0 days 00:00:07.346415,False,,4.0,bounded,0.10830718634114526,fraction,13,4,1571,COMPLETE
12,0.9880494365133575,2026-01-30 20:39:04.215558,2026-01-30 20:39:14.285926,0 days 00:00:10.070368,False,,7.0,bounded,0.5663432490978868,fraction,12,35,969,COMPLETE
13,1.0396274276973378,2026-01-30 20:39:14.286783,2026-01-30 20:39:44.329084,0 days 00:00:30.042301,False,,24.0,bounded,0.460107111610056,fraction,10,25,1967,COMPLETE
14,1.3693553914696008,2026-01-30 20:39:44.329940,2026-01-30 20:40:11.947589,0 days 00:00:27.617649,False,,40.0,bounded,0.9688041514589099,fraction,26,35,1547,COMPLETE
15,0.9520636314894875,2026-01-30 20:40:11.948439,2026-01-30 20:40:14.989835,0 days 00:00:03.041396,False,,10.0,bounded,0.11861457475983014,fraction,1,10,343,COMPLETE
16,1.3187403034201153,2026-01-30 20:40:14.990919,2026-01-30 20:40:21.105067,0 days 00:00:06.114148,False,,12.0,bounded,0.5608630400568045,fraction,1,12,301,PRUNED
17,0.9558090569334496,2026-01-30 20:40:21.105966,2026-01-30 20:40:29.439360,0 days 00:00:08.333394,False,,20.0,bounded,0.3001117212110148,fraction,16,22,781,COMPLETE
18,1.2439849018100577,2026-01-30 20:40:29.440295,2026-01-30 20:40:31.709537,0 days 00:00:02.269242,True,,,none,,sqrt,6,31,330,PRUNED
19,1.080460312129888,2026-01-30 20:40:31.710342,2026-01-30 20:40:46.127512,0 days 00:00:14.417170,False,,27.0,bounded,0.6512477103183058,fraction,22,42,987,PRUNED
20,1.1864354169564382,2026-01-30 20:40:46.128398,2026-01-30 20:40:54.369641,0 days 00:00:08.241243,False,,17.0,bounded,0.4184112333637978,fraction,6,20,531,PRUNED
21,0.9664740219510801,2026-01-30 20:40:54.370554,2026-01-30 20:41:02.941637,0 days 00:00:08.571083,False,,10.0,bounded,0.10922431839210954,fraction,9,2,1412,COMPLETE
22,1.0536151722663503,2026-01-30 20:41:02.942464,2026-01-30 20:41:11.917115,0 days 00:00:08.974651,False,,3.0,bounded,0.20740530427713177,fraction,1,9,1805,PRUNED
23,0.9733924480067087,2026-01-30 20:41:11.917927,2026-01-30 20:41:20.050797,0 days 00:00:08.132870,False,,9.0,bounded,0.1198792943129194,fraction,16,11,1431,COMPLETE
24,0.9548950047522696,2026-01-30 20:41:20.051628,2026-01-30 20:41:26.008086,0 days 00:00:05.956458,False,,7.0,bounded,0.2416431367036277,fraction,7,7,752,COMPLETE
25,0.9395528947267817,2026-01-30 20:41:26.009028,2026-01-30 20:41:40.297496,0 days 00:00:14.288468,False,,13.0,bounded,0.1679879425596459,fraction,13,15,1820,COMPLETE
26,1.2417316561494147,2026-01-30 20:41:40.298340,2026-01-30 20:41:51.216569,0 days 00:00:10.918229,True,,,none,,sqrt,28,15,1837,PRUNED
27,0.9435676205543609,2026-01-30 20:41:51.217365,2026-01-30 20:42:07.442453,0 days 00:00:16.225088,False,,17.0,bounded,0.29006728812335525,fraction,21,23,1706,COMPLETE
28,0.9520211247817972,2026-01-30 20:42:07.443300,2026-01-30 20:42:23.075029,0 days 00:00:15.631729,False,,17.0,bounded,0.3002868380159811,fraction,21,31,1640,COMPLETE
29,1.2386051938609015,2026-01-30 20:42:23.075863,2026-01-30 20:42:31.221058,0 days 00:00:08.145195,False,,22.0,bounded,,sqrt,30,23,1874,PRUNED
30,1.087690922207249,2026-01-30 20:42:31.221862,2026-01-30 20:42:52.793456,0 days 00:00:21.571594,False,,14.0,bounded,0.4752244504474676,fraction,14,40,1714,PRUNED
31,0.9423820470975489,2026-01-30 20:42:52.794255,2026-01-30 20:43:07.105642,0 days 00:00:14.311387,False,,18.0,bounded,0.26890428985079023,fraction,22,30,1603,COMPLETE
32,0.9458942163597612,2026-01-30 20:43:07.106478,2026-01-30 20:43:21.033306,0 days 00:00:13.926828,False,,19.0,bounded,0.25564040966974516,fraction,19,29,1515,COMPLETE
33,0.9468488374773998,2026-01-30 20:43:21.034159,2026-01-30 20:43:35.970355,0 days 00:00:14.936196,False,,24.0,bounded,0.18539763338539683,fraction,24,18,1996,COMPLETE
34,1.028249498187561,2026-01-30 20:43:35.971187,2026-01-30 20:43:54.116383,0 days 00:00:18.145196,True,balanced,,none,0.35253198915622574,fraction,20,39,1876,COMPLETE
35,0.9472634659903918,2026-01-30 20:43:54.117227,2026-01-30 20:44:08.952541,0 days 00:00:14.835314,False,,14.0,bounded,0.28146656752327326,fraction,26,32,1709,COMPLETE
36,0.9648077804713405,2026-01-30 20:44:08.953370,2026-01-30 20:44:22.362507,0 days 00:00:13.409137,False,balanced,23.0,bounded,0.18747100663990957,fraction,16,48,1620,PRUNED
37,0.9567521833869244,2026-01-30 20:44:22.363301,2026-01-30 20:44:38.043794,0 days 00:00:15.680493,True,,27.0,bounded,0.3661139662454542,fraction,36,25,1780,COMPLETE
38,1.5427818082919627,2026-01-30 20:44:38.044635,2026-01-30 20:44:44.737748,0 days 00:00:06.693113,False,balanced,,none,,sqrt,23,16,1408,PRUNED
39,0.9351385092688206,2026-01-30 20:44:44.738546,2026-01-30 20:44:57.462497,0 days 00:00:12.723951,True,,18.0,bounded,0.1722917866891856,fraction,11,28,1490,COMPLETE
40,0.9611796276285605,2026-01-30 20:44:57.463318,2026-01-30 20:45:07.350219,0 days 00:00:09.886901,True,balanced,27.0,bounded,0.17128014659524513,fraction,10,28,1135,PRUNED
41,0.9427488374127269,2026-01-30 20:45:07.351013,2026-01-30 20:45:23.330950,0 days 00:00:15.979937,True,,18.0,bounded,0.2553059228123419,fraction,12,33,1705,COMPLETE
42,0.9409847916663686,2026-01-30 20:45:23.331798,2026-01-30 20:45:35.403022,0 days 00:00:12.071224,True,,18.0,bounded,0.15452166843133205,fraction,12,37,1531,COMPLETE
43,0.933775977470465,2026-01-30 20:45:35.403862,2026-01-30 20:45:46.861610,0 days 00:00:11.457748,True,,15.0,bounded,0.1601162824907911,fraction,4,38,1313,COMPLETE
44,0.9366208201557248,2026-01-30 20:45:46.862445,2026-01-30 20:45:57.039204,0 days 00:00:10.176759,True,,13.0,bounded,0.15893219930038976,fraction,4,38,1201,COMPLETE
45,0.9382909590963335,2026-01-30 20:45:57.040030,2026-01-30 20:46:06.594116,0 days 00:00:09.554086,True,,12.0,bounded,0.16276185835940032,fraction,4,45,1152,COMPLETE
46,0.938321058840722,2026-01-30 20:46:06.594962,2026-01-30 20:46:16.061865,0 days 00:00:09.466903,True,,12.0,bounded,0.1644300402375691,fraction,4,47,1132,COMPLETE
47,1.2381332217018566,2026-01-30 20:46:16.062770,2026-01-30 20:46:23.018940,0 days 00:00:06.956170,True,,12.0,bounded,,sqrt,3,46,1144,PRUNED
48,0.9467614382155587,2026-01-30 20:46:23.019773,2026-01-30 20:46:33.764962,0 days 00:00:10.745189,True,,,none,0.2198603632410976,fraction,4,44,1060,COMPLETE
49,0.9338917321327447,2026-01-30 20:46:33.765787,2026-01-30 20:46:44.089810,0 days 00:00:10.324023,True,,15.0,bounded,0.15598427614017368,fraction,7,50,1270,COMPLETE
50,1.025956290730281,2026-01-30 20:46:44.090658,2026-01-30 20:47:00.708254,0 days 00:00:16.617596,True,balanced,15.0,bounded,0.6903656979949588,fraction,9,49,1257,PRUNED
51,0.9576416448353824,2026-01-30 20:47:00.709066,2026-01-30 20:47:09.494955,0 days 00:00:08.785889,True,,11.0,bounded,0.10025924565624236,fraction,4,46,1303,PRUNED
52,0.9827381580709188,2026-01-30 20:47:09.495768,2026-01-30 20:47:17.419639,0 days 00:00:07.923871,True,,6.0,bounded,0.15358364366722693,fraction,6,43,1203,PRUNED
53,0.9358263974250077,2026-01-30 20:47:17.420465,2026-01-30 20:47:25.347480,0 days 00:00:07.927015,True,,15.0,bounded,0.2083230961433577,fraction,8,47,910,COMPLETE
54,0.9386213017351386,2026-01-30 20:47:25.348396,2026-01-30 20:47:33.225882,0 days 00:00:07.877486,True,,15.0,bounded,0.21460295768982562,fraction,7,42,852,COMPLETE
55,0.9367418031352452,2026-01-30 20:47:33.226808,2026-01-30 20:47:45.703847,0 days 00:00:12.477039,True,,21.0,bounded,0.22453203850218423,fraction,8,50,1354,COMPLETE
56,1.013506609352078,2026-01-30 20:47:45.704685,2026-01-30 20:48:05.910440,0 days 00:00:20.205755,True,,21.0,bounded,0.8536295058761969,fraction,8,49,1361,PRUNED
57,0.9489269163220463,2026-01-30 20:48:05.911232,2026-01-30 20:48:20.743602,0 days 00:00:14.832370,True,,16.0,bounded,0.33052242129574394,fraction,11,38,1472,COMPLETE
58,0.9765747372342741,2026-01-30 20:48:20.744491,2026-01-30 20:48:33.451479,0 days 00:00:12.706988,True,,20.0,bounded,0.3977252325171081,fraction,2,41,1044,PRUNED
59,1.2430454171507004,2026-01-30 20:48:33.452393,2026-01-30 20:48:39.122428,0 days 00:00:05.670035,True,,,none,,sqrt,6,50,924,PRUNED
60,0.9393548651482886,2026-01-30 20:48:39.123224,2026-01-30 20:48:50.624601,0 days 00:00:11.501377,True,,15.0,bounded,0.21909153859609887,fraction,8,44,1256,COMPLETE
61,0.9516502317730773,2026-01-30 20:48:50.625429,2026-01-30 20:49:00.615519,0 days 00:00:09.990090,True,,9.0,bounded,0.14903132198782318,fraction,3,45,1353,COMPLETE
62,0.9387955928746111,2026-01-30 20:49:00.616345,2026-01-30 20:49:10.063871,0 days 00:00:09.447526,True,,13.0,bounded,0.13846994076474714,fraction,5,47,1187,COMPLETE
63,0.9453094897274108,2026-01-30 20:49:10.064698,2026-01-30 20:49:23.180580,0 days 00:00:13.115882,True,,34.0,bounded,0.20032626228578548,fraction,2,48,1312,COMPLETE
64,0.9331214197179902,2026-01-30 20:49:23.181420,2026-01-30 20:49:33.063468,0 days 00:00:09.882048,True,,16.0,bounded,0.24541009825856142,fraction,10,50,1057,COMPLETE
65,0.9716927745616737,2026-01-30 20:49:33.064307,2026-01-30 20:49:40.581036,0 days 00:00:07.516729,True,,16.0,bounded,0.24720150665911528,fraction,50,50,1066,PRUNED
66,0.9463934167392127,2026-01-30 20:49:40.581868,2026-01-30 20:49:49.968733,0 days 00:00:09.386865,True,,20.0,bounded,0.30893532822031766,fraction,10,36,912,COMPLETE
67,0.9641247295138653,2026-01-30 20:49:49.969670,2026-01-30 20:49:55.121650,0 days 00:00:05.151980,True,,22.0,bounded,0.12227417490439739,fraction,17,50,743,PRUNED
68,0.9389291861161186,2026-01-30 20:49:55.122494,2026-01-30 20:50:07.777359,0 days 00:00:12.654865,True,,14.0,bounded,0.2271446258054216,fraction,14,40,1467,COMPLETE
69,0.9598846045910912,2026-01-30 20:50:07.778204,2026-01-30 20:50:22.244600,0 days 00:00:14.466396,True,,16.0,bounded,0.511220347799574,fraction,8,47,1214,PRUNED
70,1.2389307291555556,2026-01-30 20:50:22.245393,2026-01-30 20:50:29.990203,0 days 00:00:07.744810,True,,19.0,bounded,,sqrt,14,34,1281,PRUNED
71,0.9373958540809664,2026-01-30 20:50:29.991001,2026-01-30 20:50:39.098746,0 days 00:00:09.107745,True,,11.0,bounded,0.18738704853713106,fraction,5,45,1095,COMPLETE
72,0.944195412891353,2026-01-30 20:50:39.099638,2026-01-30 20:50:47.814533,0 days 00:00:08.714895,True,,10.0,bounded,0.20379706824232716,fraction,6,43,1031,PRUNED
73,0.9579145205840719,2026-01-30 20:50:47.815354,2026-01-30 20:50:55.131032,0 days 00:00:07.315678,True,,13.0,bounded,0.10218674870478332,fraction,9,49,1083,PRUNED
74,0.9462309571099493,2026-01-30 20:50:55.131885,2026-01-30 20:51:06.554633,0 days 00:00:11.422748,True,,9.0,bounded,0.18811041447749588,fraction,1,48,1372,PRUNED
75,0.9514617580839206,2026-01-30 20:51:06.555427,2026-01-30 20:51:15.547354,0 days 00:00:08.991927,True,balanced,17.0,bounded,0.24627558520873363,fraction,11,45,955,PRUNED
76,0.9355412357857975,2026-01-30 20:51:15.548167,2026-01-30 20:51:22.736090,0 days 00:00:07.187923,True,,,none,0.1350913320126892,fraction,7,42,876,COMPLETE
