race_id,model_a,model_b,n_valid,pearson,spearman,disagree_rate,total_disagree,a_not_b,b_not_a
1,gru,lstm,548,0.7429966075813768,0.7920892599204731,0.05291970802919708,29,20,9
1,gru,tcn,548,0.7053728016000722,0.7411893549558741,0.08576642335766424,47,14,33
1,gru,tcn_gru,548,0.6943732408374815,0.6528962681997752,0.08394160583941605,46,13,33
1,lstm,tcn,548,0.5976127168363525,0.7102059766351314,0.08394160583941605,46,8,38
1,lstm,tcn_gru,548,0.6200254651438719,0.7337266003672058,0.08576642335766424,47,8,39
1,tcn,tcn_gru,548,0.7030244040288287,0.7882226542433021,0.09306569343065693,51,25,26
3,gru,lstm,703,0.96561866570874,0.7078516453516452,0.002844950213371266,2,1,1
3,gru,tcn,703,0.9112707135336992,0.4601561904193483,0.007112375533428165,5,4,1
3,gru,tcn_gru,703,0.9177981498276238,0.3617766528950739,0.007112375533428165,5,3,2
3,lstm,tcn,703,0.909847796029738,0.6078818052502263,0.007112375533428165,5,4,1
3,lstm,tcn_gru,703,0.9159650093499945,0.42138977171871905,0.007112375533428165,5,3,2
3,tcn,tcn_gru,703,0.9298564087256419,0.4930252644068433,0.002844950213371266,2,0,2
4,gru,lstm,459,0.8750894988797938,0.838918609023256,0.015250544662309368,7,4,3
4,gru,tcn,459,0.8523737070023948,0.6456047085627491,0.026143790849673203,12,4,8
4,gru,tcn_gru,459,0.7364171460372501,0.6103736298645779,0.05228758169934641,24,6,18
4,lstm,tcn,459,0.8401715518003413,0.6742018065374366,0.02832244008714597,13,4,9
4,lstm,tcn_gru,459,0.7679484894265302,0.7578393524361201,0.054466230936819175,25,6,19
4,tcn,tcn_gru,459,0.7769438052204893,0.6936242556006009,0.05228758169934641,24,8,16
5,gru,lstm,563,0.800948508944592,0.7530682031072118,0.04262877442273535,24,23,1
5,gru,tcn,563,0.6938474309739218,0.6763699507540877,0.05328596802841918,30,22,8
5,gru,tcn_gru,563,0.6731083306136862,0.48872893041676463,0.06039076376554174,34,22,12
5,lstm,tcn,563,0.7964396854513698,0.6498944730450683,0.028419182948490232,16,4,12
5,lstm,tcn_gru,563,0.7798218679536734,0.6510709846129556,0.03197158081705151,18,3,15
5,tcn,tcn_gru,563,0.7921414789290617,0.5940680711733013,0.028419182948490232,16,6,10
6,gru,lstm,439,0.8905574210732919,0.6782428932505382,0.015945330296127564,7,7,0
6,gru,tcn,439,0.8872225923283605,0.6894962512446208,0.025056947608200455,11,8,3
6,gru,tcn_gru,439,0.9014130248190151,0.584476209657974,0.01366742596810934,6,5,1
6,lstm,tcn,439,0.9478458309710752,0.5765072322753227,0.009111617312072893,4,1,3
6,lstm,tcn_gru,439,0.913136393956186,0.6106675706419832,0.00683371298405467,3,0,3
6,tcn,tcn_gru,439,0.9018571102580591,0.7296899156636417,0.015945330296127564,7,3,4
7,gru,lstm,709,0.9848655376404007,0.7605731445881668,0.0,0,0,0
7,gru,tcn,709,0.9006985188292079,0.5067572367820752,0.004231311706629055,3,2,1
7,gru,tcn_gru,709,0.9215222414982563,0.3996573065126914,0.0028208744710860366,2,0,2
7,lstm,tcn,709,0.8885690728265273,0.6949720555649644,0.004231311706629055,3,2,1
7,lstm,tcn_gru,709,0.9093205996191225,0.5094066634994399,0.0028208744710860366,2,0,2
7,tcn,tcn_gru,709,0.9195644296563241,0.5968138394566196,0.004231311706629055,3,0,3
8,gru,lstm,520,0.8697015524682632,0.8867207349139603,0.07692307692307693,40,24,16
8,gru,tcn,520,0.7775255463171546,0.8368927456775413,0.09038461538461538,47,15,32
8,gru,tcn_gru,520,0.8133012220595365,0.804077478666142,0.06538461538461539,34,10,24
8,lstm,tcn,520,0.711782167949375,0.7851040641650073,0.125,65,20,45
8,lstm,tcn_gru,520,0.7686260090549668,0.7922376249115621,0.10384615384615385,54,16,38
8,tcn,tcn_gru,520,0.8094399639054342,0.8284077632285279,0.07884615384615384,41,22,19
