feature,mean_abs_shap,class,rank,group
race_track,3.6708998560905455,HARD,1,G_track
p_xgb_c0,0.5948495514690876,HARD,2,OTHER
p_svm_c0,0.3438029810786247,HARD,3,OTHER
race_progress,0.2832887500524521,HARD,4,G_race_phase
p_ann_c1,0.21853248309344053,HARD,5,OTHER
p_ann_c4,0.199828327819705,HARD,6,OTHER
p_rf_c0,0.17556678801774978,HARD,7,OTHER
p_ann_c3,0.16311082984320818,HARD,8,OTHER
p_rf_c3,0.14930751929059624,HARD,9,OTHER
p_vse_compound_ann_c3,0.13023925884626805,HARD,10,OTHER
p_vse_compound_ann_c0,0.11089069317094982,HARD,11,OTHER
p_ann_c0,0.10143146887421609,HARD,12,OTHER
current_compound,0.10098287463188171,HARD,13,G_tyre
p_rf_c1,0.07696366515010596,HARD,14,OTHER
p_rf_c2,0.0764431182295084,HARD,15,OTHER
p_svm_c3,0.07579020000994205,HARD,16,OTHER
p_svm_c2,0.06465676473453641,HARD,17,OTHER
p_svm_c1,0.06289842948317528,HARD,18,OTHER
p_ann_c2,0.06073250947520137,HARD,19,OTHER
p_vse_compound_ann_c2,0.05071227867156267,HARD,20,OTHER
p_xgb_c4,0.050017784279771146,HARD,21,OTHER
p_vse_compound_ann_c4,0.04931653039529919,HARD,22,OTHER
p_svm_c4,0.04903307707281783,HARD,23,OTHER
p_rf_c4,0.047798020765185356,HARD,24,OTHER
p_xgb_c2,0.045551391574554144,HARD,25,OTHER
p_xgb_c3,0.04462197719840333,HARD,26,OTHER
p_xgb_c1,0.031038009288022295,HARD,27,OTHER
pit_stops_so_far_4,0.023753419890999793,HARD,28,OTHER
p_vse_compound_ann_c1,0.022097914115875028,HARD,29,OTHER
pit_stops_so_far_1,0.016895799338817595,HARD,30,OTHER
pit_stops_so_far_3,0.011059713596478105,HARD,31,OTHER
fulfilled_second_compound_0,0.004673047421965748,HARD,32,OTHER
pit_stops_so_far_2,0.004483372031245381,HARD,33,OTHER
minutes_rain,0.0020498960744589566,HARD,34,G_weather
is_raining,0.001305327154113911,HARD,35,G_weather
rained_yet,0.00018450975767336786,HARD,36,G_weather
pit_stops_so_far_0,9.298833829234354e-05,HARD,37,OTHER
row_id_a9ca518b9a779d543977f92f9b2553aa381e2ce9,0.0,HARD,38,OTHER
row_id_a98b6916520bdd6fd6caed8eeb893dd16b95a976,0.0,HARD,39,OTHER
row_id_aa72a89c1e3d22ab256f5014412421b08105bd40,0.0,HARD,40,OTHER
row_id_a9d88d74105dd80449bf41f3f0f5a1682d5977fb,0.0,HARD,41,OTHER
row_id_a9e62ac7d54a6290b3699b1ffef0eab30a0f6d61,0.0,HARD,42,OTHER
row_id_a9f3bc8216216e06fd07bc4c8704f09bd4360ab6,0.0,HARD,43,OTHER
row_id_aa033545d73e0270d752679dbd13d2e3e7a8d576,0.0,HARD,44,OTHER
row_id_aa46c25057b5e082589521be5261c24d37b33474,0.0,HARD,45,OTHER
row_id_aa4ad62291d65b46180453c832d5b42879a2a742,0.0,HARD,46,OTHER
row_id_aa4ebc45fa9a0430c914872c16c4551e6e959de5,0.0,HARD,47,OTHER
row_id_aa57aa38acf0b6c0e099d78db7fdb146318376fb,0.0,HARD,48,OTHER
row_id_aa5885a3f8d763b1b0910fd8e9e277344a5b3efb,0.0,HARD,49,OTHER
row_id_aa5bc367a4e064be7404efedc46f4d39498b537b,0.0,HARD,50,OTHER
row_id_aa6fae1abf656c2bb2e07c4ee46bf39f7d78935c,0.0,HARD,51,OTHER
row_id_a9ade770bc50860a402c1413800514bb2d86d276,0.0,HARD,52,OTHER
row_id_ab1dd0d9cd8d9e73c9f639b7b1093a7cd99aaead,0.0,HARD,53,OTHER
row_id_aa74ed127ce07e310bd13fc09d4bf2fa1a072437,0.0,HARD,54,OTHER
row_id_aa7cd42472dd422eee483b9e8bda898448e77a57,0.0,HARD,55,OTHER
row_id_aab7bfc46e1f6c62f4acc9f890f6b5bf4c3ba9d5,0.0,HARD,56,OTHER
row_id_aab7d3c2f888ab69aa08988d9b188e19e9015279,0.0,HARD,57,OTHER
row_id_aabb136ed7c97376d0416df4d929bf1102558d3f,0.0,HARD,58,OTHER
row_id_aaca8f6c28d09a33bb3db40bfb5e3a96623a4be5,0.0,HARD,59,OTHER
row_id_aad7ba07095b6ca7eb8267e72ca1db9e1d373b12,0.0,HARD,60,OTHER
