model,condition,value,n,pos_rate,logloss,f1,precision,recall,pr_auc
p_svm,wet_race,0,2991.0,0.02340354396522902,0.13016161690886596,0.18274111675126903,0.14173228346456693,0.2571428571428571,0.2578560252567263
p_svm,wet_race,1,0.0,,,0.0,0.0,0.0,
p_svm,raining_now,0,2991.0,0.02340354396522902,0.13016161690886596,0.18274111675126903,0.14173228346456693,0.2571428571428571,0.2578560252567263
p_svm,raining_now,1,0.0,,,0.0,0.0,0.0,
p_svm,fcy_now,0,2865.0,0.0237347294938918,0.1324474985037398,0.18461538461538463,0.14173228346456693,0.2647058823529412,0.2644359070251601
p_svm,fcy_now,1,126.0,0.015873015873015872,0.07818502350161488,0.0,0.0,0.0,0.05606758832565284
p_svm,ever_rained,0,2991.0,0.02340354396522902,0.13016161690886596,0.18274111675126903,0.14173228346456693,0.2571428571428571,0.2578560252567263
p_svm,ever_rained,1,0.0,,,0.0,0.0,0.0,
p_rf,wet_race,0,2991.0,0.02340354396522902,0.07789712547753835,0.10810810810810811,1.0,0.05714285714285714,0.532410060369648
p_rf,wet_race,1,0.0,,,0.0,0.0,0.0,
p_rf,raining_now,0,2991.0,0.02340354396522902,0.07789712547753835,0.10810810810810811,1.0,0.05714285714285714,0.532410060369648
p_rf,raining_now,1,0.0,,,0.0,0.0,0.0,
p_rf,fcy_now,0,2865.0,0.0237347294938918,0.07800806326664714,0.1111111111111111,1.0,0.058823529411764705,0.5380553805255552
p_rf,fcy_now,1,126.0,0.015873015873015872,0.07537461146327894,0.0,0.0,0.0,0.8333333333333333
p_rf,ever_rained,0,2991.0,0.02340354396522902,0.07789712547753835,0.10810810810810811,1.0,0.05714285714285714,0.532410060369648
p_rf,ever_rained,1,0.0,,,0.0,0.0,0.0,
p_xgb,wet_race,0,2991.0,0.02340354396522902,0.06250990829203432,0.5510204081632653,0.9642857142857143,0.38571428571428573,0.5742355325862919
p_xgb,wet_race,1,0.0,,,0.0,0.0,0.0,
p_xgb,raining_now,0,2991.0,0.02340354396522902,0.06250990829203432,0.5510204081632653,0.9642857142857143,0.38571428571428573,0.5742355325862919
p_xgb,raining_now,1,0.0,,,0.0,0.0,0.0,
p_xgb,fcy_now,0,2865.0,0.0237347294938918,0.062468682235451885,0.5625,0.9642857142857143,0.39705882352941174,0.5876267185635702
p_xgb,fcy_now,1,126.0,0.015873015873015872,0.06344731029289717,0.0,0.0,0.0,0.17142857142857143
p_xgb,ever_rained,0,2991.0,0.02340354396522902,0.06250990829203432,0.5510204081632653,0.9642857142857143,0.38571428571428573,0.5742355325862919
p_xgb,ever_rained,1,0.0,,,0.0,0.0,0.0,
p_ann,wet_race,0,2991.0,0.02340354396522902,0.5251549897923036,0.1188118811881188,0.06504065040650407,0.6857142857142857,0.2108001408512774
p_ann,wet_race,1,0.0,,,0.0,0.0,0.0,
p_ann,raining_now,0,2991.0,0.02340354396522902,0.5251549897923036,0.1188118811881188,0.06504065040650407,0.6857142857142857,0.2108001408512774
p_ann,raining_now,1,0.0,,,0.0,0.0,0.0,
p_ann,fcy_now,0,2865.0,0.0237347294938918,0.5193474630552023,0.12234042553191489,0.06725146198830409,0.6764705882352942,0.22106201153949506
p_ann,fcy_now,1,126.0,0.015873015873015872,0.6572070858382956,0.07142857142857142,0.037037037037037035,1.0,0.06876456876456877
p_ann,ever_rained,0,2991.0,0.02340354396522902,0.5251549897923036,0.1188118811881188,0.06504065040650407,0.6857142857142857,0.2108001408512774
p_ann,ever_rained,1,0.0,,,0.0,0.0,0.0,
