feature,mean_abs_shap,cohort,rank,group
race_track,7.489573520162831,FN,1,G_track
tcn_proba,1.2358781047489331,FN,2,BASE_SIGNALS
current_compound,0.4965666001257689,FN,3,G_tyre
p_xgb,0.4215318411588669,FN,4,BASE_SIGNALS
lapno,0.4044213352481956,FN,5,G_race_phase
pit_stops_so_far_4,0.3201792123525039,FN,6,OTHER
lap_time,0.27806171985424083,FN,7,G_pace
p_rf,0.2563470951888872,FN,8,BASE_SIGNALS
position_18,0.25000077550825867,FN,9,OTHER
race_progress,0.24360405799487364,FN,10,G_race_phase
tyre_age,0.2060990211472887,FN,11,G_tyre
fcy_status_4,0.19543235716612442,FN,12,OTHER
track_category_1,0.1803631665913955,FN,13,OTHER
p_svm,0.11354900625250909,FN,14,BASE_SIGNALS
interval,0.10988719164110396,FN,15,G_traffic
pit_stops_so_far_0,0.10275410455854042,FN,16,OTHER
p_ann,0.09292565496719402,FN,17,BASE_SIGNALS
tyre_change_pursuer_1,0.0921306409265684,FN,18,OTHER
pit_stops_so_far_3,0.08372501769791478,FN,19,OTHER
position_12,0.07790535720794098,FN,20,OTHER
position_15,0.0744012025711329,FN,21,OTHER
close_ahead,0.07045591606394104,FN,22,G_traffic
minutes_rain,0.06096846140597178,FN,23,G_weather
position_16,0.05070874609215104,FN,24,OTHER
track_category_2,0.04940167563441007,FN,25,OTHER
rained_yet,0.049089733835147774,FN,26,G_weather
position_13,0.049046905387354935,FN,27,OTHER
fcy_status_3,0.04531178833997768,FN,28,OTHER
pit_stops_so_far_1,0.04340349461721337,FN,29,OTHER
fcy_status_0,0.033460777333897095,FN,30,OTHER
fulfilled_second_compound_0,0.02816695881926495,FN,31,OTHER
position_17,0.014431057497859001,FN,32,OTHER
fcy_status_2,0.012205387202455946,FN,33,OTHER
is_raining,0.01045315619558096,FN,34,G_weather
track_category_3,0.00902822858694455,FN,35,OTHER
position_10,0.008991103214414223,FN,36,OTHER
position_2,0.007890166714787483,FN,37,OTHER
tyre_change_pursuer_0,0.007413422202934389,FN,38,OTHER
position_11,0.006870579966546401,FN,39,OTHER
fulfilled_second_compound_1,0.005896714900660774,FN,40,OTHER
tcn_effective_len,0.005679993303087743,FN,41,BASE_SIGNALS
pit_stops_so_far_2,0.0018236199393868446,FN,42,OTHER
position_6,0.0007212290909829671,FN,43,OTHER
row_id_44_6_48,0.0,FN,44,OTHER
row_id_44_6_8,0.0,FN,45,OTHER
row_id_45_16_16,0.0,FN,46,OTHER
row_id_45_16_15,0.0,FN,47,OTHER
row_id_45_16_14,0.0,FN,48,OTHER
row_id_45_16_13,0.0,FN,49,OTHER
row_id_45_16_12,0.0,FN,50,OTHER
row_id_45_16_11,0.0,FN,51,OTHER
row_id_45_16_10,0.0,FN,52,OTHER
row_id_45_16_1,0.0,FN,53,OTHER
row_id_44_6_9,0.0,FN,54,OTHER
row_id_44_6_7,0.0,FN,55,OTHER
row_id_44_6_49,0.0,FN,56,OTHER
row_id_45_16_17,0.0,FN,57,OTHER
row_id_44_6_6,0.0,FN,58,OTHER
row_id_44_6_55,0.0,FN,59,OTHER
row_id_44_6_54,0.0,FN,60,OTHER
row_id_44_6_53,0.0,FN,61,OTHER
