mode,model_kind,ablation_name,fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
base,svm,baseline_full,0,19525,0.09999999999999999,0.336133897909706,0.12033545736568595,0.2680494615077782,0.1670810542018896,0.6774193548387096,336,1675,160,17354
base,svm,drop_G_race_phase,0,19525,0.08,0.31394299365735373,0.11461086525958823,0.2273972602739726,0.13696369636963696,0.6693548387096774,332,2092,164,16937
base,svm,drop_G_race_control,0,19525,0.09999999999999999,0.33946229596021843,0.12053831259248371,0.27093206951026855,0.16846758349705304,0.6915322580645161,343,1693,153,17336
base,svm,drop_G_track,0,19525,0.05,0.18262350160292332,0.11059968510881049,0.22055335968379447,0.13716814159292035,0.5625,279,1755,217,17274
base,svm,drop_G_tyre_state,0,19525,0.08,0.25611848159548295,0.14914497207162852,0.2726510067114094,0.1721398305084746,0.655241935483871,325,1563,171,17466
base,svm,drop_G_strategy_history,0,19525,0.11,0.33342702089562537,0.11671713016097693,0.27640156453715775,0.17617728531855956,0.6411290322580645,318,1487,178,17542
base,svm,drop_G_pace,0,19525,0.060000000000000005,0.10763373936210514,0.11629726406450237,0.14852840520191649,0.08944765045342128,0.4375,217,2209,279,16820
base,svm,drop_G_traffic_proximity,0,19525,0.11,0.31176641884367706,0.14697654439991964,0.2652476463364716,0.16640986132511557,0.6532258064516129,324,1623,172,17406
base,svm,drop_G_undercut_defence,0,19525,0.11,0.3289673389755121,0.12444657804421076,0.2733812949640288,0.17300482056775576,0.6512096774193549,323,1544,173,17485
base,svm,drop_G_undercut_window,0,19525,0.12,0.3104911019029142,0.14795268365006436,0.25500770416024654,0.15761904761904763,0.6673387096774194,331,1769,165,17260
base,svm,drop_G_weather,0,19525,0.09999999999999999,0.35516190106937806,0.11356621011239003,0.26900119379228016,0.16757560733763013,0.6814516129032258,338,1679,158,17350
base,svm,drop_ENGINEERED_ALL,0,19525,0.09999999999999999,0.28179173877190505,0.19004876952152291,0.22318454363757495,0.13367916999201915,0.6754032258064516,335,2171,161,16858
base,svm,drop_COL_fcy_status,0,19525,0.09999999999999999,0.33946229596021843,0.12053831259248371,0.27093206951026855,0.16846758349705304,0.6915322580645161,343,1693,153,17336
base,svm,drop_COL_track_category,0,19525,0.09,0.3166371611996723,0.12170426842745506,0.2557504873294347,0.15853069115514742,0.6612903225806451,328,1741,168,17288
base,svm,drop_COL_tyre_change_pursuer,0,19525,0.09999999999999999,0.332854399398754,0.12239638510726313,0.2640914465904612,0.16413522782949536,0.6754032258064516,335,1706,161,17323
base,svm,drop_COL_close_ahead,0,19525,0.09999999999999999,0.33084895442168033,0.126323955007581,0.2629730784237222,0.16303821964199322,0.6794354838709677,337,1730,159,17299
base,svm,drop_COL_gap_behind_s,0,19525,0.09999999999999999,0.330580945971573,0.1225556926823184,0.26991869918699185,0.1690427698574338,0.6693548387096774,332,1632,164,17397
base,svm,drop_COL_n_cars_within_5s_ahead,0,19525,0.09999999999999999,0.31262757720686,0.1310536776620165,0.2543486664089679,0.15734098517455763,0.6633064516129032,329,1762,167,17267
base,svm,drop_COL_tyre_age_diff_to_ahead,0,19525,0.11,0.33039980110315936,0.12564523098700178,0.26388341866876724,0.16397454723445912,0.6754032258064516,335,1708,161,17321
base,svm,drop_COL_rejoin_gap_ahead_est_s,0,19525,0.09999999999999999,0.33176053201978045,0.1239334932688852,0.2660332541567696,0.16551724137931034,0.6774193548387096,336,1694,160,17335
base,svm,drop_COL_rejoin_gap_behind_est_s,0,19525,0.11,0.3345966348988084,0.12373359869424631,0.27261563651248466,0.17103235747303544,0.6713709677419355,333,1614,163,17415
base,svm,drop_UNDERCUT_PACK,0,19525,0.12,0.3044255712836581,0.1605610261138229,0.24517593643586832,0.15090824406148112,0.6532258064516129,324,1823,172,17206
base,svm,baseline_full,1,19449,0.12,0.25648841490607066,0.14428633414151024,0.32205812291567415,0.2184873949579832,0.6123188405797102,338,1209,214,17688
base,svm,drop_G_race_phase,1,19449,0.08,0.2408816907644569,0.13930058120965702,0.2754203362690152,0.17677286742034942,0.6231884057971014,344,1602,208,17295
base,svm,drop_G_race_control,1,19449,0.11,0.2613946627280268,0.14471140105780061,0.3200731595793324,0.21406727828746178,0.6340579710144928,350,1285,202,17612
