ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_TP,mean_FP,mean_FN,mean_TN,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.4311534994437031,0.07871096533866485,0.07767803354936956,0.012131902690071712,0.4706594623293057,0.05217764441119886,0.4432614054253391,0.5041541409738028,259.0,332.4,256.4,18640.4,0.0,0.0,0.0,0.0,0.0
drop_COL_close_ahead,0.41015510029939917,0.08485754321748017,0.08042524458356005,0.013035669655443786,0.4597974619145819,0.05538751783287006,0.4251991964628078,0.5034473709647846,258.6,357.0,256.8,18615.8,-0.02099839914430396,0.002747211034190497,-0.01086200041472385,0.02099839914430396,0.002747211034190497
drop_COL_fcy_status,0.4138070096890232,0.0795409578724545,0.07966071214314094,0.012278709492842103,0.45790749416243326,0.052432282024056406,0.43391259573563373,0.4867297732222305,249.8,330.8,265.6,18642.0,-0.01734648975467995,0.001982678593771381,-0.012751968166872463,0.01734648975467995,0.001982678593771381
drop_COL_gap_behind_s,0.4080534382094577,0.08560415369714205,0.08080450008776018,0.013496112694863149,0.45995094387017066,0.06443193748344876,0.4239634236191997,0.5066521667241828,259.6,359.0,255.8,18613.8,-0.023100061234245406,0.003126466538390618,-0.010708518459135064,0.023100061234245406,0.003126466538390618
drop_COL_n_cars_within_5s_ahead,0.4082604296128525,0.07803284443904508,0.08065685557732874,0.01326573689505608,0.4579282601036231,0.05405468370737833,0.43871755365761295,0.4810579453450942,247.4,324.4,268.0,18648.4,-0.0228930698308506,0.0029788220279591826,-0.012731202225682636,0.0228930698308506,0.0029788220279591826
drop_COL_rejoin_gap_ahead_est_s,0.4140946766365851,0.0821339120552027,0.08015681088425411,0.013343545689150943,0.46453312526558277,0.051028046549712276,0.43519366390676806,0.5016093434222659,257.6,339.6,257.8,18633.2,-0.017058822807118013,0.002478777334884552,-0.006126337063722953,0.017058822807118013,0.002478777334884552
drop_COL_rejoin_gap_behind_est_s,0.4135498379683408,0.0822775194129137,0.08025930109929094,0.012563071904392951,0.4499854345566396,0.04892187012828412,0.4157485413696015,0.49090856313061054,252.0,356.2,263.4,18616.6,-0.017603661475362298,0.0025812675499213844,-0.020674027772666137,0.017603661475362298,0.0025812675499213844
drop_COL_track_category,0.4158190824711113,0.07530365104566963,0.07969458288019655,0.012914922234476886,0.455497453563068,0.054993918619668826,0.42797800840885936,0.48911476125749653,251.0,340.0,264.4,18632.8,-0.015334416972591802,0.002016549330826997,-0.015162008766237745,0.015334416972591802,0.002016549330826997
drop_COL_tyre_age_diff_to_ahead,0.4068633065545525,0.07502062319990299,0.08069191571813994,0.012464736417261453,0.45621024674362587,0.05319882722998368,0.420341856520285,0.49989012325478105,256.6,355.6,258.8,18617.2,-0.02429019288915063,0.003013882168770382,-0.014449215585679853,0.02429019288915063,0.003013882168770382
drop_COL_tyre_change_pursuer,0.4119015996410562,0.06730838034002323,0.07943590945107618,0.011493600198904252,0.45797003346235343,0.054710627949001854,0.43634185408696863,0.48268173928177455,247.8,323.2,267.6,18649.6,-0.01925189980264691,0.0017578759017066181,-0.01268942886695229,0.01925189980264691,0.0017578759017066181
drop_ENGINEERED_ALL,0.37448687674747827,0.06557294520366552,0.08560330045576799,0.013728869576721842,0.4427296029219866,0.04794116024723233,0.3988037120584097,0.5016657213404146,257.0,390.8,258.4,18582.0,-0.056666622696224855,0.007925266906398429,-0.027929859407319124,0.056666622696224855,0.007925266906398429
drop_G_pace,0.20564846223887642,0.019604794388135158,0.10120721476420524,0.012433049039576115,0.25307329098229425,0.025936751022197987,0.2478831382201719,0.2609074669707765,134.6,412.4,380.8,18560.4,-0.2255050372048267,0.023529181214835687,-0.21758617134701147,0.2255050372048267,0.023529181214835687
drop_G_race_control,0.4138070096890232,0.0795409578724545,0.07966071214314094,0.012278709492842103,0.45790749416243326,0.052432282024056406,0.43391259573563373,0.4867297732222305,249.8,330.8,265.6,18642.0,-0.01734648975467995,0.001982678593771381,-0.012751968166872463,0.01734648975467995,0.001982678593771381
drop_G_race_phase,0.40949003449767013,0.08200268692702814,0.08090032832713771,0.012499772056576685,0.4545420068645166,0.061280958117932716,0.4253095490511581,0.49651809412571996,255.6,368.0,259.8,18604.8,-0.021663464946032995,0.003222294777768156,-0.0161174554647891,0.021663464946032995,0.003222294777768156
drop_G_strategy_history,0.4194727622595858,0.06316884540117433,0.07810684049541682,0.011313184393455208,0.4620649271676408,0.047946909370623035,0.4336247841733639,0.4955722310836455,254.2,332.2,261.2,18640.6,-0.011680737184117329,0.0004288069460472582,-0.008594535161664918,0.011680737184117329,0.0004288069460472582
drop_G_track,0.3149674972483408,0.017126043831816484,0.08930907726493743,0.006518789239653166,0.3519262128536159,0.018207234436123917,0.3434275846743317,0.36315162652722593,186.8,358.8,328.6,18614.0,-0.11618600219536235,0.011631043715567876,-0.1187332494756898,0.11618600219536235,0.011631043715567876
drop_G_traffic_proximity,0.3950425074948036,0.0971678953212791,0.08299973353917128,0.015257731907540645,0.44580125416029254,0.058322932605856186,0.4003953072442907,0.5058505814742518,259.8,396.6,255.6,18576.2,-0.03611099194889955,0.005321699989801726,-0.024858208169013185,0.03611099194889955,0.005321699989801726
drop_G_tyre_state,0.3984703977397639,0.13127327180984566,0.08353413718884035,0.01862230353854307,0.43981446607287644,0.08823191848827845,0.41564889182351206,0.48058246745783706,246.2,377.2,269.2,18595.6,-0.03268310170393923,0.005856103639470797,-0.03084499625642928,0.03268310170393923,0.005856103639470797
drop_G_undercut_defence,0.4140669122066095,0.08472846950973224,0.07994316792603559,0.012615853940444724,0.4586568476399181,0.0628548936929564,0.4182247432038457,0.510726397548949,262.2,371.8,253.2,18601.0,-0.01708658723709361,0.0022651343766660337,-0.012002614689387625,0.01708658723709361,0.0022651343766660337
drop_G_undercut_window,0.40425258795737734,0.07974049799351335,0.08234890050778432,0.014820062386011723,0.4514639991705609,0.04809376594763123,0.40677002361348064,0.5089086167277429,261.2,384.0,254.2,18588.8,-0.026900911486325785,0.00467086695841476,-0.01919546315874482,0.026900911486325785,0.00467086695841476
drop_G_weather,0.42995145671203094,0.07903008438703603,0.07861124521137582,0.013572160401423948,0.4621484408528616,0.05787477022391388,0.4264152803543236,0.5052894025121702,259.6,353.4,255.8,18619.4,-0.0012020427316721816,0.0009332116620062586,-0.008511021476444114,0.0012020427316721816,0.0009332116620062586
drop_UNDERCUT_PACK,0.38218324321643093,0.07959590294772842,0.08546447159451762,0.013485371051211155,0.44286915499733387,0.04777794316929685,0.3917791527449018,0.5131583819163136,263.0,410.6,252.4,18562.2,-0.04897025622727219,0.007786438045148059,-0.027790307331971853,0.04897025622727219,0.007786438045148059
