model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
lstm,baseline_full,0,19227,0.3957607410003267,0.15953532162209935,0.46083788706739526,0.4339622641509434,0.4912621359223301,0.92
lstm,baseline_full,1,19486,0.395752679348159,0.2521865070440539,0.45302013422818793,0.39764359351988215,0.5263157894736842,0.92
lstm,baseline_full,2,19357,0.30181920407671,0.28764803362249725,0.40693430656934304,0.38250428816466553,0.4346978557504873,0.93
lstm,baseline_full,3,19414,0.39705538554919434,0.18946710878551826,0.46601941747572817,0.44081632653061226,0.494279176201373,0.92
lstm,baseline_full,4,19432,0.3071798445464629,0.2046681360335245,0.3696682464454976,0.40540540540540543,0.3397212543554007,0.89
lstm,drop_G_race_phase,0,19227,0.3768838693818675,0.18644380425655013,0.44224422442244227,0.38450502152080346,0.5203883495145631,0.89
lstm,drop_G_race_phase,1,19486,0.42296845287780127,0.25004888848376117,0.454468085106383,0.4033232628398791,0.52046783625731,0.92
lstm,drop_G_race_phase,2,19357,0.30014592946089924,0.27912383369473326,0.38436482084690554,0.3300699300699301,0.4600389863547758,0.91
lstm,drop_G_race_phase,3,19414,0.42303530891941704,0.16109131650705802,0.4383282364933741,0.3952205882352941,0.4919908466819222,0.89
lstm,drop_G_race_phase,4,19432,0.27022340434318104,0.18362725535470562,0.357207615593835,0.3724007561436673,0.343205574912892,0.85
lstm,drop_G_strategy_history,0,19227,0.3620756817339049,0.1648179698754093,0.4312267657992565,0.41354723707664887,0.45048543689320386,0.88
lstm,drop_G_strategy_history,1,19486,0.38906893511348734,0.2658048741200467,0.46141479099678456,0.39261285909712723,0.5594541910331384,0.9
lstm,drop_G_strategy_history,2,19357,0.2772746922738162,0.3911437172732608,0.3676222596964587,0.32392273402674593,0.4249512670565302,0.93
lstm,drop_G_strategy_history,3,19414,0.42877020207843053,0.21517347058611697,0.4641350210970464,0.43052837573385516,0.5034324942791762,0.91
lstm,drop_G_strategy_history,4,19432,0.28786734827376287,0.17970227057166452,0.36163836163836166,0.4238875878220141,0.3153310104529617,0.9
lstm,drop_G_tyre_state,0,19227,0.4249633429691538,0.15925892295434477,0.4576116681859617,0.43127147766323026,0.487378640776699,0.88
lstm,drop_G_tyre_state,1,19486,0.3446812754647272,0.23043608351338862,0.42032730404823426,0.3765432098765432,0.4756335282651072,0.9
lstm,drop_G_tyre_state,2,19357,0.34527212883080904,0.21605228327444984,0.42397137745974955,0.39173553719008264,0.4619883040935672,0.92
lstm,drop_G_tyre_state,3,19414,0.3030803142508903,0.21481669255226615,0.39635995955510617,0.35507246376811596,0.448512585812357,0.89
lstm,drop_G_tyre_state,4,19432,0.27349338099938153,0.19224275597371585,0.36088709677419356,0.42822966507177035,0.3118466898954704,0.9
lstm,drop_G_track_context,0,19227,0.3496624082487783,0.19130737719291394,0.4474885844748858,0.4224137931034483,0.47572815533980584,0.86
lstm,drop_G_track_context,1,19486,0.43611111045067785,0.19675693313969514,0.45516074450084604,0.4020926756352765,0.5243664717348928,0.92
lstm,drop_G_track_context,2,19357,0.33294093293185933,0.19549798105578778,0.40610104861773116,0.39738805970149255,0.4152046783625731,0.87
lstm,drop_G_track_context,3,19414,0.38778725140628295,0.21278509847440105,0.45654450261780105,0.42084942084942084,0.4988558352402746,0.9
lstm,drop_G_track_context,4,19432,0.2598387666029665,0.22725098500042118,0.35190097259062775,0.35727109515260325,0.34668989547038326,0.91
lstm,drop_G_race_control_weather,0,19227,0.43151996067410364,0.11995427160241028,0.4782608695652174,0.46593001841620624,0.4912621359223301,0.8400000000000001
lstm,drop_G_race_control_weather,1,19486,0.3789046520597974,0.24502156269946898,0.4746887966804979,0.41329479768786126,0.557504873294347,0.92
lstm,drop_G_race_control_weather,2,19357,0.3291229290643071,0.24569630841370077,0.4111986001749781,0.373015873015873,0.4580896686159844,0.92
lstm,drop_G_race_control_weather,3,19414,0.390647464473929,0.18835593920504962,0.4282608695652174,0.4078674948240166,0.45080091533180777,0.87
lstm,drop_G_race_control_weather,4,19432,0.30769537505626127,0.18997378417820718,0.3968871595330739,0.44933920704845814,0.3554006968641115,0.91
lstm,drop_G_traffic_gap_context,0,19227,0.3983227011573899,0.24578611579887788,0.4430604982206406,0.4088669950738916,0.48349514563106794,0.92
lstm,drop_G_traffic_gap_context,1,19486,0.40462038567601155,0.27031986832729243,0.4728213977566868,0.4241486068111455,0.5341130604288499,0.9500000000000001
lstm,drop_G_traffic_gap_context,2,19357,0.360170826542898,0.21196615722654813,0.4292845257903494,0.37445573294629897,0.5029239766081871,0.91
lstm,drop_G_traffic_gap_context,3,19414,0.3798479152512954,0.1728344387064069,0.4378947368421053,0.40545808966861596,0.4759725400457666,0.88
lstm,drop_G_traffic_gap_context,4,19432,0.30252863604015656,0.18414827892038357,0.38104089219330856,0.40836653386454186,0.35714285714285715,0.89
lstm,drop_G_rejoin_window,0,19227,0.38061161672654537,0.20714694386747992,0.42613636363636365,0.41589648798521256,0.4368932038834951,0.89
lstm,drop_G_rejoin_window,1,19486,0.4335675183692695,0.20902664715045344,0.47914645974781767,0.4768339768339768,0.48148148148148145,0.9400000000000001
lstm,drop_G_rejoin_window,2,19357,0.36823210120557914,0.24043537558918784,0.4219489120151372,0.4099264705882353,0.4346978557504873,0.9500000000000001
lstm,drop_G_rejoin_window,3,19414,0.11658027929165038,0.4710215221362196,0.1596958174904943,0.10077984403119376,0.38443935926773454,0.7100000000000001
lstm,drop_G_rejoin_window,4,19432,0.3386556165709154,0.20999613065883452,0.4202626641651032,0.45528455284552843,0.3902439024390244,0.93
lstm,drop_G_pace_position,0,19227,0.20884423360592252,0.22890236231541153,0.26627218934911245,0.27054108216432865,0.2621359223300971,0.8400000000000001
lstm,drop_G_pace_position,1,19486,0.11828456684650043,0.3870115424213265,0.19845758354755785,0.13477653631284917,0.3762183235867446,0.7100000000000001
lstm,drop_G_pace_position,2,19357,0.1327631230384358,0.49611161137046644,0.1939840392879067,0.14157706093189965,0.3079922027290448,0.88
lstm,drop_G_pace_position,3,19414,0.11563118266126803,0.4755115338929029,0.18596001859600186,0.11668611435239207,0.4576659038901602,0.7100000000000001
lstm,drop_G_pace_position,4,19432,0.10611282038295185,0.2730912011964092,0.19370078740157481,0.17672413793103448,0.21428571428571427,0.85
