model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
svm,baseline_full,0,19227,0.12704358840284977,0.10169184769831163,0.2185145317545748,0.15115413253909157,0.3941747572815534,0.13
svm,baseline_full,1,19486,0.16851680202496785,0.09416265185043593,0.24421732114039807,0.1686478454680535,0.442495126705653,0.12
svm,baseline_full,2,19357,0.15833365168548655,0.09994968268459767,0.21462388216728037,0.14697406340057637,0.39766081871345027,0.12
svm,baseline_full,3,19414,0.1596799771136945,0.086961033160104,0.2065997130559541,0.13059250302297462,0.494279176201373,0.12
svm,baseline_full,4,19432,0.14043048400454222,0.11820983235156367,0.21880762138905963,0.16904083570750236,0.31010452961672474,0.12
svm,drop_G_race_phase,0,19227,0.12401319172246204,0.10210432432522176,0.21141649048625794,0.14524328249818447,0.3883495145631068,0.12
svm,drop_G_race_phase,1,19486,0.15800766296129648,0.09629057268009071,0.23306233062330622,0.1614114114114114,0.4191033138401559,0.12
svm,drop_G_race_phase,2,19357,0.1557344971382187,0.10059278171883927,0.2199641362821279,0.15862068965517243,0.3586744639376218,0.12
svm,drop_G_race_phase,3,19414,0.1579854678114693,0.08981471391016962,0.20113314447592068,0.12671029149315882,0.4874141876430206,0.12
svm,drop_G_race_phase,4,19432,0.1393467480236915,0.11755646206981589,0.20422535211267606,0.15398230088495576,0.30313588850174217,0.11
svm,drop_G_strategy_history,0,19227,0.12236287691153858,0.10257148809867277,0.20686070686070687,0.14123491838183108,0.3864077669902913,0.12
svm,drop_G_strategy_history,1,19486,0.16547363963404405,0.09417549703281919,0.2481520591341077,0.17016654598117306,0.4580896686159844,0.11
svm,drop_G_strategy_history,2,19357,0.14478826800565187,0.10097319363489962,0.2054590570719603,0.1378162450066578,0.40350877192982454,0.11
svm,drop_G_strategy_history,3,19414,0.16215286729181977,0.08726709115321434,0.19491525423728814,0.12270302311796087,0.47368421052631576,0.12
svm,drop_G_strategy_history,4,19432,0.14671970671333578,0.11685781383479417,0.2143287176399759,0.16375344986200552,0.31010452961672474,0.11
svm,drop_G_tyre_state,0,19227,0.12388173257949814,0.10327662185257346,0.19358178053830227,0.13196894848270996,0.36310679611650487,0.11
svm,drop_G_tyre_state,1,19486,0.1369369290473173,0.1003775543088551,0.22041259500542887,0.1527464258841234,0.39571150097465885,0.11
svm,drop_G_tyre_state,2,19357,0.15998810005092362,0.10049247773786145,0.2111344537815126,0.1445003594536305,0.391812865497076,0.09999999999999999
svm,drop_G_tyre_state,3,19414,0.14526097088038056,0.09060673626716688,0.1896141019533111,0.1197352587244284,0.45537757437070936,0.11
svm,drop_G_tyre_state,4,19432,0.09957957127839129,0.12726742634822852,0.17509516041326809,0.12727272727272726,0.2804878048780488,0.09999999999999999
svm,drop_G_track_context,0,19227,0.13207174207113836,0.10024063129987745,0.2143569292123629,0.1441985244802146,0.4174757281553398,0.11
svm,drop_G_track_context,1,19486,0.15795102553868745,0.09594811852228509,0.2148841793987186,0.1437994722955145,0.4249512670565302,0.11
svm,drop_G_track_context,2,19357,0.13633179161055176,0.10000483333527407,0.20354430379746835,0.1374829001367989,0.391812865497076,0.11
svm,drop_G_track_context,3,19414,0.18011344703637627,0.08395362689065075,0.21925925925925926,0.1397984886649874,0.5080091533180778,0.11
svm,drop_G_track_context,4,19432,0.13246671838095378,0.11863684551997475,0.2132564841498559,0.15934539190353145,0.32229965156794427,0.09999999999999999
svm,drop_G_race_control_weather,0,19227,0.12697477543760974,0.10189609677496446,0.21153846153846154,0.1430527036276523,0.4058252427184466,0.12
svm,drop_G_race_control_weather,1,19486,0.16750663784808412,0.09410344318248669,0.24945295404814005,0.17338403041825096,0.4444444444444444,0.12
svm,drop_G_race_control_weather,2,19357,0.1660489536501143,0.09888331967488498,0.2224428997020854,0.1492338441039307,0.43664717348927873,0.12
svm,drop_G_race_control_weather,3,19414,0.16010330881298768,0.08667631506320582,0.20719424460431654,0.13106796116504854,0.494279176201373,0.12
svm,drop_G_race_control_weather,4,19432,0.16316358546074647,0.11428960379955493,0.2254722730042657,0.1733833177132146,0.32229965156794427,0.11
svm,drop_G_traffic_gap_context,0,19227,0.12000718615787231,0.10246714088255414,0.20552147239263804,0.13948646773074255,0.39029126213592236,0.12
svm,drop_G_traffic_gap_context,1,19486,0.15900543294497535,0.09503951109036896,0.22950819672131148,0.154,0.4502923976608187,0.11
svm,drop_G_traffic_gap_context,2,19357,0.14387523551130482,0.10208644004027416,0.2037037037037037,0.13580246913580246,0.4074074074074074,0.11
svm,drop_G_traffic_gap_context,3,19414,0.15093618544653406,0.08748584440681674,0.1988472622478386,0.12583586626139817,0.47368421052631576,0.12
svm,drop_G_traffic_gap_context,4,19432,0.13731911513206252,0.11832206028021086,0.19591836734693877,0.147239263803681,0.2926829268292683,0.11
svm,drop_G_rejoin_window,0,19227,0.1276608403411192,0.10243585347623632,0.2155688622754491,0.145063801208865,0.41941747572815535,0.11
svm,drop_G_rejoin_window,1,19486,0.1554241500897968,0.09688984604547769,0.23057389537836465,0.1559065934065934,0.442495126705653,0.11
svm,drop_G_rejoin_window,2,19357,0.14496687979104042,0.10385255609677303,0.20641975308641974,0.13822751322751323,0.4074074074074074,0.11
svm,drop_G_rejoin_window,3,19414,0.14765263236225995,0.08987463045440787,0.18412162162162163,0.11289487312273433,0.4988558352402746,0.11
svm,drop_G_rejoin_window,4,19432,0.12075241250132021,0.12238346956897724,0.190004948045522,0.1326883206634416,0.3344947735191638,0.09999999999999999
svm,drop_G_pace_position,0,19227,0.11154442200048575,0.10318283064166331,0.19961427193828352,0.13277742142398974,0.40194174757281553,0.11
svm,drop_G_pace_position,1,19486,0.13685332780953322,0.09809963399400992,0.21319353429445173,0.1373873873873874,0.4756335282651072,0.11
svm,drop_G_pace_position,2,19357,0.11607488436392994,0.10723142022282567,0.18849116447666517,0.12278630460448642,0.40545808966861596,0.09999999999999999
svm,drop_G_pace_position,3,19414,0.11397575386564471,0.09310453501105624,0.18198198198198198,0.11329220415030847,0.4622425629290618,0.11
svm,drop_G_pace_position,4,19432,0.09693233218746888,0.12872215480764443,0.17597471022128555,0.12613293051359517,0.29094076655052264,0.09999999999999999
