model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
xgb,baseline_full,0,19227,0.32240549325402545,0.14271621610477633,0.3516483516483517,0.4050632911392405,0.3106796116504854,0.81
xgb,baseline_full,1,19486,0.33718425084677844,0.13013689347216248,0.3310502283105023,0.39944903581267216,0.2826510721247563,0.8
xgb,baseline_full,2,19357,0.27648703825192744,0.1388644476477891,0.3108433734939759,0.4069400630914827,0.25146198830409355,0.8300000000000001
xgb,baseline_full,3,19414,0.31411035467568893,0.13095584705901928,0.35,0.3856749311294766,0.32036613272311215,0.81
xgb,baseline_full,4,19432,0.2546617274504463,0.14197583456479995,0.2826086956521739,0.46062992125984253,0.2038327526132404,0.8300000000000001
xgb,drop_G_race_phase,0,19227,0.29971144670669625,0.16350311325006542,0.3333333333333333,0.34968017057569295,0.31844660194174756,0.81
xgb,drop_G_race_phase,1,19486,0.32057579169146994,0.14574691843697954,0.31812865497076026,0.39766081871345027,0.2651072124756335,0.81
xgb,drop_G_race_phase,2,19357,0.2833234766074536,0.1420973505173714,0.31155778894472363,0.4381625441696113,0.24171539961013644,0.8200000000000001
xgb,drop_G_race_phase,3,19414,0.3440035377654658,0.1330159884827606,0.3887468030690537,0.4405797101449275,0.34782608695652173,0.81
xgb,drop_G_race_phase,4,19432,0.24003322982054523,0.14238095128895786,0.25029239766081873,0.3807829181494662,0.18641114982578397,0.81
xgb,drop_G_strategy_history,0,19227,0.31533921115767194,0.14642208693415407,0.33598183881952326,0.40437158469945356,0.287378640776699,0.8300000000000001
xgb,drop_G_strategy_history,1,19486,0.34474556915600135,0.1260992555577248,0.32051282051282054,0.4681647940074906,0.24366471734892786,0.8300000000000001
xgb,drop_G_strategy_history,2,19357,0.27331304328415834,0.13416949797285055,0.286425902864259,0.39655172413793105,0.22417153996101363,0.8300000000000001
xgb,drop_G_strategy_history,3,19414,0.33546167038038754,0.12120824620222284,0.35714285714285715,0.44673539518900346,0.2974828375286041,0.8300000000000001
xgb,drop_G_strategy_history,4,19432,0.26456628132133614,0.1401002778140608,0.2641975308641975,0.4533898305084746,0.18641114982578397,0.8200000000000001
xgb,drop_G_tyre_state,0,19227,0.2981998047829351,0.14868633236704124,0.3281807372175981,0.4233128834355828,0.26796116504854367,0.81
xgb,drop_G_tyre_state,1,19486,0.2791559929878214,0.15235506992728776,0.31042128603104213,0.35989717223650386,0.2729044834307992,0.81
xgb,drop_G_tyre_state,2,19357,0.2630922751044544,0.14555759182363523,0.28361858190709044,0.380327868852459,0.22612085769980506,0.81
xgb,drop_G_tyre_state,3,19414,0.2802208807155253,0.14517676440514465,0.30732292917166865,0.32323232323232326,0.2929061784897025,0.78
xgb,drop_G_tyre_state,4,19432,0.20962272943264293,0.16450553446000485,0.24891774891774893,0.32857142857142857,0.20034843205574912,0.79
xgb,drop_G_track_context,0,19227,0.25054126344130373,0.1548610207875689,0.25806451612903225,0.33540372670807456,0.20970873786407768,0.81
xgb,drop_G_track_context,1,19486,0.24695288140607186,0.16050969969819437,0.26021505376344084,0.290167865707434,0.23586744639376217,0.8200000000000001
xgb,drop_G_track_context,2,19357,0.20318934768219724,0.15062088052091566,0.21683673469387754,0.31365313653136534,0.16569200779727095,0.8200000000000001
xgb,drop_G_track_context,3,19414,0.2603973783474304,0.1381997648349782,0.30434782608695654,0.34492753623188405,0.2723112128146453,0.8
xgb,drop_G_track_context,4,19432,0.17107098654219483,0.1551887600099381,0.16927083333333334,0.33505154639175255,0.1132404181184669,0.81
xgb,drop_G_race_control_weather,0,19227,0.334702130279868,0.13988121355601055,0.34324942791762014,0.4178272980501393,0.2912621359223301,0.8200000000000001
xgb,drop_G_race_control_weather,1,19486,0.3245526616295102,0.13014652157926476,0.31265508684863524,0.4300341296928328,0.24561403508771928,0.8300000000000001
xgb,drop_G_race_control_weather,2,19357,0.27857273806749006,0.14325462818292645,0.31264367816091954,0.38095238095238093,0.2651072124756335,0.8200000000000001
xgb,drop_G_race_control_weather,3,19414,0.31407506484282177,0.12861529958800116,0.34251497005988024,0.3592964824120603,0.32723112128146453,0.8
xgb,drop_G_race_control_weather,4,19432,0.25710824356315704,0.13939178163623436,0.25838509316770186,0.45021645021645024,0.18118466898954705,0.8300000000000001
xgb,drop_G_traffic_gap_context,0,19227,0.27514149984110997,0.16170399418586323,0.3192307692307692,0.3161904761904762,0.32233009708737864,0.8
xgb,drop_G_traffic_gap_context,1,19486,0.3020742277339467,0.14246278533935092,0.3050430504305043,0.41333333333333333,0.24171539961013644,0.8400000000000001
xgb,drop_G_traffic_gap_context,2,19357,0.24937465881192794,0.15374820332313716,0.2736842105263158,0.34210526315789475,0.22807017543859648,0.8300000000000001
xgb,drop_G_traffic_gap_context,3,19414,0.30951016090952665,0.14461556723687316,0.3252032520325203,0.330188679245283,0.32036613272311215,0.8200000000000001
xgb,drop_G_traffic_gap_context,4,19432,0.2171705408861797,0.1528799057328288,0.22141119221411193,0.36693548387096775,0.15853658536585366,0.8200000000000001
xgb,drop_G_rejoin_window,0,19227,0.3171857791433357,0.15287577916789985,0.3441762854144806,0.3744292237442922,0.31844660194174756,0.8300000000000001
xgb,drop_G_rejoin_window,1,19486,0.32061684245894595,0.14364342698677468,0.32409381663113007,0.35764705882352943,0.2962962962962963,0.81
xgb,drop_G_rejoin_window,2,19357,0.2592771317314948,0.15477541216363874,0.2927400468384075,0.36656891495601174,0.24366471734892786,0.8400000000000001
xgb,drop_G_rejoin_window,3,19414,0.3010518580291243,0.14767378235401482,0.35600907029478457,0.35280898876404493,0.35926773455377575,0.8200000000000001
xgb,drop_G_rejoin_window,4,19432,0.23466404700699683,0.15832908763258635,0.267260579064588,0.37037037037037035,0.20905923344947736,0.8200000000000001
xgb,drop_G_pace_position,0,19227,0.15983968644280103,0.19830040659080406,0.20036764705882354,0.19022687609075042,0.21165048543689322,0.79
xgb,drop_G_pace_position,1,19486,0.17500139040841714,0.18122064328141743,0.2140391254315305,0.2612359550561798,0.18128654970760233,0.81
xgb,drop_G_pace_position,2,19357,0.14091173605877885,0.2146057779330173,0.19860973187686196,0.20242914979757085,0.1949317738791423,0.81
xgb,drop_G_pace_position,3,19414,0.15133446746378829,0.19120872731537483,0.2222222222222222,0.20669291338582677,0.2402745995423341,0.79
xgb,drop_G_pace_position,4,19432,0.10754951897004761,0.20527180115153904,0.15332581736189402,0.21725239616613418,0.11846689895470383,0.81
