model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
lstm,baseline_full,0,19227,0.4329519396796546,0.16778651249168436,0.4611872146118721,0.37922403003754696,0.5883495145631068,0.8400000000000001
lstm,baseline_full,1,19486,0.4451932181996845,0.2746974795673504,0.5016835016835017,0.4414814814814815,0.580896686159844,0.93
lstm,baseline_full,2,19357,0.4583643368551988,0.18088506230913817,0.4879459980713597,0.48282442748091603,0.49317738791423,0.92
lstm,baseline_full,3,19414,0.500854895998009,0.1270456622343152,0.5320910973084886,0.48582230623818523,0.5881006864988558,0.88
lstm,baseline_full,4,19432,0.3592915567553398,0.20760939343945733,0.4213075060532688,0.3924812030075188,0.4547038327526132,0.93
lstm,drop_G_race_phase,0,19227,0.4162115442198908,0.19421735277998897,0.48097165991902835,0.4125,0.5766990291262136,0.88
lstm,drop_G_race_phase,1,19486,0.4322586319745817,0.21019490269157629,0.4702194357366771,0.3931847968545216,0.5847953216374269,0.88
lstm,drop_G_race_phase,2,19357,0.41832428916911396,0.34589609710064284,0.471315092674316,0.4306451612903226,0.52046783625731,0.9500000000000001
lstm,drop_G_race_phase,3,19414,0.4988866610924556,0.15322832301632433,0.5277161862527716,0.5118279569892473,0.5446224256292906,0.91
lstm,drop_G_race_phase,4,19432,0.39199152701372264,0.1594443402206505,0.4414715719063545,0.42443729903536975,0.45993031358885017,0.89
lstm,drop_G_strategy_history,0,19227,0.4663799258345092,0.10857587549327188,0.5210084033613446,0.5017985611510791,0.541747572815534,0.88
lstm,drop_G_strategy_history,1,19486,0.503161379954304,0.22241624471017607,0.5396260017809439,0.4967213114754098,0.5906432748538012,0.9500000000000001
lstm,drop_G_strategy_history,2,19357,0.4667538645595194,0.19420022711470075,0.5038560411311054,0.44954128440366975,0.5730994152046783,0.91
lstm,drop_G_strategy_history,3,19414,0.46706460212682915,0.19605273080040136,0.5,0.5352480417754569,0.4691075514874142,0.92
lstm,drop_G_strategy_history,4,19432,0.3306034581071399,0.2026576353946957,0.40168539325842695,0.33647058823529413,0.49825783972125437,0.8400000000000001
lstm,drop_G_tyre_state,0,19227,0.4457588289170698,0.1656449365284826,0.4920353982300885,0.45203252032520325,0.5398058252427185,0.91
lstm,drop_G_tyre_state,1,19486,0.4558028049675829,0.21508309814798132,0.5164152617568767,0.4739413680781759,0.5672514619883041,0.92
lstm,drop_G_tyre_state,2,19357,0.4407639203777244,0.1781410386997883,0.48080438756855576,0.45266781411359724,0.5126705653021443,0.9
lstm,drop_G_tyre_state,3,19414,0.563687701130102,0.10129641662452872,0.5565819861431871,0.5617715617715617,0.551487414187643,0.92
lstm,drop_G_tyre_state,4,19432,0.305149626937134,0.2195937757671598,0.39667128987517336,0.3294930875576037,0.49825783972125437,0.87
lstm,drop_G_track_context,0,19227,0.45950187249918883,0.14382046838486312,0.5126705653021443,0.5146771037181996,0.5106796116504855,0.91
lstm,drop_G_track_context,1,19486,0.449380460302906,0.27266815793713256,0.4886164623467601,0.4435612082670906,0.543859649122807,0.93
lstm,drop_G_track_context,2,19357,0.4268264429770859,0.173343611868966,0.44047619047619047,0.4484848484848485,0.4327485380116959,0.91
lstm,drop_G_track_context,3,19414,0.44635444525604906,0.10645754979085352,0.48299319727891155,0.4786516853932584,0.4874141876430206,0.8300000000000001
lstm,drop_G_track_context,4,19432,0.370741457073013,0.24014055527689712,0.4276422764227642,0.4009146341463415,0.45818815331010454,0.93
lstm,drop_G_race_control_weather,0,19227,0.391085524604149,0.24024763137112248,0.47368421052631576,0.401894451962111,0.5766990291262136,0.92
lstm,drop_G_race_control_weather,1,19486,0.4300120915703039,0.22498868385166632,0.4903677758318739,0.4451510333863275,0.5458089668615984,0.9400000000000001
lstm,drop_G_race_control_weather,2,19357,0.4737119487570786,0.15033421473579298,0.5004616805170822,0.47543859649122805,0.5282651072124757,0.9
lstm,drop_G_race_control_weather,3,19414,0.17278133574611113,0.36187516634357436,0.23376623376623376,0.15517241379310345,0.47368421052631576,0.79
lstm,drop_G_race_control_weather,4,19432,0.3441170423474764,0.2435879276879721,0.4258841234010534,0.3748344370860927,0.4930313588850174,0.93
lstm,drop_G_traffic_gap_context,0,19227,0.18526678134999405,0.3620408408135296,0.24750118990956688,0.16393442622950818,0.5048543689320388,0.73
lstm,drop_G_traffic_gap_context,1,19486,0.5040610785767744,0.24210272738710456,0.5096596136154554,0.48257839721254353,0.5399610136452242,0.9500000000000001
lstm,drop_G_traffic_gap_context,2,19357,0.4711751296736871,0.14145240883939317,0.5004566210045662,0.47079037800687284,0.5341130604288499,0.8400000000000001
lstm,drop_G_traffic_gap_context,3,19414,0.4780927752379648,0.13738323153119736,0.5297549591598599,0.5404761904761904,0.5194508009153318,0.9500000000000001
lstm,drop_G_traffic_gap_context,4,19432,0.28671204009175844,0.20643519387566495,0.38075017692852087,0.3206197854588796,0.4686411149825784,0.88
lstm,drop_G_rejoin_window,0,19227,0.5149043903499045,0.15116775855174536,0.5241502683363148,0.4859038142620232,0.5689320388349515,0.92
