model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
xgb,baseline_full,0,19227,0.3718212888341673,0.1430461656090105,0.3942307692307692,0.3904761904761905,0.39805825242718446,0.8400000000000001
xgb,baseline_full,1,19486,0.33973102915712877,0.14634862482582453,0.3611650485436893,0.3597678916827853,0.36257309941520466,0.8400000000000001
xgb,baseline_full,2,19357,0.3376880684626872,0.12116323979590489,0.3493552168815944,0.43823529411764706,0.290448343079922,0.85
xgb,baseline_full,3,19414,0.3567303094374259,0.11636092135557143,0.3927272727272727,0.4175257731958763,0.3707093821510298,0.8400000000000001
xgb,baseline_full,4,19432,0.4077211304835799,0.107898056267292,0.37514654161781946,0.5734767025089605,0.2787456445993031,0.8400000000000001
xgb,drop_G_race_phase,0,19227,0.34959211979669835,0.15293888434323347,0.3871543264942016,0.3580858085808581,0.42135922330097086,0.81
xgb,drop_G_race_phase,1,19486,0.33811191757835646,0.16799780545573267,0.3407821229050279,0.32620320855614976,0.3567251461988304,0.8400000000000001
xgb,drop_G_race_phase,2,19357,0.2921587384760735,0.1447784309365464,0.324,0.3326488706365503,0.3157894736842105,0.8400000000000001
xgb,drop_G_race_phase,3,19414,0.34400381774578553,0.12067394716087854,0.39766081871345027,0.40669856459330145,0.3890160183066362,0.8300000000000001
xgb,drop_G_race_phase,4,19432,0.3488025345152368,0.12012191057049378,0.30804077010192527,0.4401294498381877,0.23693379790940766,0.8300000000000001
xgb,drop_G_strategy_history,0,19227,0.38797270701418574,0.14318319723202522,0.4022346368715084,0.38640429338103754,0.41941747572815535,0.8300000000000001
xgb,drop_G_strategy_history,1,19486,0.3517221748232898,0.1419220132571927,0.36363636363636365,0.3687374749498998,0.3586744639376218,0.8400000000000001
xgb,drop_G_strategy_history,2,19357,0.3300300708923375,0.12162793020372697,0.3370044052863436,0.38734177215189874,0.2982456140350877,0.8300000000000001
xgb,drop_G_strategy_history,3,19414,0.37530636732613193,0.11177760956331957,0.3871763255240444,0.4197860962566845,0.35926773455377575,0.8400000000000001
xgb,drop_G_strategy_history,4,19432,0.3892837966549453,0.11350077897351178,0.36363636363636365,0.5,0.2857142857142857,0.8300000000000001
xgb,drop_G_tyre_state,0,19227,0.3389836332222073,0.16004102417927518,0.376599634369287,0.35578583765112265,0.4,0.8300000000000001
xgb,drop_G_tyre_state,1,19486,0.3119423797549393,0.1629428450268741,0.34519572953736655,0.31751227495908346,0.37816764132553604,0.8200000000000001
xgb,drop_G_tyre_state,2,19357,0.34232447216741546,0.12554098778477735,0.3470715835140998,0.39119804400978,0.31189083820662766,0.8200000000000001
xgb,drop_G_tyre_state,3,19414,0.3607832417845034,0.1103527341631905,0.3777490297542044,0.43452380952380953,0.3340961098398169,0.8200000000000001
xgb,drop_G_tyre_state,4,19432,0.37585259152184536,0.12224746330102236,0.3756786102062975,0.49855907780979825,0.30139372822299654,0.8300000000000001
xgb,drop_G_track_context,0,19227,0.34854101846979757,0.13744859507138718,0.3605514316012725,0.397196261682243,0.3300970873786408,0.8300000000000001
xgb,drop_G_track_context,1,19486,0.2706375994739032,0.1751318476688945,0.3117309269893355,0.26912181303116145,0.37037037037037035,0.81
xgb,drop_G_track_context,2,19357,0.2984265055348426,0.12314738930100717,0.30861244019138756,0.3993808049535604,0.25146198830409355,0.8200000000000001
xgb,drop_G_track_context,3,19414,0.31727235118103503,0.11923304944419652,0.33413461538461536,0.3518987341772152,0.3180778032036613,0.8300000000000001
xgb,drop_G_track_context,4,19432,0.3249941474274715,0.11709273103086763,0.2842377260981912,0.55,0.1916376306620209,0.8400000000000001
xgb,drop_G_race_control_weather,0,19227,0.3914944484742596,0.1396095182106403,0.39959016393442626,0.4229934924078091,0.3786407766990291,0.8400000000000001
xgb,drop_G_race_control_weather,1,19486,0.3244276143014364,0.14675308028542167,0.3567362428842505,0.34750462107208874,0.3664717348927875,0.8300000000000001
xgb,drop_G_race_control_weather,2,19357,0.3369280704346281,0.12424161621316723,0.3434125269978402,0.38498789346246975,0.30994152046783624,0.8300000000000001
xgb,drop_G_race_control_weather,3,19414,0.3461196118921461,0.11374579159476542,0.3648124191461837,0.41964285714285715,0.32265446224256294,0.85
xgb,drop_G_race_control_weather,4,19432,0.3944245906807375,0.11113859752146518,0.36220472440944884,0.5111111111111111,0.2804878048780488,0.8400000000000001
xgb,drop_G_traffic_gap_context,0,19227,0.35334790260209276,0.15904928369684562,0.3720106288751107,0.34201954397394135,0.4077669902912621,0.8300000000000001
xgb,drop_G_traffic_gap_context,1,19486,0.30862074218410646,0.1579529400310162,0.3539325842696629,0.34054054054054056,0.3684210526315789,0.8400000000000001
xgb,drop_G_traffic_gap_context,2,19357,0.3180932639189322,0.12812852383855713,0.3344407530454042,0.3871794871794872,0.29434697855750486,0.8400000000000001
xgb,drop_G_traffic_gap_context,3,19414,0.36466293910762576,0.12193151049227663,0.37383177570093457,0.3818615751789976,0.36613272311212813,0.8400000000000001
xgb,drop_G_traffic_gap_context,4,19432,0.3802041737277781,0.11629440691915026,0.3764458464773922,0.47480106100795755,0.3118466898954704,0.8200000000000001
xgb,drop_G_rejoin_window,0,19227,0.35666318087625604,0.151201975810874,0.39019963702359345,0.36626916524701875,0.4174757281553398,0.8300000000000001
xgb,drop_G_rejoin_window,1,19486,0.34068570621219135,0.15777869905913733,0.37783832879200724,0.35374149659863946,0.40545808966861596,0.8400000000000001
xgb,drop_G_rejoin_window,2,19357,0.33437084365668235,0.1285656139040044,0.3494736842105263,0.37986270022883295,0.3235867446393762,0.8300000000000001
xgb,drop_G_rejoin_window,3,19414,0.3345402588387142,0.12648495460849005,0.36342857142857143,0.363013698630137,0.36384439359267734,0.85
xgb,drop_G_rejoin_window,4,19432,0.3761626876425525,0.11737627857035528,0.3657754010695187,0.47368421052631576,0.2979094076655052,0.8300000000000001
xgb,drop_G_pace_position,0,19227,0.21848586480985158,0.18612883913948478,0.2604817127564674,0.24092409240924093,0.283495145631068,0.8200000000000001
xgb,drop_G_pace_position,1,19486,0.20383487318960683,0.17986025057357358,0.26396917148362237,0.26095238095238094,0.26705653021442494,0.8300000000000001
xgb,drop_G_pace_position,2,19357,0.17451932536673573,0.17439582922872685,0.195357833655706,0.19385796545105566,0.1968810916179337,0.81
xgb,drop_G_pace_position,3,19414,0.17554119856906275,0.17608340379969842,0.2427860696517413,0.2147887323943662,0.2791762013729977,0.8200000000000001
xgb,drop_G_pace_position,4,19432,0.18131558553279073,0.17656067708382311,0.2202729044834308,0.25,0.19686411149825783,0.8300000000000001
