ablation_name,meta_fold_id,n_test_rows,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
baseline_full,0,19462,0.31,0.6626365436843918,0.05484741645671881,0.6626984126984127,0.6626984126984127,0.6626984126984127,334,170,170,18788
base_only,0,19462,0.27,0.6332399286741085,0.05307866162116368,0.6781725888324873,0.6943866943866944,0.6626984126984127,334,147,170,18811
raw_only,0,19462,0.2,0.4308959484843397,0.0764084441071295,0.421792618629174,0.3785488958990536,0.47619047619047616,240,394,264,18564
classical_only,0,19462,0.26,0.45181377403871803,0.06992863987190283,0.4978902953586498,0.5315315315315315,0.46825396825396826,236,208,268,18750
tcn_only,0,19462,0.28,0.655841310945514,0.05657129597347259,0.65,0.6842105263157895,0.6190476190476191,312,144,192,18814
drop_p_svm,0,19462,0.31,0.6660379385028308,0.05520857341337371,0.6522167487684729,0.6477495107632094,0.6567460317460317,331,180,173,18778
drop_p_rf,0,19462,0.32,0.6658145805382719,0.05502093180109955,0.6606606606606606,0.6666666666666666,0.6547619047619048,330,165,174,18793
drop_p_xgb,0,19462,0.31,0.6670897666614549,0.05403810457777778,0.654,0.6592741935483871,0.6488095238095238,327,169,177,18789
drop_p_ann,0,19462,0.33,0.6768185321360429,0.054575254269130694,0.6686686686686687,0.6747474747474748,0.6626984126984127,334,161,170,18797
drop_tcn_proba,0,19462,0.29000000000000004,0.30434914510012945,0.08903108366065876,0.40219092331768386,0.33204134366925064,0.5099206349206349,257,517,247,18441
drop_tcn_effective_len,0,19462,0.31,0.6657686706930737,0.0543280113763879,0.6693227091633466,0.672,0.6666666666666666,336,164,168,18794
drop_G_race_phase,0,19462,0.31,0.6691414259081494,0.05380971396513217,0.6633366633366633,0.6680080482897385,0.6587301587301587,332,165,172,18793
drop_G_race_control,0,19462,0.31,0.6663688842105242,0.054726884174660165,0.6692991115498519,0.6660117878192534,0.6726190476190477,339,170,165,18788
drop_G_track,0,19462,0.32,0.6717023470243839,0.05438450564982351,0.6512096774193549,0.6618852459016393,0.6408730158730159,323,165,181,18793
drop_G_tyre,0,19462,0.32,0.6743012914231854,0.0540310634244086,0.6666666666666666,0.6811594202898551,0.6527777777777778,329,154,175,18804
drop_G_traffic,0,19462,0.31,0.6614432332036082,0.054973386834682156,0.6497560975609756,0.6391554702495201,0.6607142857142857,333,188,171,18770
drop_G_strategy_history,0,19462,0.33,0.6695467208074471,0.05451516285599937,0.6626506024096386,0.6707317073170732,0.6547619047619048,330,162,174,18796
drop_G_pace,0,19462,0.31,0.6787653107763676,0.05248665700987025,0.6555671175858481,0.6892778993435449,0.625,315,142,189,18816
drop_G_weather,0,19462,0.32,0.6616893373469498,0.05420928923947018,0.6606606606606606,0.6666666666666666,0.6547619047619048,330,165,174,18793
drop_G_tyre_and_G_race_control,0,19462,0.29000000000000004,0.6802151586320704,0.05354827905029374,0.6660019940179461,0.6693386773547094,0.6626984126984127,334,165,170,18793
drop_G_tyre_and_G_traffic,0,19462,0.33,0.6767989694121298,0.05419992719105863,0.6523955147808359,0.6708595387840671,0.6349206349206349,320,157,184,18801
drop_G_weather_and_G_tyre,0,19462,0.31,0.6748692712338659,0.05322792331197736,0.6693629929221436,0.6824742268041237,0.6567460317460317,331,154,173,18804
baseline_full,1,19541,0.3,0.5316918455243553,0.07047562448554413,0.5592497868712702,0.5248,0.5985401459854015,328,297,220,18696
base_only,1,19541,0.25,0.5565591533380579,0.067774691132422,0.5121951219512195,0.4397905759162304,0.6131386861313869,336,428,212,18565
raw_only,1,19541,0.19,0.28291643002392686,0.08838849368294774,0.37509266123054114,0.31585518102372034,0.46167883211678834,253,548,295,18445
classical_only,1,19541,0.25,0.31238380570755653,0.08500996549726868,0.4100486223662885,0.3688046647230321,0.46167883211678834,253,433,295,18560
tcn_only,1,19541,0.3,0.5572777414874883,0.06805265780729962,0.6115537848605578,0.6732456140350878,0.5602189781021898,307,149,241,18844
drop_p_svm,1,19541,0.3,0.520222006067149,0.07122684159188813,0.5555555555555556,0.522508038585209,0.593065693430657,325,297,223,18696
drop_p_rf,1,19541,0.29000000000000004,0.5452888788411842,0.06956459219075346,0.56013456686291,0.5195007800312013,0.6076642335766423,333,308,215,18685
drop_p_xgb,1,19541,0.27,0.5754229006587223,0.06613445963347127,0.5731191885038038,0.5338582677165354,0.6186131386861314,339,296,209,18697
