ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.4783543852042117,0.06492118292876745,0.07313071378380083,0.016871110392969006,0.48005262733972687,0.04939078954136272,0.4852212024378863,0.49223494560006886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_all_race_context_KEEP_ONLY_PREDS,0.47028996542998175,0.06934415753995431,0.07211168172951889,0.015498607602028123,0.4843599133433606,0.046429213041513075,0.47111124450124586,0.5157741758363829,-0.008064419774229947,-0.001019032054281943,0.004307286003633726,-0.014109957936640438,0.02353923023631399,0.008064419774229947,-0.001019032054281943
drop_all_sequential_bases,0.3010162638966771,0.030737053955693046,0.08854409163337824,0.01294369100197212,0.3343572496644702,0.016671712937383728,0.3126934986463958,0.3788848647797165,-0.17733812130753457,0.015413377849577414,-0.14569537767525664,-0.17252770379149052,-0.11335008082035236,0.17733812130753457,0.015413377849577414
drop_all_tabular_bases,0.4711684411747138,0.07622672173001444,0.07439600191779716,0.017880968645666837,0.4770471054084123,0.0535666441258763,0.47376738784274447,0.49314787131987375,-0.007185944029497904,0.0012652881339963312,-0.003005521931314592,-0.011453814595141831,0.0009129257198048912,0.007185944029497904,0.0012652881339963312
drop_ann,0.47928844298869616,0.06330652107456829,0.07279488692143818,0.0164066480413222,0.4811208915380053,0.04504713386993824,0.48431974043459913,0.492714469799139,0.0009340577844844655,-0.0003358268623626509,0.0010682641982784347,-0.0009014620032871679,0.0004795241990701582,-0.0009340577844844655,-0.0003358268623626509
drop_gru,0.4693602581917592,0.06550858493119888,0.07416121120283439,0.016766989192841034,0.4782531955081598,0.049461944952674,0.4917535050728067,0.4814828984936129,-0.008994127012452502,0.001030497419033563,-0.0017994318315670554,0.006532302634920384,-0.010752047106455942,0.008994127012452502,0.001030497419033563
drop_hybrid_vse,0.47283271451654196,0.06417211079565265,0.0741012906364392,0.01723585547294642,0.47379881661699386,0.054990874306891806,0.4594083822004382,0.5127244450782925,-0.005521670687669733,0.0009705768526383635,-0.006253810722733011,-0.025812820237448075,0.02048949947822365,0.005521670687669733,0.0009705768526383635
drop_lstm,0.46283188322062935,0.06192822670714148,0.07437439100942829,0.016024893214685445,0.4701273507683177,0.05528201656857405,0.4701301809802204,0.49282044679008347,-0.015522501983582349,0.0012436772256274597,-0.00992527657140918,-0.015091021457665887,0.0005855011900146034,0.015522501983582349,0.0012436772256274597
drop_rf,0.48118640374476895,0.06683719417353265,0.0729561544246136,0.0172234931913981,0.4791937343252729,0.04850069690213016,0.4901175067923331,0.48580541825311807,0.0028320185405572573,-0.00017455935918722632,-0.0008588930144539653,0.004896304354446823,-0.006429527346950792,-0.0028320185405572573,-0.00017455935918722632
drop_svm,0.4739260976641068,0.06755118268634128,0.07334077874178008,0.016830083164326447,0.48123908562251144,0.05268827536371944,0.4782210052943995,0.4978244236358919,-0.0044282875401048805,0.0002100649579792474,0.0011864582827845749,-0.007000197143486819,0.005589478035823048,0.0044282875401048805,0.0002100649579792474
drop_tcn,0.47417780026001183,0.06422947023136054,0.07305543611181661,0.016818834049579384,0.4837310420971736,0.05243692473849534,0.49228886029281577,0.4914349210328675,-0.004176584944199868,-7.527767198421687e-05,0.003678414757446735,0.0070676578549294655,-0.0008000245672013517,0.004176584944199868,-7.527767198421687e-05
drop_tcn_gru,0.46873317341254905,0.0658099282087213,0.07408371738329186,0.016682209500971424,0.4684535155352843,0.045678272703336784,0.47133803833521865,0.4893671986044311,-0.009621211791662643,0.0009530035994910341,-0.011599111804442563,-0.013883164102667656,-0.0028677469956377433,0.009621211791662643,0.0009530035994910341
drop_xgb,0.46562895613098976,0.07305153993950676,0.07462972681933194,0.017586987404259447,0.4758901249617352,0.05866703762765314,0.47357479023117277,0.497779468593443,-0.012725429073221939,0.0014990130355311132,-0.00416250237799165,-0.01164641220671353,0.005544522993374157,0.012725429073221939,0.0014990130355311132
