ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_TP,mean_FP,mean_FN,mean_TN,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
drop_tcn_proba,0.31617607868881425,0.03417529899488767,0.09926371451794892,0.013869744973898725,0.37985166116388924,0.031001190008309403,0.3247583418696983,0.4968527392146577,273.6,633.4,279.8,18238.0,-0.2679033660191422,0.03017263315321729,-0.19689511867426435,0.2679033660191422,0.03017263315321729
raw_only,0.3275052252659774,0.07748419533290435,0.09077610055771973,0.011554871989887684,0.39442555077987007,0.020884416892324443,0.35162879814218073,0.4636062782452034,255.6,493.8,297.8,18377.6,-0.25657421944197906,0.021685019192988098,-0.18232122905828352,0.25657421944197906,0.021685019192988098
classical_only,0.3610743508840507,0.06000557752213408,0.08543708587798185,0.010613167652677995,0.41261276144335807,0.052954237876555864,0.4006517276313394,0.4632892801158607,255.6,448.4,297.8,18423.0,-0.22300509382390576,0.016346004513250217,-0.16413401839479552,0.22300509382390576,0.016346004513250217
drop_G_traffic,0.5709815806378278,0.059466380991693726,0.07082124310655494,0.009265990719032087,0.5694238859909687,0.0644564658718839,0.5348158050777172,0.6137499335617616,339.2,312.4,214.2,18559.0,-0.013097864070128695,0.001730161741823305,-0.007322893847184875,0.013097864070128695,0.001730161741823305
drop_G_pace,0.5756112820150086,0.06434368115287899,0.07077860862576599,0.010818243957134996,0.5739125433820178,0.060738840412920214,0.5450356448516047,0.6123767255738132,338.6,300.4,214.8,18571.0,-0.008468162692947923,0.001687527261034355,-0.002834236456135786,0.008468162692947923,0.001687527261034355
drop_G_tyre_and_G_traffic,0.5748008695824333,0.06553970401290915,0.07026000896289183,0.009170260586753428,0.5782880261048948,0.04555474526074014,0.558560127412583,0.6021827844147715,332.6,269.0,220.8,18602.4,-0.009278575125523214,0.001168927598160202,0.0015412462667412363,0.009278575125523214,0.001168927598160202
drop_G_race_control,0.5843911963351408,0.049506591335631574,0.06934673457892372,0.008554416328771313,0.5803860656984821,0.05598967991725456,0.5492551162448167,0.6168230072232767,340.4,285.2,213.0,18586.2,0.00031175162718433125,0.0002556532141920892,0.0036392858603284672,-0.00031175162718433125,0.0002556532141920892
drop_tcn_effective_len,0.5816969896556993,0.05297705310838829,0.06928293751832645,0.008683949996176553,0.582228018380679,0.055603096789612096,0.5579128418879759,0.6097183474974606,336.6,272.4,216.8,18599.0,-0.002382455052257204,0.00019185615359482155,0.005481238542525357,0.002382455052257204,0.00019185615359482155
drop_p_svm,0.578791156601283,0.05387247456437388,0.06923893978368292,0.008146339559606273,0.5812531919748184,0.050595192574253066,0.5593983654485293,0.6054068697819266,334.2,266.6,219.2,18604.8,-0.005288288106673478,0.00014785841895129104,0.004506412136664806,0.005288288106673478,0.00014785841895129104
drop_G_strategy_history,0.5860313124037064,0.051405412087992305,0.06909367306186981,0.008642998946455215,0.5847773802229747,0.05546036459314264,0.5692229115543345,0.6019748146713995,332.2,256.2,221.2,18615.2,0.0019518676957499537,2.5916971381767517e-06,0.008030600384821063,-0.0019518676957499537,2.5916971381767517e-06
baseline_full,0.5840794447079565,0.051934495551183485,0.06909108136473163,0.008763134299623967,0.5767467798381536,0.06142711030261734,0.544427272478661,0.6150231921214209,339.6,294.0,213.8,18577.4,0.0,0.0,0.0,0.0,0.0
drop_G_race_phase,0.5921569598978482,0.04674535970984105,0.06873224499048965,0.009463230044210715,0.5745007596719565,0.05477029012946181,0.5374369556164273,0.6202342249876056,342.6,305.8,210.8,18565.6,0.008077515189891749,-0.0003588363742419859,-0.002246020166197127,-0.008077515189891749,-0.0003588363742419859
tcn_only,0.5990417041468746,0.038492570914459796,0.06865237597195939,0.008033439623981767,0.6174340449295506,0.029035752689082494,0.6955645921775151,0.5602005816315276,308.8,137.2,244.6,18734.2,0.014962259438918157,-0.00043870539277224285,0.040687265091396974,-0.014962259438918157,-0.00043870539277224285
drop_G_weather,0.5895868236112831,0.04827932818421661,0.06848249166904465,0.008430711686118943,0.5859221463943284,0.05480526764956113,0.5654384573186378,0.6089502028605531,336.2,264.4,217.2,18607.0,0.005507378903326643,-0.0006085896956869868,0.009175366556174791,-0.005507378903326643,-0.0006085896956869868
drop_p_rf,0.5923827223761166,0.04716720237712739,0.0683825196916851,0.008015793140167524,0.5820154090532044,0.05492361343102672,0.5532365569132891,0.6164156207061117,340.6,284.8,212.8,18586.6,0.00830327766816008,-0.0007085616730465316,0.00526862921505078,-0.00830327766816008,-0.0007085616730465316
drop_G_track,0.5934005910568103,0.06729739804825832,0.06830993724402674,0.011200033714579246,0.5789541532183946,0.06000842267466662,0.5587550066403095,0.6074981459160076,336.0,284.6,217.4,18586.8,0.009321146348853837,-0.000781144120704888,0.002207373380241018,-0.009321146348853837,-0.000781144120704888
drop_G_tyre_and_G_race_control,0.5903301292216308,0.05257169446813401,0.0681697568442931,0.008409075236110175,0.5911629685868183,0.04595989157224648,0.585527717057004,0.6005694513598583,331.2,239.6,222.2,18631.8,0.006250684513674276,-0.0009213245204385268,0.014416188748664682,-0.006250684513674276,-0.0009213245204385268
