slice_col,slice_value,rank_group,ablation_name,delta_PR_AUC_vs_ref
slice_fcy,GREEN,BEST,stream_tcn_proba,0.0
slice_fcy,GREEN,BEST,stream_p_xgb,-0.2097130690092947
slice_fcy,GREEN,BEST,stream_p_rf,-0.3576528160422619
slice_fcy,GREEN,WORST,stream_p_rf,-0.3576528160422619
slice_fcy,GREEN,WORST,stream_p_svm,-0.36891202401352224
slice_fcy,GREEN,WORST,stream_p_ann,-0.5324509038067484
slice_phase_x_traffic,early×CLEAN_AIR,BEST,stream_tcn_proba,0.0
slice_phase_x_traffic,early×CLEAN_AIR,BEST,stream_p_xgb,-0.20440902023977303
slice_phase_x_traffic,early×CLEAN_AIR,BEST,stream_p_rf,-0.3170500981671085
slice_phase_x_traffic,early×CLEAN_AIR,WORST,stream_p_rf,-0.3170500981671085
slice_phase_x_traffic,early×CLEAN_AIR,WORST,stream_p_svm,-0.3727351417150426
slice_phase_x_traffic,early×CLEAN_AIR,WORST,stream_p_ann,-0.5049635015103685
slice_phase_x_traffic,late×CLEAN_AIR,BEST,stream_tcn_proba,0.0
slice_phase_x_traffic,late×CLEAN_AIR,BEST,stream_p_xgb,-0.1520415652060943
slice_phase_x_traffic,late×CLEAN_AIR,BEST,stream_p_rf,-0.26334217262031
slice_phase_x_traffic,late×CLEAN_AIR,WORST,stream_p_rf,-0.26334217262031
slice_phase_x_traffic,late×CLEAN_AIR,WORST,stream_p_svm,-0.2639414232485768
slice_phase_x_traffic,late×CLEAN_AIR,WORST,stream_p_ann,-0.37771327571782976
slice_phase_x_traffic,mid×CLEAN_AIR,BEST,stream_tcn_proba,0.0
slice_phase_x_traffic,mid×CLEAN_AIR,BEST,stream_p_xgb,-0.21754704525230478
slice_phase_x_traffic,mid×CLEAN_AIR,BEST,stream_p_svm,-0.37771378821373985
slice_phase_x_traffic,mid×CLEAN_AIR,WORST,stream_p_svm,-0.37771378821373985
slice_phase_x_traffic,mid×CLEAN_AIR,WORST,stream_p_rf,-0.4161175737999314
