slice_col,slice_value,ablation_name,fold_id,threshold_used,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN,n_rows,n_pos,pos_rate
slice_race_phase,early,stream_p_ann,0,0.5700000000000001,0.06650136753342989,0.41259362753507567,0.09720972097209721,0.05921052631578947,0.271356783919598,54,858,145,5316,6373,199,0.031225482504315078
slice_race_phase,late,stream_p_ann,0,0.5700000000000001,0.05052742765530119,0.2610919204687148,0.049217002237136466,0.031161473087818695,0.11702127659574468,11,342,83,6132,6568,94,0.014311814859926919
slice_race_phase,mid,stream_p_ann,0,0.5700000000000001,0.06049114981467903,0.32033025078099836,0.10015649452269171,0.07476635514018691,0.15165876777251186,32,396,179,5914,6521,211,0.03235700046005214
slice_race_phase,early,stream_p_ann,1,0.5700000000000001,0.08499274946897603,0.2878909628369229,0.10909090909090909,0.20833333333333334,0.07389162561576355,15,57,188,6150,6410,203,0.03166926677067083
slice_race_phase,late,stream_p_ann,1,0.5700000000000001,0.051622008290405454,0.21224097230650107,0.0821917808219178,0.12244897959183673,0.061855670103092786,6,43,91,6442,6582,97,0.01473716195685202
slice_race_phase,mid,stream_p_ann,1,0.5700000000000001,0.09047805331416098,0.26430400884025135,0.12158054711246201,0.24691358024691357,0.08064516129032258,20,61,228,6240,6549,248,0.0378683768514277
slice_race_phase,early,stream_p_ann,2,0.5,0.05134839546110732,0.6287272847753577,0.0869205298013245,0.047106325706594884,0.5614973262032086,105,2124,82,4017,6328,187,0.029551201011378002
slice_race_phase,late,stream_p_ann,2,0.5,0.03574049540856935,0.3657609365805022,0.06557377049180328,0.03669724770642202,0.3076923076923077,24,630,54,5744,6452,78,0.01208927464352139
slice_race_phase,mid,stream_p_ann,2,0.5,0.16204598994176267,0.4585632634270794,0.2141982864137087,0.12915129151291513,0.6272401433691757,175,1180,104,5021,6480,279,0.043055555555555555
slice_race_phase,early,stream_p_ann,3,0.5700000000000001,0.06664203495082417,0.2890539252466859,0.0782608695652174,0.07003891050583658,0.08866995073891626,18,239,185,5908,6350,203,0.031968503937007876
slice_race_phase,late,stream_p_ann,3,0.5700000000000001,0.06800167690532274,0.17444662144443862,0.09090909090909091,0.2222222222222222,0.05714285714285714,8,28,132,6381,6549,140,0.021377309512902735
slice_race_phase,mid,stream_p_ann,3,0.5700000000000001,0.10505492742141845,0.24471106588043337,0.1188118811881188,0.16551724137931034,0.09266409266409266,24,121,235,6120,6500,259,0.039846153846153844
slice_race_phase,early,stream_p_ann,4,0.5700000000000001,0.12461398783513139,0.2515225608029799,0.15280898876404495,0.14107883817427386,0.16666666666666666,34,207,170,5977,6388,204,0.031934877896055106
slice_race_phase,late,stream_p_ann,4,0.5700000000000001,0.08974501910266273,0.13787756548825642,0.09836065573770492,0.20689655172413793,0.06451612903225806,6,23,87,6460,6576,93,0.014142335766423358
slice_race_phase,mid,stream_p_ann,4,0.5700000000000001,0.06499942872675168,0.24408957285865981,0.06666666666666667,0.11016949152542373,0.04779411764705882,13,105,259,6121,6498,272,0.041859033548784244
slice_race_phase,early,stream_p_rf,0,0.13,0.26003787987642096,0.10249849758130863,0.29141716566866266,0.24172185430463577,0.36683417085427134,73,229,126,5945,6373,199,0.031225482504315078
slice_race_phase,late,stream_p_rf,0,0.13,0.21974249056734407,0.06133552013332427,0.2692307692307692,0.21084337349397592,0.3723404255319149,35,131,59,6343,6568,94,0.014311814859926919
slice_race_phase,mid,stream_p_rf,0,0.13,0.305146449357123,0.1120279239120753,0.28874172185430463,0.20036764705882354,0.5165876777251185,109,435,102,5875,6521,211,0.03235700046005214
