mode,model_kind,ablation_name,fold_id,n_test_seqs,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
seq,tcn,baseline_full,0,19525,0.91,0.6959993455365149,0.1193556797578392,0.6553990610328638,0.6133567662565905,0.7036290322580645,349,220,147,18809
seq,tcn,drop_G_race_phase,0,19525,0.9500000000000001,0.627933438950509,0.1343014441380329,0.6306306306306306,0.6262425447316103,0.6350806451612904,315,188,181,18841
seq,tcn,drop_G_race_control,0,19525,0.92,0.6783474172209898,0.10026687235802466,0.6713147410358565,0.6633858267716536,0.6794354838709677,337,171,159,18858
seq,tcn,drop_G_track,0,19525,0.9400000000000001,0.6236518482318271,0.14163482048794349,0.6184738955823293,0.616,0.6209677419354839,308,192,188,18837
seq,tcn,drop_G_tyre_state,0,19525,0.9600000000000001,0.632222869572696,0.1468150305262788,0.6421052631578947,0.6718061674008811,0.6149193548387096,305,149,191,18880
seq,tcn,drop_G_strategy_history,0,19525,0.9600000000000001,0.6764790494620117,0.1317954735647491,0.6763185108583247,0.6942675159235668,0.6592741935483871,327,144,169,18885
seq,tcn,drop_G_pace,0,19525,0.56,0.1111905166340113,0.29731076992926025,0.1896310135450724,0.12340425531914893,0.4092741935483871,203,1442,293,17587
seq,tcn,drop_G_traffic_proximity,0,19525,0.99,0.6565323554826735,0.20454947195974113,0.662870159453303,0.7617801047120419,0.5866935483870968,291,91,205,18938
seq,tcn,drop_G_undercut_defence,0,19525,0.93,0.6724861379748991,0.1072625951362124,0.6687631027253669,0.6965065502183406,0.6431451612903226,319,139,177,18890
seq,tcn,drop_G_undercut_window,0,19525,0.9400000000000001,0.6597965705382101,0.11130071629630924,0.6744930629669157,0.7165532879818595,0.6370967741935484,316,125,180,18904
seq,tcn,drop_G_weather,0,19525,0.97,0.6626544681895942,0.17763925843055572,0.6714285714285714,0.6797520661157025,0.6633064516129032,329,155,167,18874
seq,tcn,drop_ENGINEERED_ALL,0,19525,0.9600000000000001,0.7114061316110539,0.12962771130513906,0.6932038834951456,0.6685393258426966,0.719758064516129,357,177,139,18852
seq,tcn,drop_UNDERCUT_PACK,0,19525,0.9400000000000001,0.676392403024468,0.12568536444644363,0.653179190751445,0.6254612546125461,0.6834677419354839,339,203,157,18826
seq,tcn,drop_COL_fcy_status,0,19525,0.92,0.6783474172209898,0.10026687235802466,0.6713147410358565,0.6633858267716536,0.6794354838709677,337,171,159,18858
seq,tcn,drop_COL_track_category,0,19525,0.9400000000000001,0.693423748461651,0.1029136662889733,0.7005181347150259,0.720682302771855,0.6814516129032258,338,131,158,18898
seq,tcn,drop_COL_tyre_change_pursuer,0,19525,0.97,0.6547122319111157,0.13162805857060564,0.6892177589852009,0.7244444444444444,0.657258064516129,326,124,170,18905
seq,tcn,drop_COL_close_ahead,0,19525,0.9600000000000001,0.6435151785950187,0.13633844735786968,0.6556420233463035,0.6334586466165414,0.6794354838709677,337,195,159,18834
seq,tcn,drop_COL_gap_behind_s,0,19525,0.9600000000000001,0.6706813220512733,0.12914723656073593,0.6818632309217046,0.6705653021442495,0.6935483870967742,344,169,152,18860
seq,tcn,drop_COL_n_cars_within_5s_ahead,0,19525,0.93,0.6965698911705674,0.0974766433336606,0.6767241379310345,0.7268518518518519,0.6330645161290323,314,118,182,18911
seq,tcn,drop_COL_tyre_age_diff_to_ahead,0,19525,0.9600000000000001,0.6973473613627429,0.12274637477086482,0.6835187057633973,0.6855983772819473,0.6814516129032258,338,155,158,18874
seq,tcn,drop_COL_rejoin_gap_ahead_est_s,0,19525,0.93,0.6964481495479814,0.1257174984937305,0.6679069767441861,0.6200345423143351,0.7237903225806451,359,220,137,18809
seq,tcn,drop_COL_rejoin_gap_behind_est_s,0,19525,0.89,0.7004175261143544,0.10971350582784928,0.6690454950936664,0.6,0.7560483870967742,375,250,121,18779
seq,tcn,baseline_full,1,19449,0.9400000000000001,0.5617745983374264,0.17147501836543155,0.5964912280701754,0.608286252354049,0.5851449275362319,323,208,229,18689
seq,tcn,drop_G_race_phase,1,19449,0.91,0.5471837208341622,0.15602043417082304,0.5899912203687445,0.5724020442930153,0.6086956521739131,336,251,216,18646
seq,tcn,drop_G_race_control,1,19449,0.97,0.5877653034917734,0.18557697819201,0.6306141154903758,0.6382189239332097,0.6231884057971014,344,195,208,18702
seq,tcn,drop_G_track,1,19449,0.97,0.5793387267754043,0.23268268754763605,0.58435438265787,0.6090373280943026,0.5615942028985508,310,199,242,18698
seq,tcn,drop_G_tyre_state,1,19449,0.9600000000000001,0.5580460840969729,0.18227411476565683,0.6164122137404581,0.6512096774193549,0.5851449275362319,323,173,229,18724
seq,tcn,drop_G_strategy_history,1,19449,0.91,0.5873862189887876,0.13847406290927924,0.6065573770491803,0.6098901098901099,0.6032608695652174,333,213,219,18684
seq,tcn,drop_G_pace,1,19449,0.7100000000000001,0.11706544562361347,0.41788501643399123,0.17866435385949697,0.11744583808437856,0.37318840579710144,206,1548,346,17349
seq,tcn,drop_G_traffic_proximity,1,19449,0.9,0.4967207852512933,0.15642226168453263,0.5915750915750916,0.5981481481481481,0.5851449275362319,323,217,229,18680
seq,tcn,drop_G_undercut_defence,1,19449,0.97,0.5758929754854257,0.18277237520328335,0.6068840579710145,0.6068840579710145,0.6068840579710145,335,217,217,18680
seq,tcn,drop_G_undercut_window,1,19449,0.9400000000000001,0.5676139867318597,0.18352161753043789,0.5990867579908675,0.6040515653775322,0.5942028985507246,328,215,224,18682
seq,tcn,drop_G_weather,1,19449,0.91,0.5341048899879124,0.1346342959958798,0.5805825242718446,0.6255230125523012,0.5416666666666666,299,179,253,18718
seq,tcn,drop_ENGINEERED_ALL,1,19449,0.9600000000000001,0.5640462391036091,0.14885322426749148,0.6045627376425855,0.636,0.5760869565217391,318,182,234,18715
seq,tcn,drop_UNDERCUT_PACK,1,19449,0.91,0.5634489473822291,0.13636943884560904,0.619140625,0.6716101694915254,0.5742753623188406,317,155,235,18742
seq,tcn,drop_COL_fcy_status,1,19449,0.97,0.5877653034917734,0.18557697819201,0.6306141154903758,0.6382189239332097,0.6231884057971014,344,195,208,18702
seq,tcn,drop_COL_track_category,1,19449,0.9600000000000001,0.5532273942318281,0.20656430950623375,0.5839793281653747,0.5566502463054187,0.6141304347826086,339,270,213,18627
seq,tcn,drop_COL_tyre_change_pursuer,1,19449,0.98,0.5760636349432634,0.20701420306032844,0.6240740740740741,0.6382575757575758,0.6105072463768116,337,191,215,18706
seq,tcn,drop_COL_close_ahead,1,19449,0.98,0.6110731396527581,0.2006944829802226,0.6371841155234657,0.6348920863309353,0.6394927536231884,353,203,199,18694
seq,tcn,drop_COL_gap_behind_s,1,19449,0.9600000000000001,0.5790393090074676,0.1742188836059791,0.6052871467639015,0.6091743119266055,0.6014492753623188,332,213,220,18684
seq,tcn,drop_COL_n_cars_within_5s_ahead,1,19449,0.93,0.5910318678781398,0.14213354157817412,0.6129032258064516,0.6434262948207171,0.5851449275362319,323,179,229,18718
seq,tcn,drop_COL_tyre_age_diff_to_ahead,1,19449,0.9600000000000001,0.5707932989133433,0.18308604181610222,0.6117021276595744,0.5989583333333334,0.625,345,231,207,18666
seq,tcn,drop_COL_rejoin_gap_ahead_est_s,1,19449,0.97,0.5852649300186857,0.1703705270108861,0.6251217137293087,0.6757894736842105,0.5815217391304348,321,154,231,18743
seq,tcn,drop_COL_rejoin_gap_behind_est_s,1,19449,0.97,0.5786907921108783,0.18822849000586964,0.609942638623327,0.645748987854251,0.5778985507246377,319,175,233,18722
seq,tcn,baseline_full,2,19527,0.9400000000000001,0.6288215610256832,0.13453024044712877,0.6027649769585254,0.5523648648648649,0.6632860040567952,327,265,166,18769
seq,tcn,drop_G_race_phase,2,19527,0.93,0.628755193165827,0.11043574978761163,0.6372549019607843,0.6166982922201139,0.6592292089249493,325,202,168,18832
