ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,mean_TP,mean_FP,mean_FN,mean_TN,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.562465101074098,0.10672071117832545,0.17167468439416894,0.05717251346039994,0.5792661163338573,0.07470525084943629,0.539976878130175,0.6522853575007259,334.6,327.0,180.8,18645.8,0.0,0.0,0.0,0.0,0.0
drop_COL_close_ahead,0.6049342416455163,0.07482767923217191,0.15649050747556895,0.04764420103985086,0.609864106316661,0.0545172011862709,0.5906831549101328,0.6442144450125317,330.6,243.0,184.8,18729.8,0.04246914057141837,-0.015184176918599995,0.03059798998280372,-0.04246914057141837,-0.015184176918599995
drop_COL_fcy_status,0.6069357977626743,0.06984352613233304,0.12592059085867163,0.035018008878250996,0.6266783007437204,0.03759466400335796,0.614311275877055,0.6421974045439397,330.4,211.0,185.0,18761.8,0.04447069668857628,-0.04575409353549731,0.04741218440986317,-0.04447069668857628,-0.04575409353549731
drop_COL_gap_behind_s,0.5833634425473017,0.10438910084212535,0.153081545449132,0.03144706915281036,0.6102283615594024,0.06854758965033998,0.590839648009932,0.643746768256151,330.4,246.4,185.0,18726.4,0.020898341473203685,-0.018593138945036947,0.030962245225545137,-0.020898341473203685,-0.018593138945036947
drop_COL_n_cars_within_5s_ahead,0.630136755089184,0.05826479587418236,0.13459095850292704,0.03992878838079509,0.6077872444142898,0.06561895542482098,0.5985260470014937,0.6339403954036256,325.6,242.6,189.8,18730.2,0.06767165401508601,-0.0370837258912419,0.0285211280804325,-0.06767165401508601,-0.0370837258912419
drop_COL_rejoin_gap_ahead_est_s,0.589258074382238,0.09338417836914592,0.14339282737370668,0.03365451227383799,0.6014509588400975,0.07339015100460189,0.5828957041113568,0.6455205138852205,330.8,268.0,184.6,18704.8,0.02679297330814001,-0.028281857020462264,0.0221848425062402,-0.02679297330814001,-0.028281857020462264
drop_COL_rejoin_gap_behind_est_s,0.6212758053972517,0.058427251557267905,0.1343500855573911,0.03132001403811337,0.6301612000533735,0.02500278021943494,0.6154966299307544,0.6532503486065242,335.0,212.0,180.4,18760.8,0.05881070432315372,-0.03732459883677783,0.05089508371951623,-0.05881070432315372,-0.03732459883677783
drop_COL_track_category,0.594253740298474,0.06566029299121225,0.1454400715326841,0.03864063217370415,0.6142683192152377,0.05102399485223642,0.6181453685107315,0.6155675310998503,316.2,200.6,199.2,18772.2,0.031788639224376025,-0.026234612861484846,0.03500220288138045,-0.031788639224376025,-0.026234612861484846
drop_COL_tyre_age_diff_to_ahead,0.5964676972287171,0.07226454152481468,0.16300009757953085,0.04600958005277616,0.6098284221146593,0.05891997467529509,0.5976697572985608,0.6403195576168347,328.8,244.0,186.6,18728.8,0.03400259615461909,-0.008674586814638091,0.03056230578080199,-0.03400259615461909,-0.008674586814638091
drop_COL_tyre_change_pursuer,0.5971522214135119,0.07308542551008003,0.14667832140692172,0.04421580359439399,0.6265488264149843,0.05152352110021757,0.6391843086876167,0.623347621912296,320.0,189.8,195.4,18783.0,0.0346871203394139,-0.024996362987247223,0.047282710081127055,-0.0346871203394139,-0.024996362987247223
drop_ENGINEERED_ALL,0.6213752860698014,0.07105006029024252,0.1291524107719683,0.019384906163495245,0.6326661763617455,0.03712025388255934,0.6199107840321444,0.6537957143080595,335.2,209.8,180.2,18763.0,0.05891018499570344,-0.04252227362220065,0.05340006002788822,-0.05891018499570344,-0.04252227362220065
