mode,model_kind,ablation_name,fold_id,n_test_seqs,threshold,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN
seq,tcn_gru,baseline_full,0,19525,0.9600000000000001,0.7166634468883458,0.10979389036712903,0.6624605678233438,0.6923076923076923,0.6350806451612904,315,140,181,18889
seq,tcn_gru,drop_G_race_phase,0,19525,0.9,0.6622774033177277,0.11137084212029248,0.6225296442687747,0.6104651162790697,0.6350806451612904,315,201,181,18828
seq,tcn_gru,drop_G_race_control,0,19525,0.9500000000000001,0.7126622002192006,0.10969840239075224,0.689795918367347,0.6983471074380165,0.6814516129032258,338,146,158,18883
seq,tcn_gru,drop_G_track,0,19525,0.92,0.682947534544503,0.10920226157282935,0.6855941114616193,0.7164835164835165,0.657258064516129,326,129,170,18900
seq,tcn_gru,drop_G_tyre_state,0,19525,0.88,0.6924416095465794,0.10175415040683722,0.6478304742684158,0.6484848484848484,0.6471774193548387,321,174,175,18855
seq,tcn_gru,drop_G_strategy_history,0,19525,0.9400000000000001,0.7125787691041274,0.11048818961256174,0.6706349206349206,0.66015625,0.6814516129032258,338,174,158,18855
seq,tcn_gru,drop_G_pace,0,19525,0.8,0.22273331050410092,0.17294565090161826,0.30113141862489123,0.2649310872894334,0.3487903225806452,173,480,323,18549
seq,tcn_gru,drop_G_traffic_proximity,0,19525,0.93,0.7016587255691341,0.10595192756825356,0.6773162939297125,0.7178329571106095,0.6411290322580645,318,125,178,18904
seq,tcn_gru,drop_G_undercut_defence,0,19525,0.9500000000000001,0.6907698814459855,0.11089353647424902,0.6766275346851655,0.7188208616780045,0.6391129032258065,317,124,179,18905
seq,tcn_gru,drop_G_undercut_window,0,19525,0.92,0.6886969129088888,0.11958604522129798,0.6721649484536083,0.6877637130801688,0.657258064516129,326,148,170,18881
seq,tcn_gru,drop_G_weather,0,19525,0.9,0.6900096351196054,0.10079040218575236,0.6634241245136187,0.6409774436090225,0.6875,341,191,155,18838
seq,tcn_gru,drop_ENGINEERED_ALL,0,19525,0.9500000000000001,0.7203511394464862,0.126151846936421,0.698477157360406,0.7034764826175869,0.6935483870967742,344,145,152,18884
seq,tcn_gru,drop_UNDERCUT_PACK,0,19525,0.92,0.662556095814592,0.10853404652004768,0.6580921757770632,0.7025171624713958,0.6189516129032258,307,130,189,18899
seq,tcn_gru,drop_COL_fcy_status,0,19525,0.9500000000000001,0.7126622002192006,0.10969840239075224,0.689795918367347,0.6983471074380165,0.6814516129032258,338,146,158,18883
seq,tcn_gru,drop_COL_track_category,0,19525,0.9,0.6724742927009407,0.10897548978395738,0.6567164179104478,0.6483300589390962,0.6653225806451613,330,179,166,18850
seq,tcn_gru,drop_COL_tyre_change_pursuer,0,19525,0.88,0.6387142579722895,0.1069644877626044,0.6392961876832844,0.6204933586337761,0.6592741935483871,327,200,169,18829
seq,tcn_gru,drop_COL_close_ahead,0,19525,0.9500000000000001,0.6910510228189969,0.12460843410767143,0.6866310160427808,0.7312072892938497,0.6471774193548387,321,118,175,18911
seq,tcn_gru,drop_COL_gap_behind_s,0,19525,0.93,0.6943814560610045,0.118504603168604,0.6747474747474748,0.6761133603238867,0.6733870967741935,334,160,162,18869
seq,tcn_gru,drop_COL_n_cars_within_5s_ahead,0,19525,0.9500000000000001,0.6626877291448443,0.13531723843615595,0.6537678207739308,0.6604938271604939,0.6471774193548387,321,165,175,18864
seq,tcn_gru,drop_COL_tyre_age_diff_to_ahead,0,19525,0.9,0.7346166318148657,0.10209270953693525,0.6732477788746298,0.6595744680851063,0.6875,341,176,155,18853
seq,tcn_gru,drop_COL_rejoin_gap_ahead_est_s,0,19525,0.89,0.6945001547901634,0.10948117301225448,0.6713709677419355,0.6713709677419355,0.6713709677419355,333,163,163,18866
seq,tcn_gru,drop_COL_rejoin_gap_behind_est_s,0,19525,0.93,0.6745595095256787,0.10452879503376762,0.6618257261410788,0.6816239316239316,0.6431451612903226,319,149,177,18880
seq,tcn_gru,baseline_full,1,19449,0.9600000000000001,0.6074528320185767,0.1333732087487499,0.6254901960784314,0.6816239316239316,0.5778985507246377,319,149,233,18748
seq,tcn_gru,drop_G_race_phase,1,19449,0.91,0.5732615660042719,0.12585125311254783,0.5875706214689266,0.611764705882353,0.5652173913043478,312,198,240,18699
seq,tcn_gru,drop_G_race_control,1,19449,0.97,0.6426653952047828,0.1275919813113605,0.6327345309381237,0.7044444444444444,0.5742753623188406,317,133,235,18764
seq,tcn_gru,drop_G_track,1,19449,0.97,0.6137298501798737,0.13206355228701197,0.5939278937381404,0.6235059760956175,0.5670289855072463,313,189,239,18708
seq,tcn_gru,drop_G_tyre_state,1,19449,0.97,0.5935688579746294,0.15682790429732393,0.5814634146341463,0.6300211416490487,0.5398550724637681,298,175,254,18722
seq,tcn_gru,drop_G_strategy_history,1,19449,0.98,0.545163990800964,0.16941775602587764,0.5900990099009901,0.6506550218340611,0.5398550724637681,298,160,254,18737
seq,tcn_gru,drop_G_pace,1,19449,0.93,0.24121548171940313,0.3907321394813098,0.3027656477438137,0.25304136253041365,0.37681159420289856,208,614,344,18283
seq,tcn_gru,drop_G_traffic_proximity,1,19449,0.98,0.6701137271398355,0.155781642745868,0.6739780658025922,0.7494456762749445,0.6123188405797102,338,113,214,18784
seq,tcn_gru,drop_G_undercut_defence,1,19449,0.88,0.5656675522334831,0.13432451734831277,0.5981651376146789,0.6059479553903345,0.5905797101449275,326,212,226,18685
seq,tcn_gru,drop_G_undercut_window,1,19449,0.97,0.595566306013704,0.17886804330380013,0.6184971098265896,0.6604938271604939,0.5815217391304348,321,165,231,18732
seq,tcn_gru,drop_G_weather,1,19449,0.9400000000000001,0.6568441708923671,0.11652568038389148,0.6503428011753183,0.7078891257995735,0.6014492753623188,332,137,220,18760
seq,tcn_gru,drop_ENGINEERED_ALL,1,19449,0.9500000000000001,0.6164125448490014,0.15536276108924935,0.6370235934664247,0.6381818181818182,0.6358695652173914,351,199,201,18698
seq,tcn_gru,drop_UNDERCUT_PACK,1,19449,0.9400000000000001,0.6389076723111683,0.12324724153424607,0.6320754716981132,0.6594488188976378,0.6068840579710145,335,173,217,18724
seq,tcn_gru,drop_COL_fcy_status,1,19449,0.97,0.6426653952047828,0.1275919813113605,0.6327345309381237,0.7044444444444444,0.5742753623188406,317,133,235,18764
seq,tcn_gru,drop_COL_track_category,1,19449,0.9500000000000001,0.6092444559119311,0.14495166156024278,0.6403669724770642,0.6486988847583643,0.6322463768115942,349,189,203,18708
seq,tcn_gru,drop_COL_tyre_change_pursuer,1,19449,0.97,0.6388501897548198,0.14007233496356492,0.6435452793834296,0.6872427983539094,0.605072463768116,334,152,218,18745
seq,tcn_gru,drop_COL_close_ahead,1,19449,0.97,0.6157338407226837,0.15081748738005032,0.6102021174205967,0.6509240246406571,0.5742753623188406,317,170,235,18727
seq,tcn_gru,drop_COL_gap_behind_s,1,19449,0.9400000000000001,0.6113644675728308,0.13420385101477897,0.6188166828322017,0.6659707724425887,0.5778985507246377,319,160,233,18737
seq,tcn_gru,drop_COL_n_cars_within_5s_ahead,1,19449,0.97,0.6341268903277706,0.1347851567039799,0.6283987915407855,0.7074829931972789,0.5652173913043478,312,129,240,18768
seq,tcn_gru,drop_COL_tyre_age_diff_to_ahead,1,19449,0.9400000000000001,0.6055313766199703,0.12112303748353305,0.6226415094339622,0.6496062992125984,0.5978260869565217,330,178,222,18719
seq,tcn_gru,drop_COL_rejoin_gap_ahead_est_s,1,19449,0.9,0.5934772515648973,0.10489674590528866,0.625,0.6907894736842105,0.5706521739130435,315,141,237,18756
seq,tcn_gru,drop_COL_rejoin_gap_behind_est_s,1,19449,0.98,0.603650057763894,0.19745472703189715,0.6143410852713178,0.6604166666666667,0.5742753623188406,317,163,235,18734
seq,tcn_gru,baseline_full,2,19527,0.9,0.6743727548712481,0.09385483221590452,0.6442687747035574,0.628131021194605,0.6612576064908722,326,193,167,18841
seq,tcn_gru,drop_G_race_phase,2,19527,0.93,0.6365342568709255,0.13660640866507395,0.6070409134157945,0.5716845878136201,0.6470588235294118,319,239,174,18795
seq,tcn_gru,drop_G_race_control,2,19527,0.9500000000000001,0.6594602026532287,0.11901955272273525,0.627254509018036,0.6198019801980198,0.6348884381338742,313,192,180,18842
seq,tcn_gru,drop_G_track,2,19527,0.93,0.625450421333003,0.10544739512711955,0.64576802507837,0.665948275862069,0.6267748478701826,309,155,184,18879
seq,tcn_gru,drop_G_tyre_state,2,19527,0.93,0.6292015029105986,0.1324569735236073,0.6318897637795275,0.6137667304015296,0.6511156186612576,321,202,172,18832
seq,tcn_gru,drop_G_strategy_history,2,19527,0.9,0.6218554363905282,0.10503956567565165,0.6121635094715853,0.6019607843137255,0.6227180527383367,307,203,186,18831
seq,tcn_gru,drop_G_pace,2,19527,0.91,0.25603838329728523,0.2016897065582883,0.3183453237410072,0.2859450726978998,0.359026369168357,177,442,316,18592
