model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
svm,baseline_full,0,849,0.46502551227279154,1.053137036868471,0.42357701469255254,0.43696771868921686,0.4218758977889941,
svm,baseline_full,1,845,0.49904147117460845,1.1180347450515833,0.41472960869169534,0.5051263630973424,0.39991687316514896,
svm,baseline_full,2,848,0.42653126750501996,1.0326930049283058,0.41677075446736467,0.4049593064292596,0.46044850053195735,
svm,baseline_full,3,849,0.47090624805589554,1.0032281432498624,0.5383897049217723,0.5547907463380609,0.5442521065048871,
svm,baseline_full,4,849,0.537709192561348,0.9209182865185888,0.45372585011346694,0.46440589169923135,0.46369612413232986,
svm,drop_G_race_phase,0,849,0.4538514400094562,1.087387107694464,0.42851304053291184,0.44404985279598286,0.42108542127024695,
svm,drop_G_race_phase,1,845,0.44495545584084467,1.1835340387122506,0.3574509528219272,0.4307730285025597,0.3484979449669105,
svm,drop_G_race_phase,2,848,0.4316194465613276,1.07190474412594,0.37343473246132497,0.37383745644120203,0.4067224987467094,
svm,drop_G_race_phase,3,849,0.4150517871961076,1.0940262262102847,0.447178665915797,0.4811596961365795,0.434644421975059,
svm,drop_G_race_phase,4,849,0.4684547016894437,1.023139371014053,0.43376278724085193,0.4349986811596052,0.43883608629211485,
svm,drop_G_strategy_history,0,849,0.431578243374873,1.079815248966278,0.4220163427224259,0.43918009939705394,0.4217511884348789,
svm,drop_G_strategy_history,1,845,0.48881444555313863,1.1266106767031336,0.4440124696116314,0.5126455689018946,0.4253497536945813,
svm,drop_G_strategy_history,2,848,0.44667643251827044,1.007137957559759,0.4227348024616684,0.4115259932512944,0.4745834117604769,
svm,drop_G_strategy_history,3,849,0.4744202820942939,0.9893251498052391,0.5446878072398682,0.5735201264312433,0.5461257162116616,
svm,drop_G_strategy_history,4,849,0.558267659692652,0.9320512569242771,0.4963590278490697,0.49375325146058735,0.5156530864264004,
svm,drop_G_tyre_state,0,849,0.3816399442407037,1.2240183160309894,0.35740850594887563,0.3803386758835522,0.35622232124404263,
svm,drop_G_tyre_state,1,845,0.4583539556054689,1.169447290631687,0.3715218175470942,0.477446512032635,0.35053610986714434,
svm,drop_G_tyre_state,2,848,0.3565552750275386,1.124332465337572,0.31140975728242776,0.3127087729204434,0.3195108395434626,
svm,drop_G_tyre_state,3,849,0.4049486374354103,1.0639777828771586,0.461853225847223,0.49002763554814643,0.45483013144590495,
svm,drop_G_tyre_state,4,849,0.4666864782107962,1.0298962518650805,0.4264021539925252,0.43276115960542183,0.4413087114684032,
svm,drop_G_track_context,0,849,0.4747022947167666,1.0127289572188791,0.44297620258375403,0.46215254444792075,0.43471644022000566,
svm,drop_G_track_context,1,845,0.4446981510979982,1.0980415172130822,0.40587891452173136,0.4517330339146195,0.3895957307060755,
svm,drop_G_track_context,2,848,0.45773896676729997,1.090620257803628,0.4218773992832089,0.40803316394240363,0.469126910958167,
svm,drop_G_track_context,3,849,0.4528037258741445,0.9678177583189879,0.5385407036815488,0.5631972275851923,0.5404518031681833,
svm,drop_G_track_context,4,849,0.46317247351147034,1.0406676242995723,0.45000337983116073,0.4730396176116476,0.47092931782138825,
svm,drop_G_race_control_weather,0,849,0.4373422043834843,1.1098589210713843,0.43338897322798253,0.45947408350653285,0.43010069356341096,
svm,drop_G_race_control_weather,1,845,0.4836731884770241,1.1317824990560579,0.43297418191708054,0.5086939741571586,0.4157774593222869,
svm,drop_G_race_control_weather,2,848,0.4216158383400253,1.0294964003688267,0.390057439721086,0.3839550050101436,0.4114305243850736,
svm,drop_G_race_control_weather,3,849,0.482064082542818,0.9962890067774276,0.5190086700852632,0.5165920241924851,0.5310665655544321,
svm,drop_G_race_control_weather,4,849,0.5422828047344803,0.9126535662152678,0.4597945662241842,0.4745171310489715,0.4723032270691994,
svm,drop_G_traffic_gap_context,0,849,0.45155903776670125,1.0873001496285235,0.42023357197499733,0.4483126976380484,0.41766606215368035,
svm,drop_G_traffic_gap_context,1,845,0.5014989160366662,1.1302215286865325,0.44177696694693874,0.5110575341020818,0.4245596059113301,
svm,drop_G_traffic_gap_context,2,848,0.4236920825237817,1.0115335131193754,0.39612809650144765,0.39118159091593624,0.4215638221803619,
svm,drop_G_traffic_gap_context,3,849,0.4714821392915637,1.0046136162204298,0.43517440478606106,0.4515100313491624,0.43869376474553423,
svm,drop_G_traffic_gap_context,4,849,0.5285882337632958,0.9487020304327388,0.46167048903233854,0.47487856969158704,0.4669968001744108,
svm,drop_G_rejoin_window,0,849,0.46110269540648263,1.0907934821083312,0.4237274174566437,0.44225186729199234,0.4218030655328346,
svm,drop_G_rejoin_window,1,845,0.49072485502741214,1.156888521854141,0.44104919350177124,0.5109478813245818,0.4256587550380654,
svm,drop_G_rejoin_window,2,848,0.47441747069443707,1.0446354641322273,0.41111597775228426,0.39669915788553534,0.4688680681702486,
svm,drop_G_rejoin_window,3,849,0.48595425962673994,0.9890002452471554,0.538381431339784,0.5588378535234426,0.5412706437478935,
svm,drop_G_rejoin_window,4,849,0.5526284656311987,0.9013825574433878,0.4722842269409771,0.48884994073355637,0.49141216150236966,
