model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
tcn_gru,baseline_full,0,849,0.439542378724617,1.0234448685034707,0.34733329282301917,0.3725237876877221,0.3577142764594171,
tcn_gru,baseline_full,1,845,0.5056475000717151,1.073281554714023,0.4272845746110672,0.480102303631419,0.4093612280439867,
tcn_gru,baseline_full,2,848,0.4929647631651829,1.361272395151306,0.40994332787095955,0.4013286432160804,0.4354346044490406,
tcn_gru,baseline_full,3,849,0.3840601105756857,1.5131894064842113,0.4531958472699238,0.46117545359790313,0.4481007751937985,
tcn_gru,baseline_full,4,849,0.4736330631611171,1.3179919060228749,0.4715290240139035,0.4652865997166735,0.517189634965347,
tcn_gru,drop_G_race_phase,0,849,0.48582212897902705,1.0011862862514043,0.43629394598612486,0.4454224999425155,0.4312988059103568,
tcn_gru,drop_G_race_phase,1,845,0.4523773348627548,1.2508153616330755,0.36656783196670584,0.452934015835723,0.3564681196198437,
tcn_gru,drop_G_race_phase,2,848,0.4146457351685842,1.074359244782077,0.39193947442208527,0.38237854461743925,0.4186262767953014,
tcn_gru,drop_G_race_phase,3,849,0.36461194489665727,1.416034087231908,0.46739357267120674,0.45622093214263326,0.5037457027300304,
tcn_gru,drop_G_race_phase,4,849,0.459977688635066,1.0315830411096107,0.4100002545664756,0.41170988428536487,0.43150140685531807,
tcn_gru,drop_G_strategy_history,0,849,0.5227376271281037,1.0723931950634833,0.4931408119621007,0.5038366585600192,0.4861300136198839,
tcn_gru,drop_G_strategy_history,1,845,0.4684553922662159,1.2423862572490927,0.38438978036604254,0.501495110982256,0.38121582325720255,
tcn_gru,drop_G_strategy_history,2,848,0.44759411726212034,1.2930377333422296,0.41458849111322593,0.40982149865383055,0.43938602263914933,
tcn_gru,drop_G_strategy_history,3,849,0.38613079953475155,1.4980853293670853,0.4776051735658305,0.4712376802893974,0.4856086956521739,
tcn_gru,drop_G_strategy_history,4,849,0.4888415526736331,1.0072624319171493,0.47189000016586224,0.48190528976401276,0.4809136171111105,
tcn_gru,drop_G_tyre_state,0,849,0.4316830198387335,1.0656366884338386,0.35674535636065735,0.3672093704431565,0.3610486355406847,
tcn_gru,drop_G_tyre_state,1,845,0.36271047645814497,1.2187124664170972,0.22444898239650204,0.20961342032439276,0.27835682937751904,
tcn_gru,drop_G_tyre_state,2,848,0.423160439404629,1.11278780816689,0.3499633217800323,0.3408790458370433,0.37512827480923516,
tcn_gru,drop_G_tyre_state,3,849,0.34573032424913974,1.4740056676195892,0.4533220938545002,0.4483657044008282,0.4617229524772497,
tcn_gru,drop_G_tyre_state,4,849,0.5471601497815735,1.0073322624317618,0.46134858011472996,0.4926142764798227,0.4662137384429389,
tcn_gru,drop_G_track_context,0,849,0.4795513709903809,0.9424194976414226,0.44480787216508116,0.4625682649246066,0.43756519555586754,
tcn_gru,drop_G_track_context,1,845,0.5259323609759659,1.0605600936597188,0.4226371131709434,0.48471189136950005,0.40602836244215557,
tcn_gru,drop_G_track_context,2,848,0.5399237880209677,1.1905618420486992,0.3884131405051352,0.38691057405667495,0.40255202159213177,
tcn_gru,drop_G_track_context,3,849,0.4275798132610502,1.1820316548583925,0.5262429105916266,0.5261677964161717,0.5400628581058308,
tcn_gru,drop_G_track_context,4,849,0.4511203463835966,1.1495643764455146,0.40052024125040664,0.42836848503400216,0.41390151193252367,
tcn_gru,drop_G_race_control_weather,0,849,0.4491131022880458,1.0677238261982818,0.44311245988459974,0.4553329346092504,0.4371728199776384,
tcn_gru,drop_G_race_control_weather,1,845,0.4723593378801293,1.1305119358519047,0.2923304456111019,0.46582409589479506,0.31190086082499874,
tcn_gru,drop_G_race_control_weather,2,848,0.45540979370716855,1.2377197244647589,0.39878573163376163,0.39077673721372036,0.42467091240768207,
tcn_gru,drop_G_race_control_weather,3,849,0.37519191357210635,1.22330684596127,0.4788863865695029,0.4734195493921849,0.5122254802831142,
tcn_gru,drop_G_race_control_weather,4,849,0.4578515747877889,1.068194336915998,0.3970925771275283,0.43514304038317253,0.40460359369702764,
tcn_gru,drop_G_traffic_gap_context,0,849,0.5140222626090907,0.8894372587789061,0.44505899341930794,0.4509408339838667,0.44458363977725907,
tcn_gru,drop_G_traffic_gap_context,1,845,0.41599406461493266,1.535548455131655,0.35666036457321904,0.5004100501319634,0.3573958202716824,
tcn_gru,drop_G_traffic_gap_context,2,848,0.3868945569945561,1.1531429381748377,0.32642001769816364,0.34046422205245735,0.3381688464687782,
tcn_gru,drop_G_traffic_gap_context,3,849,0.4511973526471242,1.0551751635252133,0.540718614622901,0.5352261057412032,0.5552157061004381,
tcn_gru,drop_G_traffic_gap_context,4,849,0.49706118007040273,1.002684221056076,0.4792479082098726,0.47443071497180667,0.5229162871159527,
tcn_gru,drop_G_rejoin_window,0,849,0.5099573258994454,0.8994919721414927,0.45255504357315274,0.45595854713456563,0.45228201506728205,
tcn_gru,drop_G_rejoin_window,1,845,0.5006545112028669,1.112756962356427,0.4344159910691146,0.4979574957259755,0.4116539981091705,
tcn_gru,drop_G_rejoin_window,2,848,0.4825741763664243,1.0780899189931372,0.3613001609956604,0.35766578933240323,0.36912007542328806,
tcn_gru,drop_G_rejoin_window,3,849,0.4067800796933054,1.276306776406378,0.464742592048682,0.4559100533465325,0.5157207617121672,
tcn_gru,drop_G_rejoin_window,4,849,0.5057265031106581,1.042801259545697,0.4306828424258189,0.4582270548389745,0.4369374296350367,
