model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
xgb,baseline_full,0,849,0.5055330747509086,0.8861739050147222,0.4350987381208915,0.4506010293301365,0.4330098420583508,
xgb,baseline_full,1,845,0.5083221968992249,1.0300981489957357,0.40196430759507323,0.4906387339150995,0.3855297109021247,
xgb,baseline_full,2,848,0.45261533559484113,0.997114055395117,0.43956303161579563,0.4243758907071601,0.4800956765307383,
xgb,baseline_full,3,849,0.49927175744884733,0.9665241315494386,0.5401476692340629,0.5380186022582067,0.5627066059993259,
xgb,baseline_full,4,849,0.5702659948454707,0.863169318557645,0.5065008988511852,0.5149598794396266,0.5472395430294396,
xgb,drop_G_race_phase,0,849,0.48053620589920953,0.9538779709421027,0.4305381781535275,0.4490105525665597,0.4243322387869209,
xgb,drop_G_race_phase,1,845,0.46435100202290724,1.0749438566223664,0.4091144266754023,0.43790914274102705,0.3995304771856496,
xgb,drop_G_race_phase,2,848,0.43624537165644295,1.0498391738274038,0.40626654663558676,0.3929980448832908,0.44355458928698965,
xgb,drop_G_race_phase,3,849,0.42649770304781465,1.0541069880284946,0.4912969618363948,0.48835044046300957,0.5264423660262891,
xgb,drop_G_race_phase,4,849,0.5227156299645109,0.9440145180810147,0.4481308579193982,0.44581639279082863,0.505920749934379,
xgb,drop_G_strategy_history,0,849,0.50307960402507,0.8886774504046884,0.4337345155107772,0.4471102336378953,0.4313911426042951,
xgb,drop_G_strategy_history,1,845,0.5060284134070894,1.0407466784237778,0.4047616777337807,0.49681287230652316,0.3886819226750261,
xgb,drop_G_strategy_history,2,848,0.49402250801419784,0.9869168068642515,0.4352967471930945,0.4195681341540108,0.48333730685052895,
xgb,drop_G_strategy_history,3,849,0.5009499461335352,0.9580332638297301,0.5550188049331548,0.5533086336045461,0.5753901247050893,
xgb,drop_G_strategy_history,4,849,0.5857397863888127,0.8528412114912538,0.5074634527266106,0.5086079760008436,0.5452702641811613,
xgb,drop_G_tyre_state,0,849,0.4320999794430012,1.0244691744035404,0.3573637501199923,0.375390558908127,0.36320988505393903,
xgb,drop_G_tyre_state,1,845,0.471083958418762,1.0926060726712719,0.38296734726645765,0.47171794871794875,0.3636744887296611,
xgb,drop_G_tyre_state,2,848,0.3916220236355531,1.0906588084485906,0.36275646242013954,0.3540336550442674,0.38179885679842596,
xgb,drop_G_tyre_state,3,849,0.4228970964694881,1.0898799475571173,0.47059060018642807,0.4649155574638615,0.5100119649477587,
xgb,drop_G_tyre_state,4,849,0.5053263815794022,0.9637426501046983,0.45549199957811987,0.4539608428474187,0.5041267042200969,
xgb,drop_G_track_context,0,849,0.5140227116101019,0.8971217341227601,0.47051393454134927,0.4750851161720727,0.46969502063746704,
xgb,drop_G_track_context,1,845,0.5048316932931464,1.0124792407590504,0.39597060068161005,0.4628702405235424,0.38423750808578394,
xgb,drop_G_track_context,2,848,0.5256609116928497,0.9721345822397318,0.4549695303413611,0.43625510899989306,0.507803980287238,
xgb,drop_G_track_context,3,849,0.45037832336302125,1.0199842288795289,0.5112072634538027,0.5156468805758505,0.5118033367037412,
xgb,drop_G_track_context,4,849,0.492432919856411,0.9598707019837006,0.46405003177759524,0.48286941935797545,0.48842001941647323,
xgb,drop_G_race_control_weather,0,849,0.4842170836702281,0.9420770477043634,0.4044874197479934,0.42732622013667765,0.4158772546555599,
xgb,drop_G_race_control_weather,1,845,0.48836936204284703,1.0563997116237671,0.39986394465160613,0.4976645189568266,0.38298506244713143,
xgb,drop_G_race_control_weather,2,848,0.45155581224440294,0.9532883182640859,0.4094778084928718,0.40872359025728133,0.4188576857543505,
xgb,drop_G_race_control_weather,3,849,0.5089316134137072,0.9402403204593561,0.559160911866837,0.5613644435641163,0.5719440512301989,
xgb,drop_G_race_control_weather,4,849,0.59014725734189,0.8160218402941803,0.5266881079002934,0.5323281206133945,0.5626519144165286,
xgb,drop_G_traffic_gap_context,0,849,0.5006200731893395,0.8949284053855217,0.44357708814790353,0.46237859968614314,0.4413238737502244,
xgb,drop_G_traffic_gap_context,1,845,0.511888309555449,1.0300449346521585,0.3957768339674025,0.48426845287404774,0.378621426083495,
xgb,drop_G_traffic_gap_context,2,848,0.4465942233517355,1.0206380367323473,0.43905819773828136,0.4225059519552046,0.47889647895853765,
xgb,drop_G_traffic_gap_context,3,849,0.4977393064509372,0.9708579202888522,0.5473592841687052,0.54538055072836,0.5773097404785978,
xgb,drop_G_traffic_gap_context,4,849,0.5737090131545971,0.8610689773303821,0.502220328319698,0.5033464001863279,0.5444342830498184,
xgb,drop_G_rejoin_window,0,849,0.5044200352900395,0.8836455238784878,0.4394591633472407,0.45119293695497253,0.43788654120426684,
xgb,drop_G_rejoin_window,1,845,0.506476894351667,1.0449193312580143,0.3963369011885123,0.486884569683089,0.37925384883315916,
xgb,drop_G_rejoin_window,2,848,0.4875819772964009,0.9634467506572114,0.466262929287352,0.44826477739784193,0.5167298078851684,
xgb,drop_G_rejoin_window,3,849,0.5004355400777407,0.9620880335016598,0.5456113329820156,0.547360607605453,0.5705552746882373,
xgb,drop_G_rejoin_window,4,849,0.5592260031113352,0.8714994702736127,0.5118611564325964,0.5173357753357755,0.551453949282215,
