model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
rf,baseline_full,0,849,0.5346360230248921,0.8785230172424872,0.4402281845120786,0.45358063392546155,0.4348681872376193,
rf,baseline_full,1,845,0.5303206193652824,0.9415788840088348,0.4046432962593348,0.5064568075879502,0.39029384485246554,
rf,baseline_full,2,848,0.4931453520919554,0.9464372330284682,0.45689907304011984,0.4416548810848032,0.500176975422332,
rf,baseline_full,3,849,0.4694036748490282,0.9256300330093338,0.5474829864716635,0.5466173482429675,0.572057128412538,
rf,baseline_full,4,849,0.5404956760378476,0.9056424730255138,0.47787723315105496,0.5024162704702125,0.523048918931785,
rf,drop_G_race_phase,0,849,0.5135009753932267,0.9432664825866153,0.45161812003097046,0.46881427987035024,0.44428050011648673,
rf,drop_G_race_phase,1,845,0.49789211372109843,0.9878724573017472,0.41887495178741296,0.47429307805596466,0.3980217843459222,
rf,drop_G_race_phase,2,848,0.45778104536755854,1.0057268591693593,0.4235905568299711,0.4093806539867552,0.47142182624646667,
rf,drop_G_race_phase,3,849,0.4376638473850818,0.9765801934152478,0.4992632361809035,0.4973988273111028,0.5389713515335356,
rf,drop_G_race_phase,4,849,0.4945481328323041,0.9561827201785726,0.4606419030879767,0.4781946329679673,0.503228199720419,
rf,drop_G_strategy_history,0,849,0.5336711595641009,0.8802526831168769,0.4560200264569912,0.46257538241156393,0.45313037090131686,
rf,drop_G_strategy_history,1,845,0.5292326062367794,0.9544733723366461,0.4602382797320924,0.5299082551455766,0.43318057421505707,
rf,drop_G_strategy_history,2,848,0.5125517408152624,0.9305684606285541,0.4542034957512973,0.4386875290376192,0.5010418736109414,
rf,drop_G_strategy_history,3,849,0.47980433746618945,0.9282182393153626,0.5488825666949912,0.5468254482649076,0.5770780249410179,
rf,drop_G_strategy_history,4,849,0.5634353528688855,0.9097603647824631,0.5039041921619571,0.5212878130181728,0.5548204353228632,
rf,drop_G_tyre_state,0,849,0.46609114279957753,0.9938266858888802,0.3699122732368386,0.3989675209968424,0.37897174099047937,
rf,drop_G_tyre_state,1,845,0.4927409278907386,1.011988364961163,0.35453005062093,0.4827245269794135,0.336187022938747,
rf,drop_G_tyre_state,2,848,0.41818269461269236,1.0275092723575603,0.3407759424132596,0.3434952971939273,0.3665024472917669,
rf,drop_G_tyre_state,3,849,0.39039106979135435,1.0376014042521422,0.4366807034326545,0.4333976508624396,0.5236351533535558,
rf,drop_G_tyre_state,4,849,0.470985487468709,1.0117746342688592,0.3835318776878636,0.4058478034251675,0.4503572641132731,
rf,drop_G_track_context,0,849,0.5160641856518521,0.9004414787213807,0.44242386352277024,0.45091652912741387,0.4391320179119676,
rf,drop_G_track_context,1,845,0.514078034653095,0.9730537492115466,0.40191648685816234,0.4580852873348677,0.3872856645270438,
rf,drop_G_track_context,2,848,0.49828193005811305,0.9598639537858553,0.4480902995809667,0.4349379454276151,0.4923093889205841,
rf,drop_G_track_context,3,849,0.44974196329405547,0.9393575468723018,0.5200483383343646,0.5234412534657488,0.52985018537243,
rf,drop_G_track_context,4,849,0.5229050763470929,0.9342525936737269,0.4703914383799104,0.4910477081258631,0.49784301145277154,
rf,drop_G_race_control_weather,0,849,0.5191657627370685,0.8882102303216509,0.38551819807452625,0.44296056698437347,0.3937104541986936,
rf,drop_G_race_control_weather,1,845,0.517707689913058,0.9647276709055055,0.3909676885079076,0.48691434767572134,0.3803945862566552,
rf,drop_G_race_control_weather,2,848,0.5052912836332317,0.9218373957149606,0.47446141599913305,0.461939873933896,0.5007978863695337,
rf,drop_G_race_control_weather,3,849,0.48005204434339677,0.9249862530185573,0.5463971000626965,0.5645821967542821,0.5383877654196159,
rf,drop_G_race_control_weather,4,849,0.573834416929576,0.8736375986810861,0.4917401764499578,0.5157639530661167,0.5140265657913339,
rf,drop_G_traffic_gap_context,0,849,0.5290464000677093,0.8862983250888666,0.43429422265095796,0.4460601327535961,0.4296325482970162,
rf,drop_G_traffic_gap_context,1,845,0.5249535374744584,0.9423748638536712,0.3921530881516912,0.5181891354300356,0.3806242324725083,
rf,drop_G_traffic_gap_context,2,848,0.4931927137123564,0.9502018243833464,0.4512380186302384,0.4323543236349111,0.4988318982171829,
rf,drop_G_traffic_gap_context,3,849,0.4614616261909573,0.9344676875203943,0.5317704885884181,0.5299344273701738,0.5637301988540613,
rf,drop_G_traffic_gap_context,4,849,0.5412255890415739,0.9085923349105706,0.47537309361895685,0.494439515810486,0.5192626606034274,
rf,drop_G_rejoin_window,0,849,0.5175319711386781,0.8786627179444494,0.46691036353750254,0.47614537552369685,0.4621143281205682,
rf,drop_G_rejoin_window,1,845,0.5356856837186477,0.9385344578899487,0.39507055399459373,0.5020643027470639,0.3834127282679007,
rf,drop_G_rejoin_window,2,848,0.5369524030708227,0.9306938605228902,0.44696066615847385,0.43570211305318385,0.49334619154890247,
rf,drop_G_rejoin_window,3,849,0.47291037964151944,0.9257399121173256,0.537680023119786,0.54060155615884,0.5656658240647119,
rf,drop_G_rejoin_window,4,849,0.5582132660448658,0.9016771819378522,0.485814663940337,0.5075397797605021,0.5359630995086322,
