model,ablation_name,fold_id,n_test_rows,PR_AUC,LogLoss,F1,Precision,Recall,threshold
svm,baseline_full,0,849,0.5049126008708222,0.9172357474615935,0.43987015317635364,0.44666005291005295,0.43707758184284956,
svm,baseline_full,1,845,0.5065579236131048,1.094085363840505,0.4131770148569077,0.49720337509536777,0.3969582524754938,
svm,baseline_full,2,848,0.443349817958839,1.0013003169932468,0.4008725882745011,0.3951821515143119,0.43163136935299073,
svm,baseline_full,3,849,0.4630445857349518,1.030010295079442,0.5443428194118599,0.5748194072932251,0.5451095382541288,
svm,baseline_full,4,849,0.52900026279199,0.8865807851893089,0.4735146398665712,0.48670155824875716,0.48301648024275134,
svm,drop_G_race_phase,0,849,0.4612229176481997,1.0207947320044453,0.43513658166082714,0.44457728095659127,0.4314559266843549,
svm,drop_G_race_phase,1,845,0.4486304485437893,1.1682267331560985,0.34081271618417996,0.39810134709152767,0.3360590038314176,
svm,drop_G_race_phase,2,848,0.41309218521143504,1.0684579246617443,0.37948067236074234,0.38107839265158006,0.39864699447257285,
svm,drop_G_race_phase,3,849,0.40921022577075394,1.1262422312484819,0.4595753861977703,0.525297529746398,0.43499865183687225,
svm,drop_G_race_phase,4,849,0.49877846701229267,0.9803056359247082,0.4571496857488838,0.4488441078791783,0.4820754361501236,
svm,drop_G_strategy_history,0,849,0.4740906783728967,0.9719643510728232,0.419441270880127,0.4265662209797255,0.41868460631974236,
svm,drop_G_strategy_history,1,845,0.49247907837493277,1.1319955728098685,0.4101858812919888,0.49556401852417037,0.3957697566801015,
svm,drop_G_strategy_history,2,848,0.44475711354235725,1.0072553930083188,0.38728212856910316,0.38338893053844236,0.41272785763390313,
svm,drop_G_strategy_history,3,849,0.45214298977928014,1.0495902587593684,0.5230195830079095,0.5602203001157717,0.5251063363667003,
svm,drop_G_strategy_history,4,849,0.5781305549062099,0.8847380478478044,0.4938145453015501,0.4875425594248341,0.5299431471846175,
svm,drop_G_tyre_state,0,849,0.42919134796065583,1.0727282488517889,0.3722497118579776,0.39324949713963164,0.36753065096787835,
svm,drop_G_tyre_state,1,845,0.4643889888091107,1.1292138528605966,0.3766765298483247,0.4715762281973112,0.35198856545753093,
svm,drop_G_tyre_state,2,848,0.37937416512392347,1.1147441717435254,0.3401329619154807,0.33767191352742004,0.35258527582374977,
svm,drop_G_tyre_state,3,849,0.37845459743383136,1.1222963625409226,0.44809628538683344,0.4975599936345426,0.4309927536231884,
svm,drop_G_tyre_state,4,849,0.47463154733248425,0.9822120281849689,0.4451415266719606,0.4604355138443171,0.4492892840176223,
svm,drop_G_track_context,0,849,0.5192041415812944,0.9131905954596873,0.4875187353900225,0.5068363098872871,0.4770104804860799,
svm,drop_G_track_context,1,845,0.5181271260085681,0.9993343372097829,0.44011770339994394,0.46927352123371807,0.4246919938299249,
svm,drop_G_track_context,2,848,0.5267440829651477,0.9897596922675271,0.466214932644918,0.4532141594366264,0.48776699355043984,
svm,drop_G_track_context,3,849,0.4313954924118252,1.0144776080747333,0.4830526212495204,0.557361854987156,0.4684651162790698,
svm,drop_G_track_context,4,849,0.46712985559254544,0.9643630835894934,0.44244654304634035,0.47748677885833396,0.4388645003072823,
svm,drop_G_race_control_weather,0,849,0.5038953954366897,0.9093206185514199,0.4531989908884998,0.4777066667185805,0.44754944665674695,
svm,drop_G_race_control_weather,1,845,0.5076302562057491,1.0795986391681243,0.4362943784578072,0.510072713241324,0.41756554709658156,
svm,drop_G_race_control_weather,2,848,0.4358827908432284,1.0249426835905562,0.39427404671022936,0.39755748981465544,0.4090111959998592,
svm,drop_G_race_control_weather,3,849,0.468957371482857,1.033764684591258,0.5458950243710949,0.5405788326568521,0.5579553420963936,
svm,drop_G_race_control_weather,4,849,0.5486540091509478,0.8681862688217983,0.4731986491742319,0.48968653351290997,0.47939926590867915,
svm,drop_G_traffic_gap_context,0,849,0.49689091654296325,0.9520037913686381,0.4295414970526397,0.4395749038876226,0.42812639041793615,
svm,drop_G_traffic_gap_context,1,845,0.5110244818495551,1.1089156421203876,0.4392392819755024,0.5002219836381558,0.41975590386624867,
svm,drop_G_traffic_gap_context,2,848,0.44399303437913595,0.98789637747256,0.40490138369489675,0.3990201432581113,0.43475030247662855,
svm,drop_G_traffic_gap_context,3,849,0.4475894415126943,1.0517134050673485,0.4297407914182032,0.46688447704121483,0.43025183687226154,
svm,drop_G_traffic_gap_context,4,849,0.521620781405101,0.9097462052358664,0.46284575886775264,0.48142574066019045,0.4718645977286622,
svm,drop_G_rejoin_window,0,849,0.512578539237373,0.9232932626007964,0.43146029890317106,0.43848745806776773,0.4304793315944068,
svm,drop_G_rejoin_window,1,845,0.5041557669384982,1.1277554591865646,0.44193560149362937,0.5181511456645232,0.42560600089565603,
svm,drop_G_rejoin_window,2,848,0.45154610537863854,1.050567778520508,0.38558850560873315,0.38176421663853133,0.4062655302351351,
svm,drop_G_rejoin_window,3,849,0.4636810948022963,1.0361491513730774,0.5328800231075348,0.5931653112045199,0.5258077182339063,
svm,drop_G_rejoin_window,4,849,0.5548504493149334,0.8719556840665741,0.4653166857223653,0.4835707193532901,0.47935958799160466,
