ablation_name,mean_PR_AUC,std_PR_AUC,mean_LogLoss,std_LogLoss,mean_F1,std_F1,mean_Precision,mean_Recall,delta_PR_AUC_vs_baseline,delta_LogLoss_vs_baseline,delta_F1_vs_baseline,delta_Precision_vs_baseline,delta_Recall_vs_baseline,PR_AUC_drop_vs_baseline,LogLoss_increase_vs_baseline
baseline_full,0.5036058449855728,0.037070733140497115,0.9649987511042543,0.07217708772003106,0.45861734800858,0.05639819284786104,0.48699589888663775,0.4766111242154169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drop_all_race_context_KEEP_ONLY_PREDS,0.5074014744905645,0.040173348681115675,0.9589520741954006,0.05081159709767851,0.4582295972122733,0.05457847155808414,0.48858074464129186,0.47086689951762895,0.003795629504991682,-0.006046676908853632,-0.0003877507963067073,0.0015848457546541184,-0.0057442246977879585,-0.003795629504991682,-0.006046676908853632
drop_all_sequential_bases,0.49477608073868595,0.0361908201839292,0.9617258788212946,0.07459960240238868,0.45319161564045995,0.062135451782913846,0.4781815090169245,0.47057847340092335,-0.008829764246886862,-0.0032728722829596935,-0.005425732368120051,-0.008814389869713224,-0.0060326508144935564,0.008829764246886862,-0.0032728722829596935
drop_all_tabular_bases,0.4906935649344365,0.041265112684786956,0.9982344348989838,0.07258129176229104,0.4430870143656137,0.05463522691042141,0.47196158103526054,0.4579378613513482,-0.012912280051136316,0.03323568379472952,-0.015530333642966299,-0.01503431785137721,-0.01867326286406873,0.012912280051136316,0.03323568379472952
drop_ann,0.5067950109925032,0.03685503576297864,0.9627078095445588,0.058760374285719195,0.4641076970716068,0.04369874838782047,0.48592138716680855,0.4755848965168708,0.0031891660069304217,-0.0022909415596954474,0.0054903490630268115,-0.0010745117198291965,-0.0010262276985461005,-0.0031891660069304217,-0.0022909415596954474
drop_gru,0.5045914504819183,0.046466126993039626,0.9631410700703686,0.0769400594992953,0.4581320151861396,0.05610765118193324,0.48416779613997785,0.47653488614735623,0.0009856054963455207,-0.0018576810338856165,-0.00048533282244039855,-0.0028281027466598996,-7.623806806067446e-05,-0.0009856054963455207,-0.0018576810338856165
drop_lstm,0.5009091475633334,0.04012005405678818,0.9680861977798546,0.07607107892273555,0.4576264127303589,0.06317489346063264,0.48567180262411636,0.4750453670992606,-0.0026966974222394358,0.003087446675600347,-0.0009909352782210834,-0.0013240962625213903,-0.0015657571161563077,0.0026966974222394358,0.003087446675600347
drop_rf,0.49521514148655166,0.031464763272075265,0.9725008068883131,0.06953368138864124,0.4508141321157374,0.06827366719038867,0.47906616260113016,0.46616698075484575,-0.008390703499021157,0.007502055784058825,-0.007803215892842608,-0.007929736285507583,-0.010444143460571154,0.008390703499021157,0.007502055784058825
drop_svm,0.5026859907006784,0.03422274396222512,0.9717033759588798,0.07562243119099864,0.45848352613794513,0.060101801287489424,0.4898479137299933,0.47382990103099737,-0.0009198542848943836,0.006704624854625529,-0.00013382187063487594,0.002852014843355566,-0.0027812231844195345,0.0009198542848943836,0.006704624854625529
drop_tcn,0.5071853676708133,0.03485109471527192,0.9618125165879284,0.06831571495169567,0.463303151650016,0.05999085985613994,0.4911452181805613,0.48211107614711723,0.0035795226852405326,-0.0031862345163258254,0.004685803641436004,0.004149319293923537,0.005499951931700331,-0.0035795226852405326,-0.0031862345163258254
drop_tcn_gru,0.4921541852729872,0.042778907077944954,0.9736657002733885,0.06685967490275525,0.45373001246692846,0.06063114385639299,0.48352744715440393,0.47376590383102846,-0.011451659712585605,0.008666949169134242,-0.00488733554165155,-0.0034684517322338126,-0.002845220384388447,0.011451659712585605,0.008666949169134242
drop_xgb,0.5010297984529578,0.02963141123492909,0.9623743482637053,0.06934563654157337,0.4524835859416029,0.05684411989903109,0.48225093412076186,0.4712391423148629,-0.002576046532615006,-0.0026244028405489894,-0.006133762066977133,-0.004744964765875881,-0.00537198190055399,0.002576046532615006,-0.0026244028405489894
