==================================================
MONTE CARLO RESULTS (Mean Race Times in seconds, 10,000 runs)
==================================================
Driver | All Historical       | Historical except HA | Historical except BO | All Supervised      
HAM   | 4929.786             | 4927.655             | 4930.180             | 4939.508            
RIC   | 4934.468             | 4944.774             | 4953.474             | 4962.457            
MAG   | 4942.130             | 4944.254             | 4944.538             | 4946.438            
HUL   | 4935.996             | 4951.772             | 4957.845             | 4959.664            
KVY   | 4925.349             | 4944.483             | 4959.691             | 4945.153            
RAI   | 4938.717             | 4947.859             | 4951.252             | 4961.816            
VET   | 4941.553             | 4942.193             | 4941.533             | 4953.272            
BOT   | 4933.322             | 4930.298             | 4938.260             | 4936.952            
PER   | 4940.178             | 4951.181             | 4956.822             | 4965.057            
GRO   | 4929.486             | 4944.580             | 4957.316             | 4947.809            
SAI   | 4922.364             | 4947.207             | 4964.375             | 4963.762            
VER   | 4917.086             | 4919.664             | 4926.252             | 4923.521            
GIO   | 4936.980             | 4947.920             | 4950.354             | 4956.606            
STR   | 4941.346             | 4950.459             | 4956.651             | 4963.687            
GAS   | 4942.385             | 4953.037             | 4954.916             | 4958.067            
LEC   | 4900.804             | 4911.527             | 4919.710             | 4925.192            
NOR   | 4944.255             | 4955.789             | 4963.999             | 4965.552            
ALB   | 4939.480             | 4947.524             | 4955.489             | 4966.342            
RUS   | 4928.315             | 4933.792             | 4949.685             | 4953.052            
KUB   | 4947.514             | 4946.452             | 4945.565             | 4947.058            
