==================================================
MONTE CARLO RESULTS (Mean Race Times in seconds, 5 runs)
==================================================
Driver | All Historical       | Historical except HA | Historical except BO | All Supervised      
HAM   | 4929.259             | 4929.365             | 4931.881             | 4941.871            
RIC   | 4931.553             | 4944.291             | 4944.035             | 4965.271            
MAG   | 4946.799             | 4937.923             | 4952.798             | 4940.267            
HUL   | 4940.446             | 4942.624             | 4961.415             | 4981.289            
KVY   | 4924.815             | 4945.626             | 4971.789             | 4936.089            
RAI   | 4951.146             | 4936.762             | 4954.523             | 4966.680            
VET   | 4941.215             | 4944.631             | 4942.401             | 4955.370            
BOT   | 4934.113             | 4933.668             | 4941.129             | 4937.388            
PER   | 4938.531             | 4943.029             | 4973.082             | 4974.610            
GRO   | 4929.100             | 4947.977             | 4968.800             | 4947.535            
SAI   | 4924.359             | 4941.338             | 4975.860             | 4978.660            
VER   | 4912.812             | 4918.518             | 4930.976             | 4923.887            
GIO   | 4945.324             | 4949.799             | 4968.014             | 4959.295            
STR   | 4952.323             | 4958.594             | 4968.414             | 4968.821            
GAS   | 4951.186             | 4939.544             | 4966.408             | 4957.849            
LEC   | 4900.852             | 4909.445             | 4925.117             | 4924.810            
NOR   | 4937.538             | 4950.082             | 4967.139             | 4959.921            
ALB   | 4933.702             | 4949.271             | 4969.696             | 4960.427            
RUS   | 4924.511             | 4945.367             | 4969.807             | 4934.768            
KUB   | 4947.209             | 4950.494             | 4956.925             | 4942.106            
