number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight_mode,params_gamma,params_kernel,params_max_iter,params_pos_weight,params_tol,state
0,0.13482864830572505,2026-02-26 00:57:26.310245,2026-02-26 00:57:34.103199,0 days 00:00:07.792954,0.04207988669606638,5,isotonic,balanced,6.025215736203858e-05,rbf,,,,COMPLETE
1,0.1372334535614921,2026-02-26 00:57:34.226676,2026-02-26 00:57:38.065706,0 days 00:00:03.839030,0.053370327626039576,3,isotonic,balanced,8.260808399079601e-05,rbf,,,,COMPLETE
2,0.13482864830572505,2026-02-26 00:59:43.902137,2026-02-26 00:59:51.791073,0 days 00:00:07.888936,0.04207988669606638,5,isotonic,balanced,6.025215736203858e-05,rbf,,,,COMPLETE
3,0.1372334535614921,2026-02-26 00:59:51.873054,2026-02-26 00:59:55.935199,0 days 00:00:04.062145,0.053370327626039576,3,isotonic,balanced,8.260808399079601e-05,rbf,,,,COMPLETE
4,,2026-02-26 01:00:18.675820,2026-02-26 01:00:22.455148,0 days 00:00:03.779328,0.04207988669606638,5,isotonic,balanced,6.025215736203858e-05,rbf,,,,FAIL
5,,2026-02-26 01:06:10.704138,2026-02-26 01:06:52.116679,0 days 00:00:41.412541,0.04207988669606638,5,isotonic,balanced,6.025215736203858e-05,rbf,,,,FAIL
6,,2026-02-26 10:17:41.491619,2026-02-26 10:18:23.734470,0 days 00:00:42.242851,0.04207988669606638,5,isotonic,balanced,6.025215736203858e-05,rbf,,,,FAIL
7,0.12754909695151492,2026-02-26 10:24:27.227988,2026-02-26 10:27:47.882006,0 days 00:03:20.654018,0.04207988669606638,5,isotonic,balanced,6.025215736203858e-05,rbf,,,,COMPLETE
8,0.11904856045922556,2026-02-26 10:27:47.937618,2026-02-26 10:29:24.463388,0 days 00:01:36.525770,0.053370327626039576,3,isotonic,balanced,8.260808399079601e-05,rbf,,,,COMPLETE
9,0.11714336514055172,2026-02-26 10:29:24.511348,2026-02-26 10:29:29.110949,0 days 00:00:04.599601,8.43101393208247,3,sigmoid,custom,,linear,11256.0,27.50868998350635,6.290644294586145e-06,COMPLETE
10,0.11102872679566286,2026-02-26 10:29:29.157507,2026-02-26 10:32:47.962193,0 days 00:03:18.804686,0.1653693718282443,5,sigmoid,balanced,3.0786517836196185e-05,rbf,,,,COMPLETE
11,0.14494087214759693,2026-02-26 10:32:48.006457,2026-02-26 10:33:50.275714,0 days 00:01:02.269257,1.2030178871154673,5,isotonic,custom,0.005414413211338522,rbf,,18.607612737929685,,COMPLETE
12,0.11331063513869104,2026-02-26 10:33:50.317345,2026-02-26 10:33:52.386573,0 days 00:00:02.069228,0.009548041810464166,3,sigmoid,balanced,,linear,7856.0,,1.5167330688076198e-06,COMPLETE
13,0.11299426290687184,2026-02-26 10:33:52.413580,2026-02-26 10:33:53.861223,0 days 00:00:01.447643,0.0012297288957910158,5,sigmoid,custom,,linear,18338.0,110.49792135622293,0.0076456837836056,COMPLETE
14,0.11303096312424274,2026-02-26 10:33:53.901383,2026-02-26 10:33:55.424703,0 days 00:00:01.523320,0.001196137216832821,5,sigmoid,custom,,linear,19854.0,117.55682524539162,0.004990937239757115,COMPLETE
15,0.11399201938080827,2026-02-26 10:33:55.454691,2026-02-26 10:33:59.883561,0 days 00:00:04.428870,29.48231121350256,5,sigmoid,custom,,linear,19978.0,101.49961900352919,0.007607975591334988,COMPLETE
16,0.1101674217146252,2026-02-26 10:33:59.913393,2026-02-26 10:34:00.585865,0 days 00:00:00.672472,0.0012101306518726902,5,sigmoid,custom,,linear,13896.0,8.232956023329505,0.00022769339956247382,COMPLETE
17,0.11406991519641259,2026-02-26 10:34:00.636578,2026-02-26 10:34:07.370785,0 days 00:00:06.734207,0.7120334719331592,5,sigmoid,custom,,linear,2407.0,9.120004013527092,0.00015282726063969233,COMPLETE
18,0.11366865170390393,2026-02-26 10:34:07.397553,2026-02-26 10:34:08.443133,0 days 00:00:01.045580,0.00574743740336265,5,sigmoid,custom,,linear,13489.0,8.848387792335625,0.00014343781402099907,PRUNED
19,0.11358379549160232,2026-02-26 10:34:08.476827,2026-02-26 10:39:51.977664,0 days 00:05:43.500837,0.5812090161683624,5,sigmoid,custom,0.5904029530517971,rbf,,44.12314314415587,,COMPLETE
20,0.10919609984575712,2026-02-26 10:39:52.006353,2026-02-26 10:39:57.876861,0 days 00:00:05.870508,4.394576447232801,5,sigmoid,balanced,,linear,14039.0,,0.0007487901881661367,PRUNED
21,0.11148964140103215,2026-02-26 10:39:57.905919,2026-02-26 10:40:37.752722,0 days 00:00:39.846803,67.72972478679702,5,sigmoid,balanced,0.002865930401667481,rbf,,,,COMPLETE
22,0.11515457033193448,2026-02-26 10:40:37.792009,2026-02-26 10:40:46.126818,0 days 00:00:08.334809,0.16634783211001627,5,sigmoid,custom,,linear,6753.0,15.793222157881068,1.4946555983928273e-05,PRUNED
23,0.11237170343415033,2026-02-26 10:40:46.158375,2026-02-26 10:40:47.677542,0 days 00:00:01.519167,0.004920094325255434,5,sigmoid,balanced,,linear,15094.0,,0.0005124391179202885,PRUNED
24,0.11023466523431176,2026-02-26 10:40:47.703266,2026-02-26 10:41:25.629441,0 days 00:00:37.926175,82.644112357862,5,sigmoid,balanced,0.003710272331277597,rbf,,,,COMPLETE
