number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.6067010049813011,2026-02-26 10:29:46.065804,2026-02-26 10:30:22.517245,0 days 00:00:36.451441,0.49359671220172163,0.0016854099948805522,0.18214744423753768,0,9,8,937,2.9154431891537547,0.2537815508265665,45.97994337748131,0.6624074561769746,COMPLETE
1,0.5916894671302458,2026-02-26 10:30:22.566011,2026-02-26 10:32:09.993403,0 days 00:01:47.427392,0.5825453457757226,0.11173045668925521,0.14553854298843344,1,5,3,1949,0.05342937261279776,0.014618962793704957,38.30823952215971,0.6733618039413735,COMPLETE
2,0.3484612352399286,2026-02-26 10:32:10.040275,2026-02-26 10:33:44.449133,0 days 00:01:34.408858,0.708540663048167,0.20523308429139814,0.060113218328857784,0,7,10,796,0.0015339162591163618,0.26926469100861794,16.583552198357626,0.6798695128633439,COMPLETE
3,0.2901716627453722,2026-02-26 10:33:44.496406,2026-02-26 10:34:05.414532,0 days 00:00:20.918126,0.8105398159072941,0.052234181173353204,0.18737598432676741,10,9,4,1914,0.003077180271250686,0.09565499215943825,12.808971200242858,0.6390688456025535,COMPLETE
4,0.804944805595847,2026-02-26 10:34:05.461499,2026-02-26 10:35:27.459890,0 days 00:01:21.998391,0.5109126733153162,6.086618086298003,0.1054336291901036,6,6,7,740,1.2604664585649468,5.727904470799623,65.5295705345216,0.8186841117373118,COMPLETE
5,0.40820744540424003,2026-02-26 10:35:27.492158,2026-02-26 10:37:57.860715,0 days 00:02:30.368557,0.6332063738136893,0.011457759151494855,0.03548387173121614,5,5,1,1868,2.0651425578959257,0.026730883107816707,20.44775553263531,0.7301321323053057,COMPLETE
6,0.6055260359797289,2026-02-26 10:37:57.895812,2026-02-26 10:39:16.747834,0 days 00:01:18.852022,0.5192294089205034,0.0010508804676992358,0.13742266268435005,8,4,12,539,1.8274508859816028,0.6720930050156113,47.842803877461456,0.908897907718663,COMPLETE
7,0.6507778868658489,2026-02-26 10:39:16.775313,2026-02-26 10:40:20.896792,0 days 00:01:04.121479,0.5985388149115896,0.001770410434524687,0.05921944075896897,7,4,11,425,0.017535949529764425,0.01998634077852888,47.89720307576063,0.8493192507310232,COMPLETE
8,0.48457295373590475,2026-02-26 10:40:20.925063,2026-02-26 10:42:26.844747,0 days 00:02:05.919684,0.7367663185416977,1.0213022304586261,0.07348238762452992,0,4,9,1809,0.09444574254983566,0.12329098365270515,27.004493013688755,0.9043140194467589,COMPLETE
9,0.3438561409630398,2026-02-26 10:42:26.873516,2026-02-26 10:43:42.908004,0 days 00:01:16.034488,0.9445398843556558,0.009397449561556744,0.031843150945538586,0,8,4,483,0.04380580767905655,1.0524574681335637,18.52209274542997,0.8034282764658811,COMPLETE
