number,value,datetime_start,datetime_complete,duration,params_class_weight,params_criterion,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,1.2343769847877653,2026-02-26 10:30:07.489581,2026-02-26 10:30:11.512536,0 days 00:00:04.022955,balanced,gini,,0.06543837072185184,0.9849549260809971,7,43,1124,COMPLETE
1,1.1483072960068204,2026-02-26 10:30:11.563089,2026-02-26 10:30:17.507249,0 days 00:00:05.944160,balanced,entropy,12.0,0.43567582881020867,0.7962072844310213,8,13,1454,COMPLETE
2,1.1386849071733185,2026-02-26 10:30:17.554478,2026-02-26 10:30:26.721126,0 days 00:00:09.166648,balanced,log_loss,,0.24408498620001268,0.831261142176991,1,55,2425,COMPLETE
3,1.0907609081590346,2026-02-26 10:30:26.785702,2026-02-26 10:30:34.401389,0 days 00:00:07.615687,balanced,log_loss,,0.25351177383042195,0.9143687545759647,4,24,2006,COMPLETE
4,1.134644245178531,2026-02-26 10:30:34.448462,2026-02-26 10:30:36.434111,0 days 00:00:01.985649,balanced,gini,,0.3188492964082044,0.5579345297625649,8,6,464,COMPLETE
5,1.1609298302994393,2026-02-26 10:30:36.461927,2026-02-26 10:30:40.386475,0 days 00:00:03.924548,balanced,gini,12.0,0.42034669727329305,0.7613664146909971,6,47,1015,COMPLETE
6,1.2624495184811606,2026-02-26 10:30:40.414911,2026-02-26 10:30:44.821155,0 days 00:00:04.406244,balanced,entropy,8.0,0.7472732392569299,0.9040601897822085,3,11,991,COMPLETE
7,1.1029618189275134,2026-02-26 10:30:44.849717,2026-02-26 10:30:50.493047,0 days 00:00:05.643330,,log_loss,8.0,0.4330604769331743,0.7087055015743895,9,2,1487,COMPLETE
8,1.2079731155485909,2026-02-26 10:30:50.519486,2026-02-26 10:30:57.025676,0 days 00:00:06.506190,,log_loss,12.0,0.5071732504849227,0.7513395116144308,3,4,1441,COMPLETE
9,1.1523646501095919,2026-02-26 10:30:57.054711,2026-02-26 10:31:02.220101,0 days 00:00:05.165390,balanced,gini,,0.4518310130560688,0.5451448850272042,7,39,1377,COMPLETE
10,1.115663644089906,2026-02-26 10:31:02.247607,2026-02-26 10:31:10.429249,0 days 00:00:08.181642,,log_loss,26.0,0.0660899200881811,0.9538323976412588,4,27,2355,COMPLETE
11,1.111758818363171,2026-02-26 10:31:10.476257,2026-02-26 10:31:17.968111,0 days 00:00:07.491854,,log_loss,8.0,0.6487037795297326,0.6484844790233055,10,23,1938,COMPLETE
12,1.065384457452471,2026-02-26 10:31:17.995006,2026-02-26 10:31:25.472108,0 days 00:00:07.477102,,log_loss,16.0,0.2639258111759889,0.6608835888001323,10,19,1978,COMPLETE
13,1.0671539022675445,2026-02-26 10:31:25.530547,2026-02-26 10:31:32.931203,0 days 00:00:07.400656,,log_loss,16.0,0.2148524508096742,0.6624323211135577,5,22,1999,COMPLETE
14,1.063423291101054,2026-02-26 10:31:32.958516,2026-02-26 10:31:40.079379,0 days 00:00:07.120863,,log_loss,16.0,0.16814013095154207,0.6426066899743498,5,34,1973,COMPLETE
15,1.0625872971456949,2026-02-26 10:31:40.126097,2026-02-26 10:31:46.465794,0 days 00:00:06.339697,,log_loss,16.0,0.15368449995979666,0.612855231824376,10,34,1781,COMPLETE
16,1.0535541293878448,2026-02-26 10:31:46.510352,2026-02-26 10:31:53.021027,0 days 00:00:06.510675,,entropy,16.0,0.1561881812392633,0.595742693179045,6,34,1758,COMPLETE
17,1.0579892428149769,2026-02-26 10:31:53.068941,2026-02-26 10:31:59.191671,0 days 00:00:06.122730,,entropy,20.0,0.1304029682126843,0.5136095131955983,1,33,1685,COMPLETE
18,1.2431110684801443,2026-02-26 10:31:59.222205,2026-02-26 10:32:05.264524,0 days 00:00:06.042319,,entropy,20.0,0.33513704478958306,0.5320838087997769,1,50,1640,PRUNED
19,1.059878467670114,2026-02-26 10:32:05.288154,2026-02-26 10:32:07.944457,0 days 00:00:02.656303,,entropy,32.0,0.12575318799471846,0.5852306392660565,2,38,678,COMPLETE
20,1.2842616892149572,2026-02-26 10:32:07.973642,2026-02-26 10:32:16.231783,0 days 00:00:08.258141,,entropy,20.0,0.5570824815852988,0.5270619558742973,6,30,2235,PRUNED
21,1.06521695973939,2026-02-26 10:32:16.255596,2026-02-26 10:32:18.098018,0 days 00:00:01.842422,,entropy,32.0,0.14216557500038118,0.5901418810865834,2,39,386,COMPLETE
22,1.0675002499861068,2026-02-26 10:32:18.123946,2026-02-26 10:32:20.601205,0 days 00:00:02.477259,,entropy,32.0,0.10090883020974163,0.5035458274036096,2,39,633,COMPLETE
23,1.2730816523145065,2026-02-26 10:32:20.628179,2026-02-26 10:32:23.431748,0 days 00:00:02.803569,,entropy,32.0,0.3363330094693805,0.5812114652218368,2,32,721,PRUNED
24,1.0555706479474194,2026-02-26 10:32:23.456129,2026-02-26 10:32:27.982728,0 days 00:00:04.526599,,entropy,20.0,0.17312464294621133,0.7046041324067966,1,60,1212,COMPLETE
25,1.0880857306870237,2026-02-26 10:32:28.011124,2026-02-26 10:32:32.534499,0 days 00:00:04.523375,,entropy,20.0,0.20693716275370272,0.6890915557841027,1,60,1225,PRUNED
26,1.2373527211758721,2026-02-26 10:32:32.560083,2026-02-26 10:32:38.779037,0 days 00:00:06.218954,,entropy,20.0,0.30817224947721145,0.6980810591545082,4,51,1703,PRUNED
27,1.281414580812145,2026-02-26 10:32:38.807990,2026-02-26 10:32:43.182604,0 days 00:00:04.374614,,entropy,20.0,0.0504361673626281,0.6144736076760968,3,46,1280,PRUNED
28,1.050255845475991,2026-02-26 10:32:43.205969,2026-02-26 10:32:49.101050,0 days 00:00:05.895081,,entropy,26.0,0.1903141506330311,0.7329890179777707,7,59,1581,COMPLETE
29,1.0634528833911117,2026-02-26 10:32:49.150209,2026-02-26 10:32:53.226038,0 days 00:00:04.075829,,entropy,26.0,0.20831693982741722,0.7991836870181559,7,60,1087,COMPLETE
30,1.2563923328142415,2026-02-26 10:32:53.257880,2026-02-26 10:32:56.641914,0 days 00:00:03.384034,,gini,26.0,0.3608233943404755,0.8488776931539118,7,56,898,PRUNED
31,1.0899735291739758,2026-02-26 10:32:56.667977,2026-02-26 10:33:02.294557,0 days 00:00:05.626580,,entropy,26.0,0.10964417544213695,0.7291947099434162,8,56,1614,PRUNED
32,1.0515229918788687,2026-02-26 10:33:02.317970,2026-02-26 10:33:07.913779,0 days 00:00:05.595809,,entropy,20.0,0.18025143236568958,0.7809930223496393,6,51,1536,COMPLETE
33,1.0500887135555714,2026-02-26 10:33:07.943653,2026-02-26 10:33:14.527519,0 days 00:00:06.583866,,entropy,20.0,0.18863828758161785,0.7965591903125341,6,52,1815,COMPLETE
34,1.2296431088506012,2026-02-26 10:33:14.572386,2026-02-26 10:33:21.194692,0 days 00:00:06.622306,,entropy,26.0,0.2778360795178326,0.7883943619433049,6,52,1822,PRUNED
35,1.0843505300571108,2026-02-26 10:33:21.219867,2026-02-26 10:33:29.125827,0 days 00:00:07.905960,balanced,entropy,16.0,0.21984513906758996,0.8567069358345405,7,44,2144,PRUNED
36,1.0991705715813538,2026-02-26 10:33:29.150653,2026-02-26 10:33:34.532565,0 days 00:00:05.381912,,entropy,20.0,0.08810275312508102,0.7959731823772965,5,53,1537,PRUNED
37,1.0900236643257593,2026-02-26 10:33:34.556095,2026-02-26 10:33:41.238082,0 days 00:00:06.681987,balanced,gini,26.0,0.281375170269199,0.8965680298374457,8,48,1841,PRUNED
38,1.2658604480325375,2026-02-26 10:33:41.262986,2026-02-26 10:33:46.318402,0 days 00:00:05.055416,,entropy,12.0,0.39470217855193535,0.8321548763488196,6,42,1344,PRUNED
39,1.105034410759996,2026-02-26 10:33:46.341549,2026-02-26 10:33:54.094513,0 days 00:00:07.752964,balanced,entropy,,0.17470751902947754,0.770695085821569,8,55,2136,PRUNED
