number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,state
0,,2026-02-26 10:30:12.005713,2026-02-26 10:30:13.190493,0 days 00:00:01.184780,0.04207988669606638,5,isotonic,,6.025215736203858e-05,rbf,,,FAIL
1,1.6432645749037615,2026-02-26 11:11:04.159155,2026-02-26 11:11:05.899756,0 days 00:00:01.740601,0.04207988669606638,5,isotonic,,6.025215736203858e-05,rbf,,,COMPLETE
2,1.4622309385493077,2026-02-26 11:11:05.950887,2026-02-26 11:11:06.989341,0 days 00:00:01.038454,0.053370327626039576,3,isotonic,,8.260808399079601e-05,rbf,,,COMPLETE
3,1.4289183665936693,2026-02-26 11:11:07.035276,2026-02-26 11:11:08.103748,0 days 00:00:01.068472,0.19069966103000435,5,isotonic,balanced,,linear,5594.0,0.0013826232179369874,COMPLETE
4,1.23810390157611,2026-02-26 11:11:08.191153,2026-02-26 11:11:13.684166,0 days 00:00:05.493013,11.015056790269638,5,sigmoid,balanced,,linear,3758.0,1.6536937182824424e-05,COMPLETE
5,1.2740977492613035,2026-02-26 11:11:13.729799,2026-02-26 11:11:15.074751,0 days 00:00:01.344952,0.17654048052495078,3,sigmoid,balanced,0.003984190594434687,rbf,,,COMPLETE
6,1.3643025080575477,2026-02-26 11:11:15.103696,2026-02-26 11:11:15.477756,0 days 00:00:00.374060,0.0027698899227562817,5,isotonic,balanced,,linear,2814.0,6.0803901902966035e-06,COMPLETE
7,1.2379419310087891,2026-02-26 11:11:15.501964,2026-02-26 11:11:22.583174,0 days 00:00:07.081210,10.25616274847308,5,sigmoid,,,linear,19764.0,1.987021538542864e-06,COMPLETE
8,1.2277375689835734,2026-02-26 11:11:22.635987,2026-02-26 11:11:23.789024,0 days 00:00:01.153037,0.27155819552829413,3,sigmoid,,3.79616689580081e-05,rbf,,,COMPLETE
9,1.4357806212217004,2026-02-26 11:11:23.833810,2026-02-26 11:11:24.836905,0 days 00:00:01.003095,35.387588647792406,3,isotonic,,0.002296543234463434,rbf,,,COMPLETE
10,1.1668268196272777,2026-02-26 11:11:24.879265,2026-02-26 11:11:25.258901,0 days 00:00:00.379636,0.001339971723117972,5,sigmoid,,,linear,2565.0,2.7012557725439094e-06,COMPLETE
11,1.1693375107009976,2026-02-26 11:11:25.314423,2026-02-26 11:11:25.675255,0 days 00:00:00.360832,0.0010907785690006102,5,sigmoid,,,linear,12181.0,0.0003624038247549049,COMPLETE
12,1.1699297293213442,2026-02-26 11:11:25.722500,2026-02-26 11:11:26.195686,0 days 00:00:00.473186,0.0010428435182166151,5,sigmoid,,,linear,12980.0,0.000489126677270306,COMPLETE
13,1.1647651602639135,2026-02-26 11:11:26.227538,2026-02-26 11:11:26.635164,0 days 00:00:00.407626,0.007395912886954799,5,sigmoid,,,linear,10944.0,0.009548617037703395,COMPLETE
14,1.1689021317096948,2026-02-26 11:11:26.682921,2026-02-26 11:11:27.102295,0 days 00:00:00.419374,0.010745497168558821,5,sigmoid,,,linear,8977.0,0.008641710001999729,COMPLETE
15,1.167059093255681,2026-02-26 11:11:27.128290,2026-02-26 11:11:27.604503,0 days 00:00:00.476213,0.009220226338493745,5,sigmoid,,,linear,16908.0,4.292547213342915e-05,COMPLETE
16,1.1650557608214203,2026-02-26 11:11:27.632388,2026-02-26 11:11:28.195260,0 days 00:00:00.562872,0.007614073830653058,5,sigmoid,,,linear,8493.0,0.009190514349421168,COMPLETE
