number,value,datetime_start,datetime_complete,duration,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,1.4504644017158648,2026-02-26 10:30:16.670564,2026-02-26 10:30:17.310731,0 days 00:00:00.640167,0.5102922471479012,0.49359671220172163,0.0016574814321404089,0.22073847501468546,7,8,8,2622,2.9154431891537547,0.2537815508265665,0.6624074561769746,COMPLETE
1,1.4718847349942963,2026-02-26 10:30:17.359456,2026-02-26 10:30:17.781425,0 days 00:00:00.421969,0.569746930326021,0.5825453457757226,0.09607472904504577,0.16373618362840212,6,4,3,5838,0.05342937261279776,0.014618962793704957,0.6733618039413735,COMPLETE
2,1.5099425706317642,2026-02-26 10:30:17.809737,2026-02-26 10:30:18.432403,0 days 00:00:00.622666,0.5325257964926398,0.708540663048167,0.1730740052206907,0.05045404264694894,1,6,10,2177,0.0015339162591163618,0.26926469100861794,0.6798695128633439,COMPLETE
3,1.424556257755368,2026-02-26 10:30:18.459822,2026-02-26 10:30:19.378456,0 days 00:00:00.918634,0.954660201039391,0.8105398159072941,0.046021703974597504,0.2292141591553546,0,9,4,5724,0.003077180271250686,0.09565499215943825,0.6390688456025535,COMPLETE
4,1.4915212722943374,2026-02-26 10:30:19.428444,2026-02-26 10:30:19.827889,0 days 00:00:00.399445,0.7989499894055425,0.5109126733153162,4.605082062688904,0.10660002909195823,9,5,7,1997,1.2604664585649468,5.727904470799623,0.8186841117373118,COMPLETE
5,1.530554133557993,2026-02-26 10:30:19.854935,2026-02-26 10:30:20.619812,0 days 00:00:00.764877,0.7713480415791243,0.6332063738136893,0.010597359897577168,0.025009114059038544,3,4,1,5579,2.0651425578959257,0.026730883107816707,0.7301321323053057,COMPLETE
6,1.4724597025648476,2026-02-26 10:30:20.648015,2026-02-26 10:30:21.080555,0 days 00:00:00.432540,0.8856351733429728,0.5192294089205034,0.00104921234952132,0.1516938228816794,8,3,12,1361,1.8274508859816028,0.6720930050156113,0.908897907718663,COMPLETE
7,1.512329884939091,2026-02-26 10:30:21.107882,2026-02-26 10:30:21.605379,0 days 00:00:00.497497,0.8187787356776066,0.5985388149115896,0.0017383333435904498,0.04945778276026482,8,3,11,999,0.017535949529764425,0.01998634077852888,0.8493192507310232,COMPLETE
8,1.5166261211441865,2026-02-26 10:30:21.632542,2026-02-26 10:30:22.074311,0 days 00:00:00.441769,0.5127095633720475,0.7367663185416977,0.8181456298845706,0.06591849379162813,4,3,9,5391,0.09444574254983566,0.12329098365270515,0.9043140194467589,COMPLETE
9,1.5347104975962007,2026-02-26 10:30:22.102445,2026-02-26 10:30:23.561493,0 days 00:00:01.459048,0.5384899549143964,0.9445398843556558,0.00874709306557587,0.02165234728301358,2,8,4,1182,0.04380580767905655,1.0524574681335637,0.8034282764658811,COMPLETE
10,1.474840361909794,2026-02-26 10:30:23.589484,2026-02-26 10:30:24.749388,0 days 00:00:01.159904,0.9961645382030901,0.8727055573922242,0.023178822574896823,0.11191547212190461,0,10,5,4151,0.0011082662189295662,0.002442728047335309,0.6058694368028292,COMPLETE
11,1.4487724080321205,2026-02-26 10:30:24.776658,2026-02-26 10:30:25.304876,0 days 00:00:00.528218,0.6608835888001323,0.40688387123157765,0.0038886972837983385,0.2331612163593209,6,9,7,3616,0.3923317253983244,3.2019557753781323,0.6058494238249794,COMPLETE
12,1.4514997432106518,2026-02-26 10:30:25.331985,2026-02-26 10:30:25.868236,0 days 00:00:00.536251,0.6623109940799718,0.4109879894174396,0.03962286020471568,0.22296988125041078,5,10,6,3930,0.43996983454557703,9.941450502972586,0.6012833640851888,COMPLETE
13,1.4111112677552213,2026-02-26 10:30:25.895308,2026-02-26 10:30:26.495844,0 days 00:00:00.600536,0.6852173781514894,0.8068343901937017,0.389548304435648,0.24830862266081682,5,8,2,4629,0.008138797193848312,2.950153473585313,0.9861351784261821,COMPLETE
14,1.4647443925599632,2026-02-26 10:30:26.543079,2026-02-26 10:30:27.456747,0 days 00:00:00.913668,0.9897970344339229,0.8166201542486172,0.3838755285125211,0.13574788544155358,10,7,1,4602,0.005200241533691493,1.5346439219996872,0.9750244637464092,COMPLETE
15,1.3554715793995238,2026-02-26 10:30:27.486002,2026-02-26 10:30:27.889976,0 days 00:00:00.403974,0.6819045430610241,0.7992586345992553,1.256257266939165,0.2449033854892936,0,8,3,4803,0.00585623299739553,0.05444235109506556,0.7471035706853821,PRUNED
16,1.37523058448637,2026-02-26 10:30:27.924399,2026-02-26 10:30:29.312886,0 days 00:00:01.388487,0.9095336881172503,0.9967843558615458,0.18933617741905154,0.0921483634794451,3,9,2,4992,0.007272615664828961,0.00541030094608756,0.9990821294012937,PRUNED
17,1.311473985742235,2026-02-26 10:30:29.337203,2026-02-26 10:30:29.708349,0 days 00:00:00.371146,0.7203975139424706,0.8676569213870072,2.103231277919205,0.17537691585948356,2,7,5,3149,9.22802547085717,0.29934769830217006,0.9189991401785472,PRUNED
18,1.316711817343827,2026-02-26 10:30:29.733172,2026-02-26 10:30:30.628636,0 days 00:00:00.895464,0.6056838903648984,0.7635307961687846,0.04337993957618944,0.082616540021539,4,9,3,5990,0.01741723707487805,0.05020357017117321,0.743367171576041,PRUNED
19,1.2826595483017924,2026-02-26 10:30:30.658572,2026-02-26 10:30:31.530089,0 days 00:00:00.871517,0.8666308315717826,0.6561447892754574,0.38220421249228115,0.03021345694294405,1,6,5,4347,0.0026465747469632214,2.3084513669689963,0.867324066366202,PRUNED
20,1.4059187739783234,2026-02-26 10:30:31.553886,2026-02-26 10:30:32.857654,0 days 00:00:01.303768,0.9453861731338347,0.9093978833523597,0.0852525071220933,0.17968304219145542,6,10,2,5156,0.017835202159982307,0.006584096875390881,0.9530035525559158,PRUNED
21,1.2973471743205656,2026-02-26 10:30:32.899328,2026-02-26 10:30:33.485317,0 days 00:00:00.585989,0.6339351509558141,0.8200653814084076,0.005548567661161322,0.249304272719658,6,9,7,3617,0.35482992172539135,3.55300680006998,0.6382406434173492,PRUNED
